"TPLName","Family","New.Genus","New.Species"
"Anaphalis flavescens","Compositae","Anaphalis","flavescens"
"Acaena pinnatifida","Rosaceae","Acaena","pinnatifida"
"Achillea atrata","Compositae","Achillea","atrata"
"Achillea clavennae","Compositae","Achillea","clavennae"
"Achillea erba-rotta","Compositae","Achillea","erba-rotta"
"Achillea nana","Compositae","Achillea","nana"
"Stipa splendens","Poaceae","Stipa","splendens"
"Aciphylla glacialis","Apiaceae","Aciphylla","glacialis"
"Aciphylla simplicifolia","Apiaceae","Aciphylla","simplicifolia"
"Aconitum brunneum","Ranunculaceae","Aconitum","brunneum"
"Aconitum bucovinense","Ranunculaceae","Aconitum","bucovinense"
"Aconitum lasiocarpum","Ranunculaceae","Aconitum","lasiocarpum"
"Aconitum lycoctonum","Ranunculaceae","Aconitum","lycoctonum"
"Aconitum tanguticum","Ranunculaceae","Aconitum","tanguticum"
"Acronema chinense","Apiaceae","Acronema","chinense"
"Adenophora himalayana","Campanulaceae","Adenophora","himalayana"
"Adenophora liliifolioides","Campanulaceae","Adenophora","liliifolioides"
"Adenostyles alliariae","Compositae","Adenostyles","alliariae"
"Adesmia emarginata","Leguminosae","Adesmia","emarginata"
"Adesmia longipes","Leguminosae","Adesmia","longipes"
"Adesmia radicifolia","Leguminosae","Adesmia","radicifolia"
"Agrostis alpina","Poaceae","Agrostis","alpina"
"Ajania fruticulosa","Compositae","Ajania","fruticulosa"
"Ajania salicifolia","Compositae","Ajania","salicifolia"
"Ajania tenuifolia","Compositae","Ajania","tenuifolia"
"Alchemilla alpina","Rosaceae","Alchemilla","alpina"
"Aletris glandulifera","Nartheciaceae","Aletris","glandulifera"
"Allium chrysanthum","Amaryllidaceae","Allium","chrysanthum"
"Allium chrysocephalum","Amaryllidaceae","Allium","chrysocephalum"
"Allium cyaneum","Amaryllidaceae","Allium","cyaneum"
"Allium cyathophorum","Amaryllidaceae","Allium","cyathophorum"
"Allium prattii","Amaryllidaceae","Allium","prattii"
"Allium przewalskianum","Amaryllidaceae","Allium","przewalskianum"
"Allium rude","Amaryllidaceae","Allium","rude"
"Allium sikkimense","Amaryllidaceae","Allium","sikkimense"
"Allium victorialis","Amaryllidaceae","Allium","victorialis"
"Alstroemeria pallida","Alstroemeriaceae","Alstroemeria","pallida"
"Anaphalis latialata","Compositae","Anaphalis","latialata"
"Anaphalis nepalensis","Compositae","Anaphalis","nepalensis"
"Anarthrophyllum cumingii","Leguminosae","Anarthrophyllum","cumingii"
"Anarthrophyllum gayanum","Leguminosae","Anarthrophyllum","gayanum"
"Androsace villosa","Primulaceae","Androsace","villosa"
"Androsace chamaejasme","Primulaceae","Androsace","chamaejasme"
"Androsace gmelinii","Primulaceae","Androsace","gmelinii"
"Androsace obtusifolia","Primulaceae","Androsace","obtusifolia"
"Anemone alpina","Ranunculaceae","Anemone","alpina"
"Anemone narcissiflora","Ranunculaceae","Anemone","narcissiflora"
"Anemone rivularis","Ranunculaceae","Anemone","rivularis"
"Anthyllis vulneraria","Leguminosae","Anthyllis","vulneraria"
"Anisodus tanguticus","Solanaceae","Anisodus","tanguticus"
"Antennaria dioica","Compositae","Antennaria","dioica"
"Anthoxanthum odoratum","Poaceae","Anthoxanthum","odoratum"
