"TPLName","Family","New.Genus","New.Species"
"Astragalus floridus","Leguminosae","Astragalus","floridus"
"Biebersteinia orphanidis","Biebersteiniaceae","Biebersteinia","orphanidis"
"Calceolaria filicaulis","Calceolariaceae","Calceolaria","filicaulis"
"Calceolaria purpurea","Calceolariaceae","Calceolaria","purpurea"
"Circaeaster agrestis","Circaeasteraceae","Circaeaster","agrestis"
"Escallonia alpina","Escalloniaceae","Escallonia","alpina"
"Nastanthus scapigerus","Calyceraceae","Nastanthus","scapigerus"
"Pinguicula leptoceras","Lentibulariaceae","Pinguicula","leptoceras"
"Stylidium graminifolium","Stylidiaceae","Stylidium","graminifolium"
"Tasmannia xerophila","Winteraceae","Tasmannia","xerophila"
