,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
225,Allium cyathophorum var. farreri Stearn,2.2608,Allium,,cyathophorum,NA,var.,farreri,Stearn,kew-295396,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,cyathophorum,var.,farreri,(Stearn) Stearn,kew-295396,Accepted,FALSE,FALSE,FALSE,13/04/2020,Allium_cyathophorum
330,Allium victorialis L.,3.9942,Allium,,victorialis,NA,NA,,L.,kew-296917,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,victorialis,,,L.,kew-296917,Accepted,FALSE,FALSE,FALSE,13/04/2020,Allium_victorialis
508,Alstroemeria pallida Graham,18.3,Alstroemeria,,pallida,NA,NA,,Graham,kew-298378,TRUE,1.1,Accepted,Alstroemeriaceae,Alstroemeria,,pallida,,,Graham,kew-298378,Accepted,FALSE,FALSE,FALSE,13/04/2020,Alstroemeria_pallida
589,Anthoxanthum odoratum L. Orthodox,0.55,Anthoxanthum,,odoratum,NA,NA,,L. Orthodox,kew-394021,TRUE,1.1,Accepted,Poaceae,Anthoxanthum,,odoratum,,,L.,kew-394021,Accepted,FALSE,FALSE,FALSE,13/04/2020,Anthoxanthum_odoratum
770,Astelia alpina R.Br.,1.1492,Astelia,,alpina,NA,NA,,R.Br.,kew-275798,TRUE,1.1,Accepted,Asteliaceae,Astelia,,alpina,,,R.Br.,kew-275798,Accepted,FALSE,FALSE,FALSE,13/04/2020,Astelia_alpina
771,Astelia alpina R.Br. var. alpina,1.1024,Astelia,,alpina,NA,var.,alpina,R.Br.,kew-311593,TRUE,1.1,Synonym,Asteliaceae,Astelia,,alpina,,,R.Br.,kew-275798,Accepted,FALSE,FALSE,FALSE,13/04/2020,Astelia_alpina
1150,Carex asturica Boiss.,4.4069,Carex,,asturica,NA,NA,,Boiss.,kew-224697,TRUE,1.1,Accepted,Cyperaceae,Carex,,asturica,,,Boiss.,kew-224697,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_asturica
1153,Carex atrata L. Orthodox?,0.6236,Carex,,atrata,NA,NA,,L. Orthodox?,kew-224723,TRUE,1.1,Accepted,Cyperaceae,Carex,,atrata,,,L.,kew-224723,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_atrata
1168,Carex bicolor All. Uncertain,0.558,Carex,,bicolor,NA,NA,,All. Uncertain,kew-224932,TRUE,1.1,Accepted,Cyperaceae,Carex,,bicolor,,,Bellardi ex All.,kew-224932,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_bicolor
1172,Carex blakei Nelmes,1.921,Carex,,blakei,NA,NA,,Nelmes,kew-224984,TRUE,1.1,Accepted,Cyperaceae,Carex,,blakei,,,Nelmes,kew-224984,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_blakei
1190,Carex capillacea Boott,0.528,Carex,,capillacea,NA,NA,,Boott,kew-225299,TRUE,1.1,Accepted,Cyperaceae,Carex,,capillacea,,,Boott,kew-225299,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_capillacea
1197,Carex cephalotes F.Muell.,0.5508,Carex,,cephalotes,NA,NA,,F.Muell.,kew-225420,TRUE,1.1,Accepted,Cyperaceae,Carex,,cephalotes,,,F.Muell.,kew-225420,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_cephalotes
1221,Carex curvula All.,2,Carex,,curvula,NA,NA,,All.,kew-225819,TRUE,1.1,Accepted,Cyperaceae,Carex,,curvula,,,All.,kew-225819,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_curvula
1247,Carex echinata Murray Orthodox?,0.83,Carex,,echinata,NA,NA,,Murray Orthodox?,kew-226238,TRUE,1.1,Accepted,Cyperaceae,Carex,,echinata,,,Murray,kew-226238,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_echinata
1260,Carex firma Host,1.11,Carex,,firma,NA,NA,,Host,kew-226551,TRUE,1.1,Accepted,Cyperaceae,Carex,,firma,,,Host,kew-226551,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_firma
1268,Carex foetida All. Orthodox,0.408,Carex,,foetida,NA,NA,,All. Orthodox,kew-226677,TRUE,1.1,Accepted,Cyperaceae,Carex,,foetida,,,All.,kew-226677,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_foetida
1276,Carex gaudichaudiana Kunth Orthodox,0.951,Carex,,gaudichaudiana,NA,NA,,Kunth Orthodox,kew-226839,TRUE,1.1,Accepted,Cyperaceae,Carex,,gaudichaudiana,,,Kunth,kew-226839,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_gaudichaudiana
1293,Carex hebes Nelmes,1.3278,Carex,,hebes,NA,NA,,Nelmes,kew-227251,TRUE,1.1,Accepted,Cyperaceae,Carex,,hebes,,,Nelmes,kew-227251,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_hebes
1303,Carex hypandra F.Muell.,0.5362,Carex,,hypandra,NA,NA,,F.Muell.,kew-227469,TRUE,1.1,Accepted,Cyperaceae,Carex,,hypandra,,,F.Muell.,kew-227469,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_hypandra
1447,Carex sempervirens Vill. Uncertain,1.08,Carex,,sempervirens,NA,NA,,Vill. Uncertain,kew-230806,TRUE,1.1,Accepted,Cyperaceae,Carex,,sempervirens,,,Vill.,kew-230806,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carex_sempervirens
1511,Carpha nivicola F.Muell.,2.22,Carpha,,nivicola,NA,NA,,F.Muell.,kew-232360,TRUE,1.1,Accepted,Cyperaceae,Carpha,,nivicola,,,F.Muell.,kew-232360,Accepted,FALSE,FALSE,FALSE,13/04/2020,Carpha_nivicola
1734,Cortaderia pilosa (d'Urv.) Hack.,0.2604,Cortaderia,,pilosa,NA,NA,,(d'Urv.) Hack.,kew-405795,TRUE,1.1,Accepted,Poaceae,Cortaderia,,pilosa,,,(d'Urv.) Hack.,kew-405795,Accepted,FALSE,FALSE,FALSE,13/04/2020,Cortaderia_pilosa
2033,Deschampsia cespitosa subsp. cespitosa,0.356,Deschampsia,,cespitosa,NA,subsp.,cespitosa,,tro-25510913,TRUE,1.1,Synonym,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,13/04/2020,Deschampsia_cespitosa
2034,Deschampsia cespitosa (L.) P.Beauv. Orthodox,0.25,Deschampsia,,cespitosa,NA,NA,,(L.) P.Beauv. Orthodox,kew-407579,TRUE,1.1,Accepted,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,13/04/2020,Deschampsia_cespitosa
2369,Elymus sibiricus L. Orthodox,2.6572,Elymus,,sibiricus,NA,NA,,L. Orthodox,kew-411563,TRUE,1.1,Accepted,Poaceae,Elymus,,sibiricus,,,L.,kew-411563,Accepted,FALSE,FALSE,FALSE,13/04/2020,Elymus_sibiricus
2620,Eriophorum angustifolium Honck. Orthodox?,0.41,Eriophorum,,angustifolium,NA,NA,,Honck. Orthodox?,kew-244512,TRUE,1.1,Accepted,Cyperaceae,Eriophorum,,angustifolium,,,Honck.,kew-244512,Accepted,FALSE,FALSE,FALSE,13/04/2020,Eriophorum_angustifolium
