"TPLName,""Family"",""New.Genus"",""New.Species""";Species;Genus;Family
"Astragalus floridus,""Leguminosae"",""Astragalus"",""floridus""";;0.982865731;0.982865731
"Biebersteinia orphanidis,""Biebersteiniaceae"",""Biebersteinia"",""orphanidis""";;1;1
"Calceolaria filicaulis,""Calceolariaceae"",""Calceolaria"",""filicaulis""";;;0.471479706
"Calceolaria purpurea,""Calceolariaceae"",""Calceolaria"",""purpurea""";;;0.471479706
"Circaeaster agrestis,""Circaeasteraceae"",""Circaeaster"",""agrestis""";0.08410596;0.08410596;0.08410596
"Escallonia alpina,""Escalloniaceae"",""Escallonia"",""alpina""";;0.122129;0.122129
"Nastanthus scapigerus,""Calyceraceae"",""Nastanthus"",""scapigerus""";;;0.447914719
"Pinguicula leptoceras,""Lentibulariaceae"",""Pinguicula"",""leptoceras""";;1;1
"Stylidium graminifolium,""Stylidiaceae"",""Stylidium"",""graminifolium""";;0.010899;0.010899
"Tasmannia xerophila,""Winteraceae"",""Tasmannia"",""xerophila""";;;0.001
