Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Mondoni,Achillea atrata,Italy,37SO,,,2300,NA,0,N,N,Y,Y,1,25,15,12,30,25,25
Mondoni,Achillea atrata,Italy,37SO,,,2300,NA,0,N,N,Y,Y,1,25,15,12,50,30,30
Mondoni,Achillea clavenae,Italy,117 AQ,,,2142,NA,0,N,N,Y,Y,1,30,20,12,30,26,28
Mondoni,Achillea clavenae,Italy,117 AQ,,,2142,NA,0,N,N,Y,Y,1,25,,12,30,17,20
Mondoni,Achillea clavenae,Italy,117 AQ,,,2142,NA,0,N,N,N,Y,1,30,20,12,30,28,28
Mondoni,Achillea clavenae,Italy,117 AQ,,,2142,NA,0,N,N,N,Y,1,25,,12,30,13,20
Mondoni,Achillea clavenae,Italy,BG188,,,,NA,0,N,N,Y,Y,1,25,15,12,30,27,27
Mondoni,Achillea clavenae,Italy,SO605,,,,0/5,56,Y,N,N,Y,1,20,20,12,50,27,27
Mondoni,Achillea clavenae,Italy,BG344,,,,4,28,Y,N,N,Y,1,20,20,12,30,30,30
Mondoni,Achillea millefolium,Italy,439SO,,,1941,NA,0,N,N,N,Y,1,20,20,12,46,41,42
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,N,Y,3,30,20,12,50,47,47
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,N,Y,3,30,20,12,30,22,23
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,N,Y,3,30,20,12,50,46,48
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,Y,Y,1,25,,12,30,25,29
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,N,Y,1,25,,12,30,25,26
Mondoni,Achillea millefolium,Italy,211 AQ,,,2009,NA,0,N,N,Y,Y,1,30,20,12,30,21,28
Mondoni,Achillea millefolium,Italy,428SO,,,2175,NA,0,N,N,N,Y,1,20,20,12,47,38,38
Mondoni,Achillea millefolium,Italy,428SO,,,2175,NA,0,N,N,N,Y,1,20,20,12,50,40,41
Mondoni,Achillea moschata,Italy,SO288,,,1960,NA,0,N,N,Y,Y,1,20,10,12,25,12,23
Mondoni,Achillea moschata,Italy,SO231,,,2150,NA,0,N,N,N,Y,1,15,15,12,30,7,28
Mondoni,Achillea moschata,Italy,SO231,,,2150,NA,0,N,N,N,Y,1,20,20,12,30,18,28
Mondoni,Achillea moschata,Italy,SO231,,,2150,NA,0,N,N,N,Y,1,20,10,12,30,9,28
Mondoni,Achillea moschata,Italy,SO231,,,2150,NA,0,N,N,N,Y,1,25,15,12,30,20,26
Mondoni,Achillea moschata,Italy,SO231,,,2150,NA,0,N,N,N,Y,1,10,5,12,30,4,29
Mondoni,Achillea moschata,Italy,SO231,,,2150,0,56,Y,N,N,Y,1,15,15,12,30,30,30
Mondoni,Achillea moschata,Italy,SO231,,,2150,0,56,Y,N,N,Y,1,20,20,12,30,28,30
Mondoni,Achillea moschata,Italy,SO231,,,2150,0,56,Y,N,N,Y,1,20,10,12,30,26,26
Mondoni,Achillea moschata,Italy,SO231,,,2150,0,56,Y,N,N,Y,1,25,15,12,30,30,30
Mondoni,Achillea moschata,Italy,SO231,,,2150,0,56,Y,N,N,Y,1,10,5,12,30,7,28
Mondoni,Achillea moschata,Italy,SO231,,,2150,4,28,Y,N,N,Y,1,20,20,12,30,28,30
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,N,Y,1,25,,12,30,11,24
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,N,Y,1,30,20,12,30,20,29
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,Y,Y,1,25,,12,30,21,22
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,Y,Y,3,30,20,12,30,29,30
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,Y,Y,3,30,20,12,50,45,48
Mondoni,Achillea moschata,Italy,70 AQ,,,2246,NA,0,N,N,Y,Y,3,30,20,12,50,41,48
Mondoni,Achillea moschata,Italy,SO286,,,2450,NA,0,N,N,Y,Y,1,25,15,12,30,22,22
Mondoni,Achillea moschata,Italy,SO286,,,2450,0/5,56,Y,N,N,Y,1,20,20,12,50,44,47
Mondoni,Achillea moschata,Italy,SO066,,,2598,4,28,Y,N,N,Y,1,20,20,12,30,29,29
Mondoni,Achillea moschata,Italy,SO327,,,,NA,0,N,N,Y,Y,1,20,10,12,25,19,25
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,Y,Y,3,20,,12,25,25,25
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,Y,Y,3,20,,12,25,25,25
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,Y,Y,3,20,,12,25,25,25
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,N,Y,3,20,,12,25,24,24
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,N,Y,3,20,,12,25,24,24
Mondoni,Achillea roseoalba,Italy,ALP_047,,,1720,NA,0,N,N,N,Y,3,20,,12,25,22,22
