"Species","Treatment","Germination"
"Achillea moschata","X0C",0
"Achillea nana","X0C",0
"Antennaria dioica","X0C",0
"Anthoxanthum odoratum","X0C",5.5
"Anthyllis vulneraria","X0C",41
"Arnica montana","X0C",36.8
"Aster alpinus","X0C",1
"Bartsia alpina","X0C",2
"Biscutella laevigata","X0C",0
"Campanula barbata","X0C",2.5
"Carex curvula","X0C",0
"Carex firma","X0C",0
"Carex sempervirens","X0C",0
"Dryas octopetala","X0C",0
"Festuca halleri","X0C",0
"Festuca nigricans","X0C",6.6
"Festuca pumila","X0C",70.8
"Festuca nigrescens","X0C",0.18
"Gentiana acaulis","X0C",0
"Gentiana clusii","X0C",0
"Gentiana nivalis","X0C",0
"Gentiana punctata","X0C",0
"Gentiana verna","X0C",0
"Gentianella anisodonta","X0C",11.6
"Geum montanum","X0C",8.3
"Helictochloa versicolor","X0C",10
"Horminum pyrenaicum","X0C",0
"Leontodon hispidus","X0C",0
"Leontopodium alpinum","X0C",0
"Lotus corniculatus","X0C",0
"Luzula spicata","X0C",0
"Minuartia verna subsp. verna","X0C",7.5
"Nardus stricta","X0C",0
"Pedicularis tuberosa","X0C",0
"Phleum rhaeticum","X0C",18
"Phyteuma hemisphaericum","X0C",2.5
"Phyteuma orbiculare","X0C",52.5
"Pilosella officinarum","X0C",20
"Poa alpina","X0C",7
"Polygala alpina","X0C",6
"Potentilla aurea","X0C",0
"Primula farinosa","X0C",0
"Pulsatilla alpina","X0C",40
"Pulsatilla vernalis","X0C",0
"Ranunculus montanum.","X0C",6.6
"Rhinanthus glacialis","X0C",54.2
"Scorzoneroides helvetica","X0C",0
"Senecio doronicum","X0C",90
"Serratula tinctoria","X0C",0
"Sesleria caerulea","X0C",8.3
"Soldanella alpina","X0C",0
"Solidago virgaurea","X0C",5
"Valeriana montana","X0C",16
"Achillea moschata","X15.50CS",5.3
"Achillea nana","X15.50CS",3.4
"Antennaria dioica","X15.50CS",64.4
"Anthoxanthum odoratum","X15.50CS",56.6
"Anthyllis vulneraria","X15.50CS",1.6
"Arnica montana","X15.50CS",93
"Aster alpinus","X15.50CS",18.1
"Bartsia alpina","X15.50CS",0
"Biscutella laevigata","X15.50CS",4.6
"Campanula barbata","X15.50CS",12
"Carex curvula","X15.50CS",0
"Carex firma","X15.50CS",2.2
"Carex sempervirens","X15.50CS",1.6
"Dryas octopetala","X15.50CS",7.1
"Festuca halleri","X15.50CS",10.1
"Festuca nigricans","X15.50CS",13.6
"Festuca pumila","X15.50CS",28.7
"Festuca nigrescens","X15.50CS",22.4
"Gentiana acaulis","X15.50CS",3.3
"Gentiana clusii","X15.50CS",0
"Gentiana nivalis","X15.50CS",0
"Gentiana punctata","X15.50CS",0
"Gentiana verna","X15.50CS",0
"Gentianella anisodonta","X15.50CS",0
"Geum montanum","X15.50CS",16.2
"Helictochloa versicolor","X15.50CS",12.1
"Horminum pyrenaicum","X15.50CS",31.2
"Leontodon hispidus","X15.50CS",7.7
"Leontopodium alpinum","X15.50CS",3.3
"Lotus corniculatus","X15.50CS",19.3
"Luzula spicata","X15.50CS",0
"Minuartia verna subsp. verna","X15.50CS",1.8
"Nardus stricta","X15.50CS",0
"Pedicularis tuberosa","X15.50CS",0
"Phleum rhaeticum","X15.50CS",56.4
"Phyteuma hemisphaericum","X15.50CS",14.2
"Phyteuma orbiculare","X15.50CS",6.8
"Pilosella officinarum","X15.50CS",1
"Poa alpina","X15.50CS",62.9
"Polygala alpina","X15.50CS",74.4
"Potentilla aurea","X15.50CS",1.7
"Primula farinosa","X15.50CS",11.7
"Pulsatilla alpina","X15.50CS",0
"Pulsatilla vernalis","X15.50CS",0
"Ranunculus montanum.","X15.50CS",5
"Rhinanthus glacialis","X15.50CS",0
"Scorzoneroides helvetica","X15.50CS",5.3
"Senecio doronicum","X15.50CS",25.1
"Serratula tinctoria","X15.50CS",0
"Sesleria caerulea","X15.50CS",68.6
"Soldanella alpina","X15.50CS",57.9
"Solidago virgaurea","X15.50CS",26.8
"Valeriana montana","X15.50CS",9
"Achillea moschata","X15.53CS",100
"Achillea nana","X15.53CS",77.8
"Antennaria dioica","X15.53CS",100
"Anthoxanthum odoratum","X15.53CS",72.6
"Anthyllis vulneraria","X15.53CS",5.3
"Arnica montana","X15.53CS",100
"Aster alpinus","X15.53CS",95.8
"Bartsia alpina","X15.53CS",94.1
"Biscutella laevigata","X15.53CS",5.8
"Campanula barbata","X15.53CS",80
"Carex curvula","X15.53CS",0
"Carex firma","X15.53CS",35.6
"Carex sempervirens","X15.53CS",16.6
"Dryas octopetala","X15.53CS",100
"Festuca halleri","X15.53CS",64.1
"Festuca nigricans","X15.53CS",83.3
"Festuca pumila","X15.53CS",55
"Festuca nigrescens","X15.53CS",32.8
"Gentiana acaulis","X15.53CS",26.4
"Gentiana clusii","X15.53CS",90.3
"Gentiana nivalis","X15.53CS",35.4
"Gentiana punctata","X15.53CS",25.7
"Gentiana verna","X15.53CS",0
"Gentianella anisodonta","X15.53CS",1.9
"Geum montanum","X15.53CS",97.6
"Helictochloa versicolor","X15.53CS",26.3
"Horminum pyrenaicum","X15.53CS",100
"Leontodon hispidus","X15.53CS",100
"Leontopodium alpinum","X15.53CS",100
"Lotus corniculatus","X15.53CS",21.7
"Luzula spicata","X15.53CS",0
"Minuartia verna subsp. verna","X15.53CS",9.2
"Nardus stricta","X15.53CS",33
"Pedicularis tuberosa","X15.53CS",1.7
"Phleum rhaeticum","X15.53CS",64.8
"Phyteuma hemisphaericum","X15.53CS",100
"Phyteuma orbiculare","X15.53CS",65.4
"Pilosella officinarum","X15.53CS",90.3
"Poa alpina","X15.53CS",18.3
"Polygala alpina","X15.53CS",50
"Potentilla aurea","X15.53CS",13.4
"Primula farinosa","X15.53CS",75.9
"Pulsatilla alpina","X15.53CS",100
"Pulsatilla vernalis","X15.53CS",27.3
"Ranunculus montanum.","X15.53CS",8.6
"Rhinanthus glacialis","X15.53CS",0
"Scorzoneroides helvetica","X15.53CS",88.3
"Senecio doronicum","X15.53CS",100
"Serratula tinctoria","X15.53CS",98.1
