sp abrev,Taxon
Adesmiaemar1_a,Adesmia emarginata
Adesmiaemar1_b,Adesmia emarginata
Adesmiaemar1_c,Adesmia emarginata
Adesmiaemar1_d,Adesmia emarginata
Adesmiaemar2_a,Adesmia emarginata
Adesmiaemar2_b,Adesmia emarginata
Adesmiaemar2_c,Adesmia emarginata
Adesmiaemar2_d,Adesmia emarginata
Adesmiaemar3_a,Adesmia emarginata
Adesmiaemar3_b,Adesmia emarginata
Adesmiaemar3_c,Adesmia emarginata
Adesmiaemar3_d,Adesmia emarginata
Adesmiaemar4_a,Adesmia emarginata
Adesmiaemar4_b,Adesmia emarginata
Adesmiaemar4_c,Adesmia emarginata
Adesmiaemar4_d,Adesmia emarginata
Adesmiaemar5_a,Adesmia emarginata
Adesmiaemar5_b,Adesmia emarginata
Adesmiaemar5_c,Adesmia emarginata
Adesmiaemar5_d,Adesmia emarginata
Adesmiaemar6_a,Adesmia emarginata
Adesmiaemar6_b,Adesmia emarginata
Adesmiaemar6_c,Adesmia emarginata
Adesmiaemar6_d,Adesmia emarginata
Adesmiaemar7_a,Adesmia emarginata
Adesmiaemar7_b,Adesmia emarginata
Adesmiaemar7_c,Adesmia emarginata
Adesmiaemar7_d,Adesmia emarginata
Adesmialong_a,Adesmia longipes
Adesmialong_b,Adesmia longipes
Adesmialong_c,Adesmia longipes
Adesmialong_d,Adesmia longipes
Berberis_a,Berberis montana
Berberis_b,Berberis montana
Berberis_c,Berberis montana
Berberis_d,Berberis montana
Calceolaria1_a,Calceolaria filicaulis
Calceolaria1_b,Calceolaria filicaulis
Calceolaria1_c,Calceolaria filicaulis
Calceolaria1_d,Calceolaria filicaulis
Calceolaria2_a,Calceolaria filicaulis
Calceolaria2_b,Calceolaria filicaulis
Calceolaria2_c,Calceolaria filicaulis
Calceolaria2_d,Calceolaria filicaulis
Cardamine_a,Cardamine cordata
Cardamine_b,Cardamine cordata
Cardamine_c,Cardamine cordata
Cardamine_d,Cardamine cordata
Carexaphy_a,Carex aphylla
Carexaphy_b,Carex aphylla
Carexaphy_c,Carex aphylla
Carexaphy_d,Carex aphylla
Carexbank_a,Carex banksii
Carexbank_b,Carex banksii
Carexbank_c,Carex banksii
Carexbank_d,Carex banksii
Cerastium 4_a,Cerastium arvense
Cerastium 4_b,Cerastium arvense
Cerastium 4_c,Cerastium arvense
Cerastium 4_d,Cerastium arvense
Cerastium1_a,Cerastium arvense
Cerastium1_b,Cerastium arvense
Cerastium1_c,Cerastium arvense
Cerastium1_d,Cerastium arvense
Cerastium2_a,Cerastium arvense
Cerastium2_b,Cerastium arvense
Cerastium2_c,Cerastium arvense
Cerastium2_d,Cerastium arvense
Cerastium3_a,Cerastium arvense
Cerastium3_b,Cerastium arvense
Cerastium3_c,Cerastium arvense
Cerastium3_d,Cerastium arvense
Cerastium5_a,Cerastium arvense
Cerastium5_b,Cerastium arvense
Cerastium5_c,Cerastium arvense
Cerastium5_d,Cerastium arvense
Cerastium6_a,Cerastium arvense
Cerastium6_b,Cerastium arvense
Cerastium6_c,Cerastium arvense
Cerastium6_d,Cerastium arvense
Cerastium7_a,Cerastium arvense
Cerastium7_b,Cerastium arvense
Cerastium7_c,Cerastium arvense
Cerastium7_d,Cerastium arvense
Cerastium8_a,Cerastium arvense
Cerastium8_b,Cerastium arvense
Cerastium8_c,Cerastium arvense
Cerastium8_d,Cerastium arvense
Cortaderia_a,Cortaderia pilosa
Cortaderia_b,Cortaderia pilosa
Cortaderia_c,Cortaderia pilosa
Cortaderia_d,Cortaderia pilosa
Drymis1_a,Drymis andina
Drymis1_b,Drymis andina
Drymis1_c,Drymis andina
Drymis1_d,Drymis andina
Embotrium_a,Embothrium coccineum
Embotrium_b,Embothrium coccineum
