Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,7.5,7.5,4,29
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,7.5,7.5,4,29
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,7.5,7.5,4,29
Achillea_moschata,,,K_203568,Italy,,,,,,N,N,N,Y,N,10,10,2,20
Achillea_moschata,,,K_206879,Italy,,,,,,N,N,N,Y,N,10,10,1,19
Achillea_moschata,,,K_206880,Italy,,,,,,N,N,N,Y,N,10,10,2,20
Achillea_moschata,,,K_203568,Italy,,,,,,N,N,N,Y,N,15,15,7,20
Achillea_moschata,,,K_206879,Italy,,,,,,N,N,N,Y,N,15,15,7,15
Achillea_moschata,,,K_206880,Italy,,,,,,N,N,N,Y,N,15,15,12,19
Achillea_moschata,,,K_207153,Italy,,,,,,N,N,N,Y,N,15,15,6,46
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,15,15,7,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,15,15,7,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,15,15,7,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,15,15,9,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,15,15,9,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,15,15,9,28
Achillea_moschata,,,PAV_SO288,Italy,,,,,,N,Y,N,Y,Y,15,15,12,23
Achillea_moschata,,,PAV_SO327,Italy,,,,,,N,Y,N,Y,Y,15,15,19,25
Achillea_moschata,,,K_206879,Italy,,,,,,N,N,N,Y,N,20,20,15,20
Achillea_moschata,,,PAV_SO066,Italy,,,,,,N,N,Y,Y,N,20,20,29,29
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,20,20,18,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,20,20,18,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,N,20,20,18,28
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,20,20,20,26
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,20,20,20,26
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,N,Y,Y,20,20,20,26
Achillea_moschata,,,PAV_SO231,Italy,,,,,,N,N,Y,Y,N,20,20,28,30
Achillea_moschata,,,PAV_SO286,Italy,,,,,,N,Y,N,Y,Y,20,20,22,22
Achillea_moschata,,,PAV_BS285,Italy,,,,,,N,N,Y,Y,N,20,20,30,30
Achillea_moschata,,,K_203568,Italy,,,,,,N,N,N,Y,N,25,25,15,17
Achillea_moschata,,,K_206879,Italy,,,,,,N,N,N,Y,N,25,25,18,18
Achillea_moschata,,,K_206880,Italy,,,,,,N,N,N,Y,N,25,25,18,20
Achillea_moschata,,,K_207153,Italy,,,,,,N,N,N,Y,N,25,25,29,46
Achillea_moschata,,,K_207153,Italy,,,,,,N,N,Y,Y,N,25,25,42,47
Aconitum_bucovinense,,,WARS_050/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,130,500
