Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Cavieres,Acaena alpina,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Acaena alpina,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,20,25
Cavieres,Acaena alpina,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,25,25
Cavieres,Acaena digitata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Acaena digitata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,25,25
Cavieres,Acaena digitata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,25,25
Cavieres,Acaena pinnatifida,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,1,25
Cavieres,Acaena pinnatifida,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,1,25
Cavieres,Acaena pinnatifida,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,1,25
Cavieres,Adesmia radicifolia,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Adesmia radicifolia,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,25,25
Cavieres,Adesmia radicifolia,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,22,25
Cavieres,Alstroemeria sp.,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,0,25
Cavieres,Alstroemeria sp.,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,1,25
Cavieres,Alstroemeria sp.,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,0,25
Cavieres,Anarthrophyllum cumingii,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Anarthrophyllum cumingii,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,25,25
Cavieres,Anarthrophyllum cumingii,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,25,25
Cavieres,Berberis montana,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,11,25
