TPLName,Family,Alpine
Aconitum bucovinense,Ranunculaceae,Strict
Aconitum firmum,Ranunculaceae,Unknown
Aconitum lasiocarpum,Ranunculaceae,Generalist
Aconitum lycoctonum,Ranunculaceae,Generalist
Aconitum nasutum,Ranunculaceae,Lowland
Aconitum talassicum,Ranunculaceae,Lowland
Adenophora liliifolia,Campanulaceae,Lowland
Adenostyles alliariae,Compositae,Generalist
Alchemilla acutiloba,Rosaceae,Lowland
Alchemilla alpina,Rosaceae,Strict
Alopecurus vaginatus,Poaceae,Lowland
Alyssoides utriculata,Brassicaceae,Lowland
Amberboa glauca,Compositae,Unknown
Anemone narcissiflora,Ranunculaceae,Strict
Aquilegia atrata,Ranunculaceae,Lowland
Arenaria norvegica,Caryophyllaceae,Generalist
Arenaria norvegica,Caryophyllaceae,Generalist
Aruncus dioicus,Rosaceae,Lowland
Aster amellus,Compositae,Generalist
Astragalus australis,Leguminosae,Strict
Astragalus cyri,Leguminosae,Strict
Astragalus penduliflorus,Leguminosae,Strict
Aubrieta thessala,Brassicaceae,Strict
Betula nana,Betulaceae,Strict
Biebersteinia orphanidis,Biebersteiniaceae,Strict
Bupleurum marschallianum,Apiaceae,Unknown
Calamagrostis purpurea,Poaceae,Lowland
Campanula alliariifolia,Campanulaceae,Lowland
Campanula olympica,Campanulaceae,Unknown
Campanula jacquinii,Campanulaceae,Generalist
Campanula latifolia,Campanulaceae,Generalist
Campanula sarmatica,Campanulaceae,Unknown
Campanula serrata,Campanulaceae,Unknown
Carex buxbaumii,Cyperaceae,Generalist
Carex capillaris,Cyperaceae,Strict
Carex lachenalii,Cyperaceae,Strict
Carex microglochin,Cyperaceae,Generalist
Carex pulicaris,Cyperaceae,Generalist
Carex rariflora,Cyperaceae,Strict
Carex rostrata,Cyperaceae,Generalist
Carex saxatilis,Cyperaceae,Generalist
Carlina biebersteinii,Compositae,Lowland
Centaurea reflexa,Compositae,Unknown
Cerastium alpinum,Caryophyllaceae,Strict
Cerastium arcticum,Caryophyllaceae,Strict
Cerastium argenteum,Caryophyllaceae,Unknown
Cerastium cerastoides,Caryophyllaceae,Strict
Cochlearia tatrae,Brassicaceae,Strict
Comarum palustre,Rosaceae,Generalist
Crepis sibirica,Compositae,Lowland
Delphinium cyphoplectrum,Ranunculaceae,Unknown
Delphinium elatum,Ranunculaceae,Lowland
Dianthus barbatus,Caryophyllaceae,Strict
Dianthus furcatus,Caryophyllaceae,Unknown
Dianthus orientalis,Caryophyllaceae,Generalist
Dianthus plumarius,Caryophyllaceae,Unknown
Doronicum austriacum,Compositae,Strict
Draba norvegica,Brassicaceae,Strict
Eleocharis quinqueflora,Cyperaceae,Generalist
Elymus caninus,Poaceae,Generalist
Epilobium alsinifolium,Onagraceae,Generalist
Eriophorum latifolium,Cyperaceae,Generalist
Erysimum hungaricum,Brassicaceae,Strict
Festuca altissima,Poaceae,Lowland
Galium rubioides,Rubiaceae,Unknown
Gentiana burseri,Gentianaceae,Generalist
Gentiana depressa,Gentianaceae,Unknown
Gentiana grandiflora,Gentianaceae,Unknown
Gentiana haynaldii,Gentianaceae,Unknown
Gentiana septemfida,Gentianaceae,Unknown
Gentiana waltonii,Gentianaceae,Unknown
Gentianella amarella,Gentianaceae,Generalist
Geum pyrenaicum,Rosaceae,Generalist
Geum rivale,Rosaceae,Generalist
Glyceria notata,Poaceae,Unknown
Gypsophila elegans,Caryophyllaceae,Lowland
Heliotropium ellipticum,Boraginaceae,Unknown
Herminium monorchis,Orchidaceae,Unknown
Hieracium attenuatifolium,Compositae,Unknown
Hieracium backhousei,Compositae,Unknown
Hieracium calenduliflorum,Compositae,Unknown
Hieracium calvum,Compositae,Unknown
Hieracium completum,Compositae,Unknown
Hieracium eximium,Compositae,Unknown
Hieracium globosiflorum,Compositae,Unknown
Hieracium graniticola,Compositae,Unknown
Hieracium hanburyi,Compositae,Unknown
Hieracium larigense,Compositae,Unknown
Hieracium leptodon,Compositae,Unknown
Hieracium macrocarpum,Compositae,Unknown
Hieracium milesii,Compositae,Unknown
Hieracium pensum,Compositae,Unknown
Hieracium perscitum,Compositae,Unknown
Hieracium snowdoniense,Compositae,Unknown
Hieracium stewartii,Compositae,Unknown
Hieracium zygophorum,Compositae,Unknown
Holosteum marginatum,Caryophyllaceae,Unknown
Hyssopus officinalis,Lamiaceae,Lowland
Juncus balticus,Juncaceae,Generalist
Juncus biglumis,Juncaceae,Unknown
Juncus castaneus,Juncaceae,Unknown
Juncus filiformis,Juncaceae,Strict
Juncus triglumis,Juncaceae,Strict
Jurinea blanda,Compositae,Unknown
Kobresia simpliciuscula,Cyperaceae,Strict
