"TPLName","Alpine"
"Achillea acuminata","Lowland"
"Achillea distans","Lowland"
"Achillea millefolium","Lowland"
"Achillea roseo-alba","Lowland"
"Aconitum barbatum","Lowland"
"Aconitum flavum","Lowland"
"Aconitum gymnandrum","Lowland"
"Aconitum henryi","Lowland"
"Aconitum napellus","Lowland"
"Aconitum sinomontanum","Lowland"
"Acroglochin persicarioides","Lowland"
"Actaea cimicifuga","Lowland"
"Actaea vaginata","Lowland"
"Adenocaulon himalaicum","Lowland"
"Adenophora potaninii","Lowland"
"Adenophora stenanthina","Lowland"
"Adonis amurensis","Lowland"
"Agrimonia pilosa","Lowland"
"Agrostis capillaris","Lowland"
"Agrostis gigantea","Lowland"
"Agrostis hookeriana","Lowland"
"Agrostis stolonifera","Lowland"
"Agrostis vinealis","Lowland"
"Ajuga ciliata","Lowland"
"Alchemilla glabra","Lowland"
"Alchemilla xanthochlora","Lowland"
"Aletris alpestris","Lowland"
"Allium listera","Lowland"
"Allium mongolicum","Lowland"
"Allium ovalifolium","Lowland"
"Allium polyrhizum","Lowland"
"Allium ramosum","Lowland"
"Allium tanguticum","Lowland"
"Amaranthus retroflexus","Lowland"
"Amethystea caerulea","Lowland"
"Ampelodesmos mauritanicus","Lowland"
"Androsace erecta","Lowland"
"Androsace tibetica","Lowland"
"Angelica dahurica","Lowland"
"Angelica laxifoliata","Lowland"
"Angelica nitida","Lowland"
"Antennaria rosea","Lowland"
"Anthemis cretica","Lowland"
"Aquilegia ecalcarata","Lowland"
"Aquilegia oxysepala","Lowland"
"Arabis hirsuta","Lowland"
"Arctium lappa","Lowland"
"Arenaria serpyllifolia","Lowland"
"Arisaema erubescens","Lowland"
"Artemisia argyi","Lowland"
"Artemisia dubia","Lowland"
"Artemisia eriopoda","Lowland"
"Artemisia mongolica","Lowland"
"Artemisia parviflora","Lowland"
"Artemisia roxburghiana","Lowland"
"Artemisia scoparia","Lowland"
"Asparagus longiflorus","Lowland"
"Asperula orientalis","Lowland"
"Aster ageratoides","Lowland"
"Astilbe rubra","Lowland"
"Astragalus adsurgens","Lowland"
"Astragalus bhotanensis","Lowland"
"Astragalus melilotoides","Lowland"
"Astragalus monadelphus","Lowland"
"Astragalus peterae","Lowland"
"Astragalus propinquus","Lowland"
"Astragalus skythropos","Lowland"
"Atriplex laevis","Lowland"
"Avena sativa","Lowland"
"Axyris amaranthoides","Lowland"
"Axyris prostrata","Lowland"
"Bassia scoparia","Lowland"
"Beckmannia syzigachne","Lowland"
"Bidens bipinnata","Lowland"
"Bidens tripartita","Lowland"
"Biebersteinia heterostemon","Lowland"
"Brachypodium pinnatum","Lowland"
"Brachypodium sylvaticum","Lowland"
"Brassica juncea","Lowland"
"Braya humilis","Lowland"
"Briza media","Lowland"
"Bromus japonicus","Lowland"
"Bromus magnus","Lowland"
"Bromus plurinodis","Lowland"
"Bromus tectorum","Lowland"
"Bupleurum bicaule","Lowland"
"Bupleurum boissieuanum","Lowland"
"Bupleurum chinense","Lowland"
"Bupleurum smithii","Lowland"
"Bupleurum yinchowense","Lowland"
"Calamagrostis arundinacea","Lowland"
"Calamagrostis pseudophragmites","Lowland"
"Calluna vulgaris","Lowland"
"Caltha palustris","Lowland"
"Campanula glomerata","Lowland"
"Campanula patula","Lowland"
"Campanula persicifolia","Lowland"
"Campanula rotundifolia","Lowland"
"Campanula spicata","Lowland"
"Capsella bursa-pastoris","Lowland"
"Caragana brevifolia","Lowland"
"Cardamine hirsuta","Lowland"
"Cardamine impatiens","Lowland"
"Carduus crispus","Lowland"
"Carduus defloratus","Lowland"
"Carduus nutans","Lowland"
"Carex brunnea","Lowland"
"Carex caryophyllea","Lowland"
"Carex chlorostachys","Lowland"
"Carex coriophora","Lowland"
"Carex crebra","Lowland"
"Carex leporina","Lowland"
"Carex nigra","Lowland"
"Carex nubigena","Lowland"
"Carex ornithopoda","Lowland"
"Carex stipitinux","Lowland"
