"Species","Region","Alpine","Min.elevation","Max.elevation"
"Acaena alpina","Central Andes","Alpine",2200,2500
"Acaena alpina","Southern Alps","Alpine",2200,2500
"Acaena pinnatifida","Central Andes","Alpine",1300,4000
"Acaena pinnatifida","Southern Alps","Alpine",1300,4000
"Acanthocalyx alba","Qinghai-Tibet Plateau","Alpine",2500,4100
"Achillea acuminata","Qinghai-Tibet Plateau","Lowland",500,2900
"Achillea atrata","Northern Alps","Alpine",1390,3250
"Achillea atrata","Southern Alps","Alpine",1390,3250
"Achillea clavennae","Enscobase","Alpine",1390,3250
"Achillea clavennae","Northern Alps","Alpine",1390,3250
"Achillea clavennae","Southern Alps","Alpine",1390,3250
"Achillea distans","Enscobase","Lowland",0,1390
"Achillea erba-rotta","Northern Alps","Alpine",1390,3250
"Achillea erba-rotta","Southern Alps","Alpine",1390,3250
"Achillea millefolium","Enscobase","Lowland",0,1880
"Achillea millefolium","Northern Alps","Alpine",0,1880
"Achillea millefolium","Southern Alps","Alpine",0,1880
"Achillea nana","Northern Alps","Alpine",1880,3250
"Achillea nana","Southern Alps","Alpine",1880,3250
"Achillea roseo-alba","Northern Alps","Lowland",0,1390
"Achillea roseo-alba","Southern Alps","Lowland",0,1390
"Achnatherum psilantherum","Qinghai-Tibet Plateau","Alpine",2000,4100
"Aciphylla glacialis","Australian Alps","Alpine",1600,2230
"Aciphylla simplicifolia","Australian Alps","Alpine",500,1880
"Aconitum barbatum","Qinghai-Tibet Plateau","Lowland",400,2700
"Aconitum brunneum","Qinghai-Tibet Plateau","Alpine",3000,4300
"Aconitum flavum","Qinghai-Tibet Plateau","Lowland",2000,3700
"Aconitum gymnandrum","Qinghai-Tibet Plateau","Lowland",500,3800
"Aconitum henryi","Qinghai-Tibet Plateau","Lowland",1000,3100
"Aconitum napellus","Enscobase","Lowland",1050,1880
"Aconitum napellus","Northern Alps","Alpine",1050,1880
"Aconitum napellus","Southern Alps","Alpine",1050,1880
"Aconitum sinomontanum","Qinghai-Tibet Plateau","Lowland",1000,3700
"Aconitum tanguticum","Qinghai-Tibet Plateau","Alpine",3200,4800
"Aconitum tauricum","Northern Alps","Alpine",1390,1880
"Aconitum tauricum","Southern Alps","Alpine",1390,1880
"Acroglochin persicarioides","Qinghai-Tibet Plateau","Lowland",NA,NA
"Acronema chinense","Qinghai-Tibet Plateau","Alpine",3200,4900
"Actaea cimicifuga","Qinghai-Tibet Plateau","Lowland",1700,3600
"Actaea vaginata","Qinghai-Tibet Plateau","Lowland",2800,4000
"Adenocaulon himalaicum","Qinghai-Tibet Plateau","Lowland",0,3400
"Adenophora himalayana","Qinghai-Tibet Plateau","Alpine",2500,4700
"Adenophora liliifolioides","Qinghai-Tibet Plateau","Alpine",2400,4600
"Adenophora potaninii","Qinghai-Tibet Plateau","Lowland",0,3100
"Adenophora stenanthina","Qinghai-Tibet Plateau","Lowland",0,4000
"Adesmia emarginata","Central Andes","Alpine",200,2700
"Adesmia emarginata","Southern Alps","Alpine",200,2700
"Adesmia longipes","Central Andes","Alpine",1300,3200
"Adesmia longipes","Southern Alps","Alpine",1300,3200
"Adesmia papposa","Central Andes","Alpine",0,2500
"Adesmia papposa","Southern Alps","Alpine",0,2500
"Adesmia radicifolia","Central Andes","Alpine",0,3100
"Adesmia radicifolia","Southern Alps","Alpine",0,3100
"Adonis amurensis","Qinghai-Tibet Plateau","Lowland",NA,NA
"Agrimonia pilosa","Qinghai-Tibet Plateau","Lowland",100,3800
"Agropyron velutinum","Australian Alps","Alpine",770,2013
"Agrostis alpina","Northern Alps","Alpine",1390,3250
"Agrostis alpina","Southern Alps","Alpine",1390,3250
"Agrostis capillaris","Enscobase","Lowland",0,1880
"Agrostis gigantea","Qinghai-Tibet Plateau","Lowland",NA,NA
"Agrostis hookeriana","Qinghai-Tibet Plateau","Lowland",1900,3600
"Agrostis hugoniana","Qinghai-Tibet Plateau","Alpine",2500,4200
"Agrostis pilosula","Qinghai-Tibet Plateau","Alpine",3600,4200
"Agrostis stolonifera","Qinghai-Tibet Plateau","Lowland",NA,NA
"Agrostis vinealis","Qinghai-Tibet Plateau","Lowland",1500,1700
"Ajania fruticulosa","Qinghai-Tibet Plateau","Alpine",500,4400
"Ajania salicifolia","Qinghai-Tibet Plateau","Alpine",2600,4600
"Ajania tenuifolia","Qinghai-Tibet Plateau","Alpine",2200,4600
"Ajuga ciliata","Qinghai-Tibet Plateau","Lowland",300,2500
"Ajuga lupulina","Qinghai-Tibet Plateau","Alpine",1300,4200
"Alchemilla glabra","Enscobase","Lowland",1050,3250
"Alchemilla xanthochlora","Enscobase","Lowland",0,3250
"Aletris alpestris","Qinghai-Tibet Plateau","Lowland",800,3900
"Aletris glandulifera","Qinghai-Tibet Plateau","Alpine",3300,4300
"Allium beesianum","Qinghai-Tibet Plateau","Alpine",3000,4200
"Allium chrysanthum","Qinghai-Tibet Plateau","Alpine",2000,4500
"Allium chrysocephalum","Qinghai-Tibet Plateau","Alpine",3400,4800
"Allium cyaneum","Qinghai-Tibet Plateau","Alpine",2100,5000
"Allium cyathophorum","Qinghai-Tibet Plateau","Alpine",2700,4600
"Allium insubricum","Northern Alps","Alpine",1050,1880
"Allium insubricum","Southern Alps","Alpine",1050,1880
"Allium listera","Qinghai-Tibet Plateau","Lowland",600,2000
"Allium macranthum","Qinghai-Tibet Plateau","Alpine",2700,4200
"Allium mongolicum","Qinghai-Tibet Plateau","Lowland",800,2800
"Allium ovalifolium","Qinghai-Tibet Plateau","Lowland",1500,4000
"Allium polyrhizum","Qinghai-Tibet Plateau","Lowland",1000,3700
"Allium prattii","Qinghai-Tibet Plateau","Alpine",2000,4900
"Allium przewalskianum","Qinghai-Tibet Plateau","Alpine",2000,4800
"Allium ramosum","Qinghai-Tibet Plateau","Lowland",500,2100
"Allium rude","Qinghai-Tibet Plateau","Alpine",2700,5000
"Allium sikkimense","Qinghai-Tibet Plateau","Alpine",2400,5000
"Allium tanguticum","Qinghai-Tibet Plateau","Lowland",2000,3500
"Allium victorialis","Northern Alps","Alpine",1390,3250
"Allium victorialis","Qinghai-Tibet Plateau","Lowland",600,2500
"Allium victorialis","Southern Alps","Alpine",1390,3250
"Alstroemeria pallida","Central Andes","Alpine",1100,2800
"Alstroemeria pallida","Southern Alps","Alpine",1100,2800
"Alyssum murale","Northern Alps","Alpine",0,1880
"Alyssum murale","Southern Alps","Alpine",0,1880
"Amaranthus retroflexus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Amethystea caerulea","Qinghai-Tibet Plateau","Lowland",200,3400
"Ampelodesmos mauritanicus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Anaphalis aureopunctata","Qinghai-Tibet Plateau","Alpine",1000,4200
"Anaphalis bicolor","Qinghai-Tibet Plateau","Alpine",2000,3800
"Anaphalis flavescens","Qinghai-Tibet Plateau","Alpine",2800,4700
"Anaphalis hancockii","Qinghai-Tibet Plateau","Alpine",2000,3700
"Anaphalis lactea","Qinghai-Tibet Plateau","Alpine",2000,3400
"Anaphalis latialata","Qinghai-Tibet Plateau","Alpine",3000,5000
"Anaphalis margaritacea","Qinghai-Tibet Plateau","Alpine",300,3400
"Anaphalis nepalensis","Qinghai-Tibet Plateau","Alpine",2400,4500
"Anarthrophyllum cumingii","Central Andes","Alpine",1800,3000
"Anarthrophyllum cumingii","Southern Alps","Alpine",1800,3000
"Anarthrophyllum gayanum","Central Andes","Alpine",2000,3700
"Anarthrophyllum gayanum","Southern Alps","Alpine",2000,3700
"Androsace chamaejasme","Northern Alps","Alpine",1390,3250
"Androsace chamaejasme","Southern Alps","Alpine",1390,3250
"Androsace erecta","Qinghai-Tibet Plateau","Lowland",2400,3400
"Androsace gmelinii","Qinghai-Tibet Plateau","Alpine",2600,4400
"Androsace obtusifolia","Northern Alps","Alpine",1880,3250
"Androsace obtusifolia","Southern Alps","Alpine",1880,3250
"Androsace tibetica","Qinghai-Tibet Plateau","Lowland",1300,4000
"Androsace villosa","Cantabrian Mountains","Alpine",800,2780
"Anemone alpina","Enscobase","Lowland",1050,3250
"Anemone alpina","Northern Alps","Alpine",1050,3250
"Anemone alpina","Southern Alps","Alpine",1050,3250
"Anemone obtusiloba","Qinghai-Tibet Plateau","Alpine",2900,4000
"Anemone rivularis","Qinghai-Tibet Plateau","Alpine",800,4900
"Anemone vernalis","Northern Alps","Alpine",1390,3250
"Anemone vernalis","Southern Alps","Alpine",1390,3250
"Angelica dahurica","Qinghai-Tibet Plateau","Lowland",500,1000
"Angelica laxifoliata","Qinghai-Tibet Plateau","Lowland",2300,3000
"Angelica nitida","Qinghai-Tibet Plateau","Lowland",2600,4000
"Anisodus tanguticus","Qinghai-Tibet Plateau","Alpine",2000,4400
"Antennaria dioica","Northern Alps","Alpine",1390,3250
"Antennaria dioica","Southern Alps","Alpine",1390,3250
"Antennaria rosea","Qinghai-Tibet Plateau","Lowland",100,3800
"Anthemis cretica","Enscobase","Lowland",1050,1880
"Anthoxanthum odoratum","Caucasus","Alpine",1000,2900
"Anthoxanthum odoratum","Enscobase","Lowland",0,1390
"Anthoxanthum odoratum","Northern Alps","Alpine",1390,3250
"Anthoxanthum odoratum","Southern Alps","Alpine",1390,3250
"Anthriscus sylvestris","Qinghai-Tibet Plateau","Alpine",0,4500
"Anthyllis vulneraria","Caucasus","Alpine",1000,2900
"Anthyllis vulneraria","Enscobase","Lowland",0,4810
"Anthyllis vulneraria","Northern Alps","Alpine",0,4810
"Anthyllis vulneraria","Southern Alps","Alpine",0,4810
"Aquilegia ecalcarata","Qinghai-Tibet Plateau","Lowland",1800,3500
"Aquilegia einseleana","Northern Alps","Alpine",1050,1880
"Aquilegia einseleana","Southern Alps","Alpine",1050,1880
"Aquilegia oxysepala","Qinghai-Tibet Plateau","Lowland",400,2700
"Arabis alpina","Northern Alps","Alpine",0,3250
"Arabis alpina","Southern Alps","Alpine",0,3250
"Arabis caerulea","Northern Alps","Alpine",1880,3250
"Arabis caerulea","Southern Alps","Alpine",1880,3250
"Arabis hirsuta","Qinghai-Tibet Plateau","Lowland",300,4000
"Arctium lappa","Qinghai-Tibet Plateau","Lowland",700,3500
"Arenaria biflora","Northern Alps","Alpine",1880,3250
"Arenaria biflora","Southern Alps","Alpine",1880,3250
"Arenaria edgeworthiana","Qinghai-Tibet Plateau","Alpine",4200,5100
"Arenaria erinacea","Cantabrian Mountains","Alpine",900,2200
"Arenaria grandiflora","Cantabrian Mountains","Alpine",500,2500
"Arenaria kansuensis","Qinghai-Tibet Plateau","Alpine",3500,5300
"Arenaria purpurascens","Cantabrian Mountains","Alpine",1700,2900
"Arenaria serpyllifolia","Qinghai-Tibet Plateau","Lowland",600,4000
"Arisaema erubescens","Qinghai-Tibet Plateau","Lowland",0,3200
"Aristida triseta","Qinghai-Tibet Plateau","Alpine",2400,4700
"Armeria alpina","Enscobase","Alpine",1880,3250
"Armeria alpina","Northern Alps","Alpine",1880,3250
"Armeria alpina","Southern Alps","Alpine",1880,3250
"Armeria canescens","Enscobase","Alpine",NA,NA
"Armeria cantabrica","Cantabrian Mountains","Alpine",1200,2400
"Arnica montana","Enscobase","Alpine",1390,3250
"Arnica montana","Northern Alps","Alpine",1390,3250
"Arnica montana","Southern Alps","Alpine",1390,3250
"Artemisia argyi","Qinghai-Tibet Plateau","Lowland",0,1500
"Artemisia desertorum","Qinghai-Tibet Plateau","Alpine",3500,4600
"Artemisia dubia","Qinghai-Tibet Plateau","Lowland",0,3500
"Artemisia eriopoda","Qinghai-Tibet Plateau","Lowland",0,2100
"Artemisia genipi","Northern Alps","Alpine",1390,3250
"Artemisia genipi","Southern Alps","Alpine",1390,3250
"Artemisia glacialis","Northern Alps","Alpine",1390,3250
"Artemisia glacialis","Southern Alps","Alpine",1390,3250
"Artemisia gmelinii","Qinghai-Tibet Plateau","Alpine",1000,4900
"Artemisia hedinii","Qinghai-Tibet Plateau","Alpine",1000,4800
"Artemisia mongolica","Qinghai-Tibet Plateau","Lowland",0,2000
"Artemisia parviflora","Qinghai-Tibet Plateau","Lowland",400,4000
"Artemisia roxburghiana","Qinghai-Tibet Plateau","Lowland",700,3900
"Artemisia scoparia","Qinghai-Tibet Plateau","Lowland",0,3200
"Artemisia sieversiana","Qinghai-Tibet Plateau","Alpine",0,4200
"Artemisia siversiana","Qinghai-Tibet Plateau","Alpine",0,4200
"Artemisia umbelliformis","Enscobase","Alpine",1880,3250
"Artemisia umbelliformis","Northern Alps","Alpine",1880,3250
"Artemisia umbelliformis","Southern Alps","Alpine",1880,3250
"Asparagus longiflorus","Qinghai-Tibet Plateau","Lowland",2400,3300
"Asperugo procumbens","Qinghai-Tibet Plateau","Alpine",2000,NA
"Asperula orientalis","Qinghai-Tibet Plateau","Lowland",NA,NA
"Astelia alpina","Australian Alps","Alpine",1400,2133
"Astelia psychrocharis","Australian Alps","Alpine",1500,2133
"Aster ageratoides","Qinghai-Tibet Plateau","Lowland",100,3400
"Aster albescens","Qinghai-Tibet Plateau","Alpine",500,4100
"Aster alpinus","Caucasus","Alpine",1000,2900
"Aster alpinus","Northern Alps","Alpine",1390,3250
"Aster alpinus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Aster alpinus","Southern Alps","Alpine",1390,3250
"Aster diplostephioides","Qinghai-Tibet Plateau","Alpine",2700,4600
"Aster farreri","Qinghai-Tibet Plateau","Alpine",1300,4100
"Aster poliothamnus","Qinghai-Tibet Plateau","Alpine",800,4200
"Aster souliei","Qinghai-Tibet Plateau","Alpine",2700,4600
"Aster yunnanensis","Qinghai-Tibet Plateau","Alpine",2300,4500
"Astilbe rubra","Qinghai-Tibet Plateau","Lowland",400,3600
"Astragalus adsurgens","Qinghai-Tibet Plateau","Lowland",0,3700
"Astragalus australis","Enscobase","Alpine",1390,3250
"Astragalus bhotanensis","Qinghai-Tibet Plateau","Lowland",600,2800
"Astragalus floridus","Qinghai-Tibet Plateau","Alpine",2700,5200
"Astragalus mahoschanicus","Qinghai-Tibet Plateau","Alpine",1800,4500
"Astragalus melilotoides","Qinghai-Tibet Plateau","Lowland",200,2600
"Astragalus monadelphus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Astragalus peterae","Qinghai-Tibet Plateau","Lowland",2800,3800
"Astragalus polycladus","Qinghai-Tibet Plateau","Alpine",2000,4500
"Astragalus propinquus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Astragalus przewalskii","Qinghai-Tibet Plateau","Alpine",3000,5000
"Astragalus skythropos","Qinghai-Tibet Plateau","Lowland",NA,NA
"Astragalus tanguticus","Qinghai-Tibet Plateau","Alpine",3300,4100
"Astragalus tongolensis","Qinghai-Tibet Plateau","Alpine",3400,4800
"Astragalus vesiculosus","Central Andes","Alpine",1780,3440
"Astragalus vesiculosus","Southern Alps","Alpine",1780,3440
"Atriplex laevis","Qinghai-Tibet Plateau","Lowland",NA,NA
"Avena fatua","Qinghai-Tibet Plateau","Alpine",0,4300
"Avena sativa","Qinghai-Tibet Plateau","Lowland",NA,NA
"Axyris amaranthoides","Qinghai-Tibet Plateau","Lowland",NA,NA
"Axyris prostrata","Qinghai-Tibet Plateau","Lowland",NA,NA
"Azorella madreporica","Central Andes","Alpine",1800,3600
"Azorella madreporica","Southern Alps","Alpine",1800,3600
"Baeckea gunniana","Australian Alps","Alpine",150,2060
"Baeckea utilis","Australian Alps","Alpine",40,2122
"Bartsia alpina","Enscobase","Alpine",1880,3250
"Bartsia alpina","Northern Alps","Alpine",1880,3250
"Bartsia alpina","Southern Alps","Alpine",1880,3250
"Bassia scoparia","Qinghai-Tibet Plateau","Lowland",NA,NA
"Batrachium bungei","Qinghai-Tibet Plateau","Alpine",0,4900
"Beckmannia syzigachne","Qinghai-Tibet Plateau","Lowland",0,3700
"Berberis montana","Central Andes","Alpine",500,2700
"Berberis montana","Southern Alps","Alpine",500,2700
"Bidens bipinnata","Qinghai-Tibet Plateau","Lowland",0,1800
"Bidens tripartita","Qinghai-Tibet Plateau","Lowland",NA,NA
"Biebersteinia heterostemon","Qinghai-Tibet Plateau","Lowland",1000,3500
"Biscutella laevigata","Enscobase","Lowland",0,3250
"Biscutella laevigata","Northern Alps","Alpine",0,3250
"Biscutella laevigata","Southern Alps","Alpine",0,3250
"Blysmus sinocompressus","Qinghai-Tibet Plateau","Alpine",500,4800
"Brachypodium pinnatum","Enscobase","Lowland",0,1880
"Brachypodium sylvaticum","Qinghai-Tibet Plateau","Lowland",NA,NA
"Brachyscome barkerae","Australian Alps","Alpine",NA,NA
"Brachyscome obovata","Australian Alps","Alpine",1060,1910
"Brachyscome rigidula","Australian Alps","Alpine",60,1842
"Brachyscome spathulata","Australian Alps","Alpine",20,2111
"Brachyscome staceae","Australian Alps","Alpine",1000,1390
"Brachyscome stolonifera","Australian Alps","Alpine",1730,2136
"Brassica juncea","Qinghai-Tibet Plateau","Lowland",NA,NA
"Braya humilis","Qinghai-Tibet Plateau","Lowland",NA,NA
"Braya rosea","Qinghai-Tibet Plateau","Alpine",2500,5300
"Briza media","Enscobase","Lowland",0,1880
"Bromus japonicus","Qinghai-Tibet Plateau","Lowland",0,2500
"Bromus magnus","Qinghai-Tibet Plateau","Lowland",2300,3800
"Bromus plurinodis","Qinghai-Tibet Plateau","Lowland",2000,3600
"Bromus sinensis","Qinghai-Tibet Plateau","Alpine",3500,4300
"Bromus tectorum","Qinghai-Tibet Plateau","Lowland",100,3400
"Bupleurum bicaule","Qinghai-Tibet Plateau","Lowland",600,1600
"Bupleurum boissieuanum","Qinghai-Tibet Plateau","Lowland",800,1500
"Bupleurum chinense","Qinghai-Tibet Plateau","Lowland",100,2700
"Bupleurum commelynoideum","Qinghai-Tibet Plateau","Alpine",2700,4300
"Bupleurum smithii","Qinghai-Tibet Plateau","Lowland",1400,3700
"Bupleurum yinchowense","Qinghai-Tibet Plateau","Lowland",500,1900
"Calamagrostis arundinacea","Enscobase","Lowland",1050,1880
"Calamagrostis pseudophragmites","Qinghai-Tibet Plateau","Lowland",300,2500
"Calandrinia caespitosa","Central Andes","Alpine",1980,3950
"Calandrinia caespitosa","Southern Alps","Alpine",1980,3950
"Calandrinia sericea","Central Andes","Alpine",1500,2600
"Calandrinia sericea","Southern Alps","Alpine",1500,2600
"Calceolaria biflora","Central Andes","Alpine",0,2600
"Calceolaria biflora","Southern Alps","Alpine",0,2600
"Calceolaria filicaulis","Central Andes","Alpine",1400,3100
"Calceolaria filicaulis","Southern Alps","Alpine",1400,3100
"Calceolaria purpurea","Central Andes","Alpine",350,2800
"Calceolaria purpurea","Southern Alps","Alpine",350,2800
"Callistemon pityoides","Australian Alps","Alpine",440,1765
"Callitriche palustris","Qinghai-Tibet Plateau","Alpine",0,5000
"Calluna vulgaris","Enscobase","Lowland",1050,3250
"Caltha palustris","Qinghai-Tibet Plateau","Lowland",600,4000
"Caltha scaposa","Qinghai-Tibet Plateau","Alpine",2800,4100
"Campanula alpina","Northern Alps","Alpine",1390,3250
"Campanula alpina","Southern Alps","Alpine",1390,3250
"Campanula aristata","Qinghai-Tibet Plateau","Alpine",3500,5000
"Campanula barbata","Enscobase","Alpine",1390,3250
"Campanula barbata","Northern Alps","Alpine",1390,3250
"Campanula barbata","Southern Alps","Alpine",1390,3250
"Campanula cenisia","Northern Alps","Alpine",1880,3250
"Campanula cenisia","Southern Alps","Alpine",1880,3250
"Campanula cochleariifolia","Northern Alps","Alpine",1050,3250
"Campanula cochleariifolia","Southern Alps","Alpine",1050,3250
"Campanula collina","Caucasus","Alpine",1700,2900
"Campanula glomerata","Enscobase","Lowland",0,1390
"Campanula macrorhiza","Northern Alps","Alpine",0,3250
"Campanula macrorhiza","Southern Alps","Alpine",0,3250
"Campanula patula","Enscobase","Lowland",0,1390
"Campanula persicifolia","Northern Alps","Lowland",0,1390
"Campanula persicifolia","Southern Alps","Lowland",0,1390
"Campanula raineri","Northern Alps","Alpine",1050,1880
"Campanula raineri","Southern Alps","Alpine",1050,1880
"Campanula rotundifolia","Enscobase","Lowland",0,1390
"Campanula scheuchzeri","Northern Alps","Alpine",1390,3250
"Campanula scheuchzeri","Southern Alps","Alpine",1390,3250
"Campanula serrata","Enscobase","Alpine",NA,NA
"Campanula spicata","Northern Alps","Lowland",0,1390
"Campanula spicata","Southern Alps","Lowland",0,1390
"Campanula thyrsoides","Northern Alps","Alpine",1390,3250
