FoCh name,Range,Habitat,Alpine,Min elevation,Max elevation,Standardized name,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
,400-800 m,"Scrub, hillsides, grasslands, stony slopes; 400-800 m. Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shandong, Shanxi [Korea, Mongolia, Russia (E Siberia)].",Lowland,400,800,Saposhnikovia divaricata,Saposhnikovia divaricata(Turcz.)Schischk.,Saposhnikovia,,divaricata,NA,NA,,(Turcz.)Schischk.,kew-2480406,TRUE,1.1,Accepted,Apiaceae,Saposhnikovia,,divaricata,,,(Turcz.) Schischk.,kew-2480406,Accepted,FALSE,FALSE,FALSE,28/10/2019
,100--900 m,"Grassy slopes, limestone areas; 100--900 m. Anhui, Guangdong, Guangxi, Henan, Jiangsu, Jilin, Liaoning, Nei Mongol, Taiwan, Zhejiang [Japan, Korea, Russia (Primorskiy Kray)].",Lowland,100,900,Lilium callosum,Lilium callosum,Lilium,,callosum,NA,NA,,,kew-280675,TRUE,1.1,Accepted,Liliaceae,Lilium,,callosum,,,Siebold & Zucc.,kew-280675,Accepted,FALSE,FALSE,FALSE,28/10/2019
,0-1000 m,"Hillsides, streamsides, grassy places, thickets, forests; 0-1000 m. Anhui, Fujian, Guangdong, Guangxi, Hubei, Hunan, Jiangsu, Jiangxi, Shandong, Taiwan, Yunnan, Zhejiang [Japan].",Lowland,0,1000,Clinopodium chinense,Clinopodium chinense,Clinopodium,,chinense,NA,NA,,,kew-43482,TRUE,1.1,Accepted,Lamiaceae,Clinopodium,,chinense,,,(Benth.) Kuntze,kew-43482,Accepted,FALSE,FALSE,FALSE,28/10/2019
Clinopodium chinense,0-1000 m,"Hillsides, streamsides, grassy places, thickets, forests; 0-1000 m. Anhui, Fujian, Guangdong, Guangxi, Hubei, Hunan, Jiangsu, Jiangxi, Shandong, Taiwan, Yunnan, Zhejiang [Japan].",Lowland,0,1000,Clinopodium chinense,Clinopodium urticifolium,Clinopodium,,urticifolium,NA,NA,,,kew-43695,TRUE,1.1,Synonym,Lamiaceae,Clinopodium,,chinense,subsp.,grandiflorum,(Maxim.) H.Hara,kew-43487,Accepted,FALSE,FALSE,FALSE,28/10/2019
,300-1000 m,"Dry mountain slopes, rock crevices; 300-1000 m. S Liaoning (Zhuanghe), NE Shandong (Muping, Weihai, Yantai) [Korea].",Lowland,300,1000,Carlesia sinensis,Carlesia sinensis Dunn,Carlesia,,sinensis,NA,NA,,Dunn,kew-2700968,TRUE,1.1,Accepted,Apiaceae,Carlesia,,sinensis,,,Dunn,kew-2700968,Accepted,FALSE,FALSE,FALSE,28/10/2019
,500-1000 m,"Forest margins, valley grasslands, streamsides; 500-1000 m. Hebei, Heilongjiang, Jilin, Liaoning, Shaanxi, N Taiwan [Japan, Korea, Russia (Siberia)].",Lowland,500,1000,Angelica dahurica,Angelica dahurica ,Angelica,,dahurica,NA,NA,,,kew-2639044,TRUE,1.1,Accepted,Apiaceae,Angelica,,dahurica,,,(Hoffm.) Benth. & Hook.f. ex Franch. & Sav.,kew-2639044,Accepted,FALSE,FALSE,FALSE,28/10/2019
,700-1000 m,"Grassy slopes along streams; 700-1000 m. Hubei, Hunan, Jiangxi, Sichuan, Yunnan",Lowland,700,1000,Carpesium minus,Carpesium minus,Carpesium,,minus,NA,NA,,,gcc-127547,TRUE,1.1,Accepted,Compositae,Carpesium,,minus,,,Hemsl.,gcc-127547,Accepted,FALSE,FALSE,FALSE,28/10/2019
Poa pratensis subsp. alpigena,700-1000 m,"Mountain meadows, alpine cold grasslands, riverside sandy places; 700-1000 m. Hebei, Heilongjiang, Nei Mongol [Russia; Europe, North and South America].",Euryalpine,700,1000,Poa alpigena,Poa poophagorum ,Poa,,poophagorum,NA,NA,,,kew-436900,TRUE,1.1,Synonym,Poaceae,Poa,,alpigena,,,Lindm.,kew-435078,Accepted,FALSE,FALSE,FALSE,28/10/2019
,200-1200(-4400) m,"Mountain forest margins, meadows among scattered thickets on slopes, grassy places on sunny slopes; 200-1200(-4400) m. Anhui, Gansu, Guizhou, Henan, Hubei, Hunan, Shaanxi, Sichuan, Xinjiang, Xizang, Yunnan.",Lowland,200,1200,Poa faberi,Poa paucifolia Keng,Poa,,paucifolia,NA,NA,,Keng,kew-436791,TRUE,1.1,Synonym,Poaceae,Poa,,faberi,,,Rendle,kew-435868,Accepted,FALSE,FALSE,FALSE,06/09/2019
,400-1200 m,"Channel sides, stony places, roadsides; 400-1200 m. Anhui, Fujian, Gansu, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning (Qianshan), Shaanxi, Shanxi, Sichuan, Yunnan, Zhejiang [?Japan].",Lowland,400,1200,Corydalis edulis,Corydalis edulis Maxim,Corydalis,,edulis,NA,NA,,Maxim,kew-2738683,TRUE,1.1,Accepted,Papaveraceae,Corydalis,,edulis,,,Maxim.,kew-2738683,Accepted,FALSE,FALSE,FALSE,28/10/2019
