Taxon,Habitat,Min.elevation,Max.elevation
Androsace villosa,"Alpine, Calcareous, Cryoturbated",800,2780
Arenaria erinacea,"Subalpine, Calcareous, Cryoturbated",900,2200
Arenaria grandiflora subsp. incrassata,"Subalpine, Calcareous, Cryoturbated",500,2500
Arenaria purpurascens,"Alpine, Calcareous, Cryoturbated",1700,2900
Armeria cantabrica,"Subalpine, Calcareous, Mesophilous",1200,2400
Avenula sulcata,"Subalpine, Acid, Mesophilous",0,2000
Carex asturica,"Subalpine, Acid, Mesophilous",700,2100
Carex sempervirens,"Subalpine, Calcareous, Mesophilous",500,2700
Festuca eskia,"Subalpine, Acid, Cryoturbated",1600,3000
Festuca paniculata,"Subalpine, Acid, Mesophilous",1500,2750
Fritillaria legionensis,"Subalpine, Acid, Mesophilous",1200,2000
Jasione cavanillesii,"Alpine, Calcareous, Cryoturbated",1650,2460
Jurinea humilis,"Subalpine, Acid and calcareous, Cryoturbated",800,1900
Kobresia myosuroides,"Alpine, Calcareous, Mesophilous",1700,2800
Scorzoneroides cantabrica,"Alpine, Acid, Mesophilous",1250,2550
Lychnis alpina,"Alpine, Acid, Mesophilous",1700,2800
Polygonum viviparum,"Subalpine, Calcareous, Mesophilous",1200,3000
Rumex suffruticosus,"Subalpine, Acid, Cryoturbated",1400,2400
Saxifraga oppositifolia,"Alpine, Acid and calcareous, Cryoturbated",1700,3000
Silene acaulis,"Alpine, Calcareous, Cryoturbated",1600,3000
Silene ciliata,"Subalpine, Acid and calcareous, Cryoturbated",1100,2700
Teesdaliopsis conferta,"Subalpine, Acid, Cryoturbated",1500,2200
