NameDB,NameAnisa,Min Elevation,Max Elevation
Aciphylla glacialis,Aciphylla glacialis,1600,2230
Aciphylla simplicifolia,Aciphylla simplicifolia,500,1880
Arthropodium sp. B sensu Harden (1993),Arthropodium sp. B sensu Harden (1993),,
Astelia alpina var. novae-hollandiae,Astelia alpina var. novae-hollandiae,1400,2133
Astelia psychrocharis,Astelia psychrocharis,1500,2133
Australopyrum velutinum,Australopyrum velutinum,770,2013
Austrodanthonia alpicola,Austrodanthonia alpicola,1750,2157
Baeckea gunniana,Baeckea gunniana,150,2060
Baeckea utilis,Baeckea utilis,40,2122
Brachyscome barkerae,Brachyscome barkerae,,
Brachyscome obovata,Brachyscome obovata,1060,1910
Brachyscome rigidula,Brachyscome rigidula,60,1842
Brachyscome spathulata,Brachyscome spathulata,20,2111
Brachyscome staceae,Brachyscome staceae,1000,1390
Brachyscome stolonifera,Brachyscome stolonifera,1730,2136
Cardamine robusta,Cardamine robusta,1486,2118
Carex blakei,Carex blakei,1392,1900
Carex brownii,Carex brownii,1350,1350
Carex capillacea,Carex capillacea,960,1790
Carex cephalotes,Carex cephalotes,1121,2122
Carex echinata,Carex echinata,600,2100
Carex gaudichaudiana,Carex gaudichaudiana,30,2122
Carex hebes,Carex hebes,1565,2204
Carex hypandra,Carex hypandra,1840,2160
Carex iynx,Carex iynx,230,1591
Carpha nivicola,Carpha nivicola,424,2070
Celmisia costiniana,Celmisia costiniana,1600,2140
Celmisia pugioniformis,Celmisia pugioniformis,130,2140
Chionogentias muelleriana ssp. alpestris,Chionogentias muelleriana ssp. alpestris,1376,2160
Chionogentias muelleriana ssp. muelleriana,Chionogentias muelleriana ssp. muelleriana,1650,1900
Colobanthus affinis,Colobanthus affinis,1610,2182
Coronidium gunnianum,Coronidium gunnianum,32,1371
Coronidium waddelliae,Coronidium waddelliae,757,1750
Craspedia alba,Craspedia alba,1640,2000
Craspedia costiniana,Craspedia costiniana,1495,2200
Craspedia jamesii,Craspedia jamesii,1000,2038
Craspedia lamicola,Craspedia lamicola,1323,2200
Craspedia leucantha,Craspedia leucantha,1580,2092
Deschampsia cespitosa,Deschampsia cespitosa,1110,2093
Dichosciadium ranunculaceum var. ranunculaceum,Dichosciadium ranunculaceum var. ranunculaceum,1747,2230
Diplaspis nivis,Diplaspis nivis,1500,2230
Drosera arcturi,Drosera arcturi,1733,2190
Epacris celata,Epacris celata,1002,1943
Epacris glacialis,Epacris glacialis,1585,2100
Epacris glacials,Epacris glacialis,1585,2100
