"TPLName","Dormancy"
"Abarema barbouriana","PY"
"Abarema jupunba","ND"
"Abarema macradenia","ND"
"Abelia dielsii","MPD"
"Abeliophyllum distichum","PD"
"Abelmoschus esculentus","PY"
"Abelmoschus moschatus","PY"
"Abies alba","PD"
"Abies amabilis","PD"
"Abies balsamea","PD"
"Abies bracteata","PD"
"Abies chensiensis","PD"
"Abies concolor","PD"
"Abies densa","PD"
"Abies firma","PD"
"Abies fraseri","PD"
"Abies grandis","PD"
"Abies guatemalensis","PD"
"Abies homolepis","PD"
"Abies lasiocarpa","PD"
"Abies magnifica","PD"
"Abies mariesii","PD"
"Abies nephrolepis","PD"
"Abies nordmanniana","PD"
"Abies pindrow","PD"
"Abies procera","PD"
"Abies religiosa","PD"
"Abies sachalinensis","PD"
"Abies sibirica","PD"
"Abies spectabilis","PD"
"Abies veitchii","PD"
"Abroma augusta","ND"
"Abronia fragrans","PD"
"Abronia maritima","PD"
"Abronia umbellata","PD"
"Abronia villosa","PD"
"Abrus precatorius","PY"
"Abuta panamensis","PD"
"Abutilon eremitopetalum","PY"
"Abutilon fruticosum","PY"
"Abutilon indicum","PY"
"Abutilon longicuspe","PY"
"Abutilon menziesii","PY"
"Abutilon sandwicense","PY"
"Abutilon theophrasti","PY"
"Acacia abyssinica","PY"
"Acacia acuminata","PY"
"Acacia adsurgens","PY"
"Acacia ammobia","PY"
"Acacia ampliceps","PY"
"Acacia aneura","PY"
"Acacia angustissima","PY"
"Acacia aprica","PY"
"Acacia aristulata","PY"
"Acacia aroma","PY"
"Acacia asak","PY"
"Acacia ataxacantha","ND"
"Acacia ataxiphylla","PY"
"Acacia atramentaria","PY"
"Acacia aulacocarpa","PY"
"Acacia auratiflora","PY"
"Acacia aureocrinita","PY"
"Acacia auriculiformis","PY"
"Acacia ausfeldii","PY"
"Acacia awestoniana","PY"
"Acacia bakeri","PY"
"Acacia benthamii","PY"
"Acacia berlandieri","PY"
"Acacia bonariensis","PY"
"Acacia brachypoda","PY"
"Acacia brachystachya","PY"
"Acacia brassii","PY"
"Acacia brevispica","PY"
"Acacia browniana","PY"
"Acacia burkei","PY"
"Acacia burrowii","PY"
"Acacia bynoeana","PY"
"Acacia caffra","PY"
"Acacia calcicola","PY"
"Acacia cambagei","PY"
"Acacia catechu","PY"
"Acacia caven","PY"
"Acacia chrysotricha","PY"
"Acacia cincinnata","PY"
"Acacia citrinoviridis","PY"
"Acacia clunies-rossiae","PY"
"Acacia cochliacantha","PY"
"Acacia cochlocarpa","PY"
"Acacia colei","PY"
"Acacia concinna","PY"
"Acacia confusa","PY"
"Acacia conspersa","PY"
"Acacia constricta","PY"
"Acacia coriacea","PY"
"Acacia cornigera","ND"
"Acacia costiniana","PY"
"Acacia courtii","PY"
"Acacia cowleana","PY"
"Acacia craspedocarpa","PY"
"Acacia crassicarpa","PY"
"Acacia cyclops","PY"
"Acacia dealbata","PY"
"Acacia deanei","PY"
"Acacia decurrens","PY"
"Acacia difficilis","PY"
"Acacia distans","PY"
"Acacia drepanolobium","ND"
"Acacia drummondii","PY"
"Acacia dudgeoni","PY"
"Acacia dunnii","PY"
"Acacia ehrenbergiana","PY"
"Acacia elata","PY"
"Acacia erioloba","PY"
"Acacia eriopoda","PY"
"Acacia erubescens","ND"
"Acacia estrophiolata","PY"
"Acacia extensa","PY"
"Acacia farnesiana","PY"
"Acacia fasciculifera","PY"
"Acacia filicifolia","PY"
"Acacia flavescens","PY"
"Acacia furcatispina","PY"
"Acacia galpinii","PY"
"Acacia genistifolia","PY"
"Acacia georgensis","PY"
"Acacia gerrardii","PY"
"Acacia glaucocarpa","PY"
"Acacia gordonii","PY"
"Acacia grandicornuta","PY"
"Acacia greggii","PY"
"Acacia hamulosa","PY"
"Acacia harpophylla","ND"
"Acacia hayesii","ND"
"Acacia hebeclada","PY"
"Acacia helicophylla","PY"
"Acacia hemignosta","PY"
"Acacia hereroensis","PY"
"Acacia heteroclita","PY"
"Acacia holosericea","PY"
"Acacia hylonoma","PY"
"Acacia insolita","PY"
"Acacia iraqensis","PY"
"Acacia irrorata","PY"
"Acacia julifera","PY"
"Acacia kamerunensis","ND"
"Acacia karroo","PY"
"Acacia kempeana","PY"
"Acacia koa","PY"
"Acacia kybeanensis","PY"
"Acacia lasiocarpa","PY"
"Acacia latericola","PY"
"Acacia lenticularis","PY"
"Acacia leptalea","PY"
"Acacia leptocarpa","PY"
"Acacia leucoclada","PY"
"Acacia leucolobia","PY"
"Acacia leucophaea","PY"
"Acacia ligulata","PY"
"Acacia lobulata","PY"
"Acacia longispicata","PY"
"Acacia lucasii","PY"
"Acacia luederitzii","PY"
"Acacia macnuttiana","PY"
