"TPLName","Taxon","Source","Year","Country","Region","Macroregion","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable","GRS","GRP","MGT","MGR","GSP","UNC","SYN","VGT","SDG","CVG"
"Festuca violacea","Festuca violacea","Mondoni",NA,"Italy","Apennines","Europe","Italy 115 NA NA",NA,NA,"0","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,30,24,24,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Plantago alpina","Plantago alpina","Mondoni",NA,"Italy","Apennines","Europe","Italy 116 NA NA",NA,NA,"2000","1","N","Y","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,30,30,30,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Plantago alpina","Plantago alpina","Mondoni",NA,"Italy","Apennines","Europe","Italy 7 NA NA",NA,NA,"2000","1","N","Y","None",NA,NA,"Y",12,"N",0,25,25,25,"25C",NA,30,24,24,24,100,7.875,0.126984126984127,12.6984126984127,0.497150183636967,0.83695652173913,47.7445652173913,6.9097442222843,87.7427837750388
"Silene rupestris","Silene rupestris","Mondoni",NA,"Italy","Apennines","Europe","Italy 63 NA NA",NA,NA,"0","1","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,25,25,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Silene rupestris","Silene rupestris","Mondoni",NA,"Italy","Apennines","Europe","Italy 63 NA NA",NA,NA,"0","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,25,25,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,30,13,13,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,30,16,16,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Silene rupestris","Silene rupestris","Mondoni",NA,"Italy","Apennines","Europe","Italy 61 NA NA",NA,NA,"1450","1","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,25,25,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Festuca violacea","Festuca violacea","Mondoni",NA,"Italy","Apennines","Europe","Italy 139 NA NA",NA,NA,"2000","1","N","N","None",NA,NA,"Y",12,"N",0,15,15,15,"15C",NA,30,21,26,21,80.7692307692308,10,0.1,10,0.985228136034252,0.485714285714286,77.4,8.79772697916911,87.9772697916911
"Silene rupestris","Silene rupestris","Mondoni",NA,"Italy","Apennines","Europe","Italy 61 NA NA",NA,NA,"1450","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,25,23,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","Y","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,30,12,22,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Festuca violacea","Festuca violacea","Mondoni",NA,"Italy","Apennines","Europe","Italy 115 NA NA",NA,NA,"0","1","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,30,21,26,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 2 NA NA",NA,NA,"2000","3","N","Y","None",NA,NA,"Y",12,"Y",10,30,20,25,"25C",NA,50,37,40,37,92.5,7,0.142857142857143,14.2857142857143,0,1,37,6.08276253029822,86.8966075756888
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 2 NA NA",NA,NA,"2000","3","N","Y","None",NA,NA,"Y",12,"Y",10,30,20,25,"25C",NA,50,42,45,42,93.3333333333333,7,0.142857142857143,14.2857142857143,0,1,36.8780487804878,6.07272992816969,86.7532846881384
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 2 NA NA",NA,NA,"2000","1","N","N","None",NA,NA,"Y",12,"N",0,25,25,25,"25C",NA,30,10,25,10,40,7,0.142857142857143,14.2857142857143,0,1,40,6.32455532033676,90.3507902905251
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 2 NA NA",NA,NA,"2000","3","N","Y","None",NA,NA,"Y",12,"Y",10,30,20,25,"25C",NA,30,25,27,25,92.5925925925926,8.12,0.123152709359606,12.3152709359606,0.634309554640566,0.72,50.6,7.1133676975115,87.6030504619642
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 2 NA NA",NA,NA,"2000","1","N","N","None",NA,NA,"Y",12,"Y",10,30,20,25,"25C",NA,30,14,19,14,73.6842105263158,8.5,0.117647058823529,11.7647058823529,0.371232326640876,0.857142857142857,57.8076923076923,7.60313700440103,89.4486706400122
"Centaurea nervosa","Centaurea nervosa","Mondoni",NA,"Italy","Apennines","Europe","Italy 118 NA NA",NA,NA,"2000","1","N","Y","None",NA,"0","Y",12,"Y",10,30,20,25,"25C",NA,30,25,27,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,30,15,15,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Festuca violacea","Festuca violacea","Mondoni",NA,"Italy","Apennines","Europe","Italy 139 NA NA",NA,NA,"2000","1","N","N","None",NA,NA,"Y",12,"N",0,20,20,20,"20C",NA,30,24,24,24,100,8.16666666666667,0.122448979591837,12.2448979591837,0.650022421648354,0.710144927536232,51.2753623188406,7.16068169372446,87.6818166578505
"Trifolium thalii","Trifolium thalii","Mondoni",NA,"Italy","Apennines","Europe","Italy 6 NA NA",NA,NA,"1950","1","Y","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,20,20,20,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Trifolium thalii","Trifolium thalii","Mondoni",NA,"Italy","Apennines","Europe","Italy 6 NA NA",NA,NA,"1950","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,50,15,47,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Plantago alpina","Plantago alpina","Mondoni",NA,"Italy","Apennines","Europe","Italy 7 NA NA",NA,NA,"2000","1","N","Y","None",NA,NA,"Y",12,"N",0,15,15,15,"15C",NA,30,30,30,30,100,10.7333333333333,0.093167701863354,9.3167701863354,0.996791631981637,0.485057471264368,87.816091954023,9.37102406111642,87.3076775880412
"Plantago alpina","Plantago alpina","Mondoni",NA,"Italy","Apennines","Europe","Italy 7 NA NA",NA,NA,"2000","1","N","N","None",NA,NA,"Y",12,"N",0,25,25,25,"25C",NA,30,18,20,18,90,14.3888888888889,0.0694980694980695,6.94980694980695,1.05294076056263,0.549019607843137,164.173202614379,12.8130091162997,89.0479398043994
"Plantago atrata","Plantago atrata","Mondoni",NA,"Italy","Apennines","Europe","Italy 113 NA NA",NA,NA,"1800","1","N","Y","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,30,23,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Plantago atrata","Plantago atrata","Mondoni",NA,"Italy","Apennines","Europe","Italy 113 NA NA",NA,NA,"1800","1","N","Y","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,30,20,27,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Silene suecica","Silene suecica","Mondoni",NA,"Italy","Apennines","Europe","Italy 35 NA NA",NA,NA,"1895","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,25,20,25,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Trollius europaeus","Trollius europaeus","Mondoni",NA,"Italy","Apennines","Europe","Italy 236 NA NA",NA,NA,"1718","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,30,26,26,0,0,NA,NA,NA,0,NA,0,0,NA
"Carex foetida","Carex foetida","Mondoni",NA,"Italy","Apennines","Europe","Italy 238 NA NA",NA,NA,"0","1","N","Y","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,30,1,27,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Carex foetida","Carex foetida","Mondoni",NA,"Italy","Apennines","Europe","Italy 239 NA NA",NA,NA,"0","1","N","Y","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,29,2,29,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","Y","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,30,12,12,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Senecio squalidus","Senecio squalidus","Mondoni",NA,"Italy","Apennines","Europe","Italy 70 NA NA",NA,NA,"1900","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,30,13,22,NA,NA,NA,NA,NA,0,NA,0,0,NA
"Agropyron velutinum","Australopyrum velutinum","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 783423 NA NA",NA,NA,"1401","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,19,21,19,90.4761904761905,26.8947368421053,0.0371819960861057,3.71819960861057,2.18680859456305,0.222222222222222,565.421052631579,23.7785839071964,88.4135213770511
