Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Bu,Acanthocalyx alba,China,Qinghai-Tibet Plateau,35.85,102,3402,NA,0,N,N,N,Y,1,20,5,12,50,7,50
Bu,Acanthocalyx alba,China,Qinghai-Tibet Plateau,35.85,102,3402,NA,0,N,N,N,Y,1,20,5,12,50,9,50
Bu,Acanthocalyx alba,China,Qinghai-Tibet Plateau,35.85,102,3402,NA,0,N,N,N,Y,1,20,5,12,50,6,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,22,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,36,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,20,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,39,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,30,50
Bu,Achillea acuminata,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,17,50
LiuGuja,Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,87,150
LiuGuja,Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,120,150
LiuGuja,Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,139,150
LiuGuja,Achnatherum inebrians (Hance) Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,144,150
LiuGuja,Achnatherum inebrians (Hance) Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,148,150
LiuGuja,Achnatherum inebrians (Hance) Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,148,150
LiuGuja,Achnatherum psilantherum Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,145,150
LiuGuja,Achnatherum psilantherum Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,149,150
LiuGuja,Achnatherum psilantherum Keng,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,135,150
LiuGuja,Achnatherum sibiricum (L.) Keng ex Tzvel. ,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,121,150
LiuGuja,Achnatherum sibiricum (L.) Keng ex Tzvel. ,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,137,150
LiuGuja,Achnatherum sibiricum (L.) Keng ex Tzvel. ,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,101,150
Bu,Achnatherum sp1,China,Qinghai-Tibet Plateau,35.85,102,2800,NA,0,N,N,N,Y,1,25,10,0,50,41,50
Bu,Achnatherum sp1,China,Qinghai-Tibet Plateau,35.85,102,2800,NA,0,N,N,N,Y,1,20,5,0,50,39,50
Bu,Achnatherum sp1,China,Qinghai-Tibet Plateau,35.85,102,2800,NA,0,N,N,N,Y,1,20,5,0,50,39,50
