Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,10,2,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,10,2,14,20,16,16
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,10,2,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,10,2,14,20,18,18
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,10,2,14,20,19,19
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,14,6,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,14,6,14,20,18,18
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,14,6,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,14,6,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,14,6,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,18,10,14,20,18,18
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,18,10,14,20,19,19
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,18,10,14,20,21,21
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,18,10,14,20,17,17
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,18,10,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,22,14,14,20,18,18
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,22,14,14,20,19,19
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,22,14,14,20,19,19
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,22,14,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,22,14,14,20,16,16
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,26,18,14,20,19,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,26,18,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,26,18,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,26,18,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,26,18,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d1,30,22,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d2,30,22,14,20,20,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d3,30,22,14,20,18,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d4,30,22,14,20,17,20
Sergey Rosbakh,Anthyllis vulneraria ssp. alpina,Germany,2010,47.554591,12.823523,1808,0,0,0,Y,0,Y,d5,30,22,14,20,17,20
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,10,2,14,20,4,18
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,10,2,14,20,1,18
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,10,2,14,20,2,19
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,10,2,14,20,1,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,10,2,14,20,1,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,14,6,14,20,4,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,14,6,14,20,3,11
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,14,6,14,20,9,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,14,6,14,20,5,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,14,6,14,20,5,7
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,18,10,14,20,4,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,18,10,14,20,8,19
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,18,10,14,20,5,17
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,18,10,14,20,11,20
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,18,10,14,20,5,9
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,22,14,14,20,4,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,22,14,14,20,9,19
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,22,14,14,20,7,18
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,22,14,14,20,6,18
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,22,14,14,20,5,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,26,18,14,20,9,20
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,26,18,14,20,4,12
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,26,18,14,20,3,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,26,18,14,20,6,11
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,26,18,14,20,7,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d1,30,22,14,20,8,16
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d2,30,22,14,20,4,15
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d3,30,22,14,20,1,8
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d4,30,22,14,20,1,13
Sergey Rosbakh,Myosotis alpina,Germany,2010,47.559092,12.816441,1579,4,42,Y,0,0,Y,d5,30,22,14,20,3,16
Sergey Rosbakh,Achillea atrata,Germany,2010,47.579907,12.877855,1825,0,0,0,0,0,Y,d1,10,2,14,25,1,17
Sergey Rosbakh,Achillea atrata,Germany,2010,47.579907,12.877855,1825,0,0,0,0,0,Y,d2,10,2,14,25,0,19
Sergey Rosbakh,Achillea atrata,Germany,2010,47.579907,12.877855,1825,0,0,0,0,0,Y,d3,10,2,14,25,2,20
