"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Name","Longevity","Dispersal","Elevation","Days","Germinated","Tmax","Tmin","Light"
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,22,20,5,0
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,36,25,10,0
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,20,20,5,0
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,39,25,10,0
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,30,25,10,0
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Achillea acuminata","P","wind",3000,60,17,20,5,0
"Achnatherum extreniorientale","Achnatherum","","extreniorientale",NA,NA,"","","kew-387278",TRUE,"1.1","Synonym","Poaceae","Stipa","","pekinensis","","","Hance","kew-445502","Accepted",TRUE,FALSE,FALSE,2019-10-28,"Stipa pekinensis","P","unassisted",2430,40,48,20,5,12
"Achnatherum extreniorientale","Achnatherum","","extreniorientale",NA,NA,"","","kew-387278",TRUE,"1.1","Synonym","Poaceae","Stipa","","pekinensis","","","Hance","kew-445502","Accepted",TRUE,FALSE,FALSE,2019-10-28,"Stipa pekinensis","P","unassisted",2430,40,48,20,5,12
"Achnatherum extreniorientale","Achnatherum","","extreniorientale",NA,NA,"","","kew-387278",TRUE,"1.1","Synonym","Poaceae","Stipa","","pekinensis","","","Hance","kew-445502","Accepted",TRUE,FALSE,FALSE,2019-10-28,"Stipa pekinensis","P","unassisted",2430,40,48,20,5,12
"Achnatherum inebrians ","Achnatherum","","inebrians",NA,NA,"","","kew-387288",TRUE,"1.1","Synonym","Poaceae","Stipa","","inebrians","","","Hance","kew-445178","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa inebrians","P","unassisted",2768,40,47,20,5,12
