ID,Family,Genus,Species,Life form,Longivity,dispersal mode,alditude (m)
507,Apiaceae,Angelica L.,Angelica laxifoliata Diels,F,P,wind,2000
505,Apiaceae,Angelica L.,Angelica wulsiniana Wolff,F,P,wind,3100
30,Apiaceae,Anthriscus Hoffm.,Anthriscus sylvestris (L.) Hoffm.,F,B/P,wind,2700
852,Apiaceae,Bupleurum Linn.,Bupleurum commelynoideum ,F,P,unassisted,3550
353,Apiaceae,Bupleurum Linn.,Bupleurum commelynoideum Var. flaviflorum ,F,P,unassisted,2100
520,Apiaceae,Bupleurum Linn.,Bupleurum pusillum,F,P,unassisted,3100
592,Apiaceae,Bupleurum Linn.,Bupleurum smithii var. parvifolium,F,P,unassisted,3500
24.02,Apiaceae,Carlesia Dunn,Carlesia sinensis Dunn,F,P,unassisted,2700
24.03,Apiaceae,Carlesia Dunn,Carlesia sp.,F,P,unassisted,3456
1282,Apiaceae,Carum L.,Carum buriaticum ,F,P,unassisted,2100
24.04,Apiaceae,Carum L.,Carum buriaticum,F,P,unassisted,3500
24.06,Apiaceae,Carum L.,Carum carvi L.,F,P,unassisted,3050
24.07,Apiaceae,Daucus Linn.,Daucus carota,F,B,unassisted,3050
812,Apiaceae,Heracleum linn.,Heracleum millefolium ,F,P,wind,3050
395,Apiaceae,Heracleum linn.,Heracleum mollendorffii ,F,P,wind,2200
351,Apiaceae,Heracleum linn.,Heracleum yungningense,F,P,wind,2100
323,Apiaceae,Ligusticum Linn.,Ligusticum sp,F,P,wind,3000
548,Apiaceae,Ligusticum Linn.,Ligusticum thomsonii C.B.Clarke,F,P,wind,3100
486,Apiaceae,Notopterygium Boiss,Netoptergium forbesii de Boiss.,F,P,wind,2000
51.13,Apiaceae,Notopterygium Boiss,Notopterygium incisum Ting(ex Chang),F,P,wind,3500
201,Apiaceae,Peucedanum L.,Peucedanum praeruptorum Dunn,F,P,wind,2400
1189,Apiaceae,Peucedanum L.,Peucedanum sp,F,P,wind,2500
1308,Apiaceae,Pimpinella L?,Pimpinella smithii Wolff,F,P,unassisted,2300
24.09,Apiaceae,Pleurospermum Hoffm.,Pleurospermum camtschatium Hoffm.,F,P,unassisted,3500
89,Apiaceae,Pleurospermum Hoffm.,Pleurospermum crassicaule Woff,F,P,unassisted,3300
709,Apiaceae,Pleurospermum Hoffm.,Pleurospermum prattii Woff,F,P,unassisted,3850
24.05,Apiaceae,Saposhnikovia Schischk.,Saposhnikovia divaricata(Turcz.)Schischk.,F,P,wind,3300
13.28,Apiaceae,Seseli L.,Seseli seseloides(Fisch.et Mey.),F,P,wind,2250
60.09,Apiaceae,Seseli L.,Seseli squarrulosum,F,P,wind,2200
26,Apiaceae,Sphallerocarpus Bess.ex DC.,Sphallerocarpus gracilis (Bess.) K.-Pol,F,P,unassisted,2700
51.03,Apiaceae,Torilis Adans,Torilis scabra,F,A/P,wind,2400
408,Apiaceae,,Apiaceae sp.,F,P,wind,2200
,Araliaceae,Acanthopanax(Deche.et Planch.)Miq.,Acanthopanax senticosus,w,P,unassisted,3000
,Araliaceae,Acanthopanax(Deche.et Planch.)Miq.,Acanthopanax setchuenensis,w,P,unassisted,3000
287,Asteraceae,Achillea L.,Achillea acuminata(Ledeb.)Sch.-Bip.,F,P,wind,3000
13.57,Asteraceae,Ajania Poljark.,Ajania fruticolosa(Ledeb.)Poljark.,w,P,wind,2600
13.74,Asteraceae,Ajania Poljark.,Ajania sp.,w,P,wind,3100
13.66,Asteraceae,Ajania Poljark.,Ajania tenuifolia (Jacq.) Tzvel.,F,P,wind,3050
1286,Asteraceae,Anaphalis DC.,Anaphalis hancockii Maxim.,F,P,wind,2800
666,Asteraceae,Anaphalis DC.,Anaphalis lactea Maxim.,F,P,wind,3500
924,Asteraceae,Anaphalis DC.,Anaphalis margaritacea(Linn.)Benth.et Hook.f.,F,P,wind,2200
13.24,Asteraceae,Artemisia Linn.,Artemisia desetorum Spreng.,F,P,wind,3100
13.03,Asteraceae,Artemisia Linn.,Artemisia gmelinii Web.ex Stechm ,F,P,wind,2300
13.27,Asteraceae,Artemisia Linn.,Artemisia hedinii Ostenf.,F,A,wind,3450
13.21,Asteraceae,Artemisia Linn.,Artemisia siversiana Ehrhart ex Willd.,F,A/B,wind,2400
1002,Asteraceae,Artemisia Linn.,Artemisia sp.,F,P,wind,3600
13.71,Asteraceae,Aster Linn.,Aster alpinus Linn.,F,P,wind,4000
13.11,Asteraceae,Aster Linn.,Aster sp1.,F,P,wind,3100
13.43,Asteraceae,Aster Linn.,Aster sp2.,F,P,wind,3500
13.07,Asteraceae,Aster Linn.,Aster sp3.,F,P,wind,2200
60.02,Asteraceae,Aster Linn.,Aster sp4.,F,P,wind,2400
1314,Asteraceae,Aster Linn.,Aster sp5.,F,P,wind,2300
13.82,Asteraceae,Cacalia Linn.,Cacalia deltophylla(Maxim.)Mattf.,F,P,wind,3000
13.8,Asteraceae,Cacalia Linn.,Cacalia roborowskii(Maxim.)Ling,F,P,wind,2300
13.06,Asteraceae,Cacalia Linn.,Cacalia sp1,F,P,wind,2700
13.68,Asteraceae,Cacalia Linn.,Cacalia sp2,F,P,wind,2000
1064,Asteraceae,Cacalia Linn.,Cacalia tangutica ,F,P,wind,2600
13.02,Asteraceae,Carduus Linn.,Carduus crispus ,F,A/B,wind,2400
13.15,Asteraceae,Carduus Linn.,Carduus sp.,F,A/B,wind,3520
13.38,Asteraceae,Carpesium Linn.,Carpesium cernuum Linn.,F,P,wind,2800
360,Asteraceae,Carpesium Linn.,Carpesium lipskyi Winkl,F,P,wind,2100
51.14,Asteraceae,Cephalanoplos Necker,Cephalanoplos segetum,F,P,wind,2950
