ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
11.01,Saxifragaceae ,Saxifraga egregia ,P,unassisted,3061,0.0019,0.0023,0.0022
2.73,Asteraceae,Artemisia hedinii ,A,wind,3514,0.0046,0.0018,0.0018
4.69,Campanulaceae,Campanula aristata ,P,unassisted,3886,0.0036,0.0026,0.0024
4.65,Primulaceae ,Primula stenocalyx ,P,unassisted,3554,0.0035,0.0026,0.0029
11.02,Saxifragaceae ,Saxifraga montana,P,unassisted,3903,0.004,0.0036,0.0024
3.29,Asteraceae,Artemisia sp3,P,wind,3475,0.0048,0.0044,0.0031
13.45,Asteraceae,Inula japonica Thunb.,P,wind,2209,0.004,0.0043,0.0041
2.25,Primulaceae ,Androsace crecta,A,unassisted,2251,0.0036,0.0042,0.0047
2.28,Onagraceae,Epilobium angustifolium ,P,wind,3500,0.0048,0.0034,0.0045
6.3,Crassulaceae,Sedum sp2,A,unassisted,2926,0.0065,0.0044,0.0019
4.37,Saxifragaceae ,Astibe chinensis ,P,unassisted,2168,0.0047,0.004,0.0042
2.164,Juncaceae ,Juncus thomsonii ,P,unassisted,3740,0.0034,0.0067,0.003
2.163,Scrophulariaceae,Veronica rockii ,P,unassisted,3020,0.0039,0.0042,0.0051
11.03,Saxifragaceae ,Saxifraga melamocentra,P,unassisted,3712,0.0043,0.0046,0.0045
4.67,Parnassiaceae,Parassia oreophila ,P,unassisted,3080,0.0044,0.0041,0.0054
8.01,Juncaceae ,Juncus allioides Franch.,P,unassisted,3080,0.004,0.0037,0.0066
13.81,Asteraceae,Anaphalis margaritacea,P,wind,2926,0.0048,0.0048,0.0053
29.12,Scrophulariaceae,Veronica sp,A,unassisted,3049,0.0036,0.0048,0.007
4.68,Parnassiaceae,Parassia brevistyle ,P,unassisted,3061,0.0044,0.0052,0.0059
17.03,Gentianaceae ,Gentiana pudica ,A,unassisted,3903,0.0053,0.0051,0.0051
6.02,Crassulaceae,Orostachys fimbriatus,P,unassisted,2282,0.0085,0.0051,0.0025
8.02,Juncaceae ,Juncus himalensis ,P,unassisted,3623,0.0068,0.0047,0.0047
1.09,Liliaceae,Aletris glandulifera ,P,unassisted,3929,0.0075,0.003,0.0062
17.06,Gentianaceae ,Gentiana leucomelaena ,A,unassisted,3505,0.0058,0.0041,0.0069
8.05,Juncaceae ,Juncus sp,P,unassisted,3712,0.0058,0.0054,0.0057
1.49,Scrophulariaceae,Scrofella chinensis,P,unassisted,3061,0.0057,0.0073,0.0045
15.03,Scrophulariaceae,Veronica anagallisaquatica,A,unassisted,3049,0.0052,0.0065,0.006
2.121,Gentianaceae ,Gentianopsis barbata,A,unassisted,2532,0.0058,0.0068,0.0063
13.34,Asteraceae,Conyza canadensis ,A,wind,2202,0.0066,0.0066,0.006
2.48,Primulaceae ,Primula nutans,P,unassisted,3995,0.0061,0.0065,0.0066
29.11,Scrophulariaceae,Veronica eriogyne ,P,unassisted,3550,0.009,0.0076,0.0034
2.24,Parnassiaceae,Parnassia trinervis,P,unassisted,3740,0.0086,0.0053,0.0063
13.47,Asteraceae,Anaphalis sp1,P,wind,2081,0.0067,0.007,0.0075
