Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,10,2,14,30,22,28
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,10,2,14,30,21,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,10,2,14,30,20,28
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,14,6,14,30,29,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,14,6,14,30,30,30
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,14,6,14,30,30,30
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,18,10,14,30,30,30
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,18,10,14,30,29,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,18,10,14,30,29,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,22,14,14,30,29,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,22,14,14,30,29,29
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,22,14,14,30,30,30
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,26,18,14,30,29,30
Sergey Rosbakh unpubl,Phleum alpinum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,26,18,14,30,28,28
