Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Fernández-Pascual Plant Biol,Androsace villosa,Spain,290812-02, 30T 351457 4785493,,2130,NA,0,N,N,N,Y,d1,22,12,12,25,4,25
Fernández-Pascual Plant Biol,Androsace villosa,Spain,290812-02, 30T 351457 4785493,,2130,NA,0,N,N,N,Y,d2,22,12,12,25,1,23
Fernández-Pascual Plant Biol,Androsace villosa,Spain,290812-02, 30T 351457 4785493,,2130,NA,0,N,N,N,Y,d3,22,12,12,25,2,24
Fernández-Pascual Plant Biol,Androsace villosa,Spain,290812-02, 30T 351457 4785493,,2130,NA,0,N,N,N,Y,d4,22,12,12,25,2,25
Fernández-Pascual Plant Biol,Arenaria erinacea,Spain,180913-02, 30T 351628 4781356,,1940,NA,0,N,N,N,Y,d4,22,12,12,25,21,23
Fernández-Pascual Plant Biol,Arenaria erinacea,Spain,180913-02, 30T 351628 4781356,,1940,NA,0,N,N,N,Y,d1,22,12,12,25,22,23
Fernández-Pascual Plant Biol,Arenaria erinacea,Spain,180913-02, 30T 351628 4781356,,1940,NA,0,N,N,N,Y,d3,22,12,12,25,19,21
Fernández-Pascual Plant Biol,Arenaria erinacea,Spain,180913-02, 30T 351628 4781356,,1940,NA,0,N,N,N,Y,d2,22,12,12,25,13,16
Fernández-Pascual Plant Biol,Arenaria grandiflora subsp. incrassata,Spain,130813-06, 30T 369750 4746190,,1600,NA,0,N,N,N,Y,d1,22,12,12,25,4,23
Fernández-Pascual Plant Biol,Arenaria grandiflora subsp. incrassata,Spain,130813-06, 30T 369750 4746190,,1600,NA,0,N,N,N,Y,d2,22,12,12,25,5,24
Fernández-Pascual Plant Biol,Arenaria grandiflora subsp. incrassata,Spain,130813-06, 30T 369750 4746190,,1600,NA,0,N,N,N,Y,d3,22,12,12,25,6,22
Fernández-Pascual Plant Biol,Arenaria grandiflora subsp. incrassata,Spain,130813-06, 30T 369750 4746190,,1600,NA,0,N,N,N,Y,d4,22,12,12,25,11,25
Fernández-Pascual Plant Biol,Arenaria purpurascens,Spain,210812-03, 30T 351075 4782733,,2300,NA,0,N,N,N,Y,d1,22,12,12,25,0,24
Fernández-Pascual Plant Biol,Arenaria purpurascens,Spain,210812-03, 30T 351075 4782733,,2300,NA,0,N,N,N,Y,d3,22,12,12,25,2,22
Fernández-Pascual Plant Biol,Arenaria purpurascens,Spain,210812-03, 30T 351075 4782733,,2300,NA,0,N,N,N,Y,d4,22,12,12,25,2,24
Fernández-Pascual Plant Biol,Arenaria purpurascens,Spain,210812-03, 30T 351075 4782733,,2300,NA,0,N,N,N,Y,d2,22,12,12,25,2,20
Fernández-Pascual Plant Biol,Armeria cantabrica,Spain,140813-04, 30T 371113 4761492,,1840,NA,0,N,N,N,Y,d1,22,12,12,25,8,10
Fernández-Pascual Plant Biol,Armeria cantabrica,Spain,140813-04, 30T 371113 4761492,,1840,NA,0,N,N,N,Y,d2,22,12,12,25,8,11
Fernández-Pascual Plant Biol,Armeria cantabrica,Spain,140813-04, 30T 371113 4761492,,1840,NA,0,N,N,N,Y,d4,22,12,12,25,6,8
Fernández-Pascual Plant Biol,Armeria cantabrica,Spain,140813-04, 30T 371113 4761492,,1840,NA,0,N,N,N,Y,d3,22,12,12,25,14,14
Fernández-Pascual Plant Biol,Carex asturica,Spain,010812-02, 30T 356136 4770887,,1885,NA,0,N,N,N,Y,d3,22,12,12,25,0,22
Fernández-Pascual Plant Biol,Carex asturica,Spain,010812-02, 30T 356136 4770887,,1885,NA,0,N,N,N,Y,d4,22,12,12,25,0,20
Fernández-Pascual Plant Biol,Carex asturica,Spain,010812-02, 30T 356136 4770887,,1885,NA,0,N,N,N,Y,d2,22,12,12,25,0,25
Fernández-Pascual Plant Biol,Carex asturica,Spain,010812-02, 30T 356136 4770887,,1885,NA,0,N,N,N,Y,d1,22,12,12,25,1,23
Fernández-Pascual Plant Biol,Carex sempervirens,Spain,220812-09, 30T 349822 4778962,,2000,NA,0,N,N,N,Y,d2,22,12,12,25,22,23
Fernández-Pascual Plant Biol,Carex sempervirens,Spain,220812-09, 30T 349822 4778962,,2000,NA,0,N,N,N,Y,d1,22,12,12,25,13,18
