Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,1,25,15,12,15,1,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,2,25,15,12,15,2,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,1,25,15,12,15,1,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,2,25,15,12,15,2,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,1,25,15,12,15,1,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,2,25,15,12,15,2,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,1,25,15,12,15,1,15
Satyanti,Oxylobium ellipticum,Australia,870751,,,1568,NA,0,N,Y,N,Y,2,25,15,12,15,2,15
Satyanti,Brachyscome obovata,Australia,797826,,,2090,NA,0,N,N,N,Y,1,25,15,12,25,12,25
Satyanti,Brachyscome obovata,Australia,797826,,,2090,NA,0,N,N,N,Y,2,25,15,12,25,5,25
Satyanti,Brachyscome obovata,Australia,797826,,,2090,NA,0,N,N,N,Y,3,25,15,12,25,11,25
Satyanti,Celmisia costiniana,Australia,798295,,,2046,NA,0,N,N,N,Y,1,25,15,12,25,11,11
Satyanti,Celmisia costiniana,Australia,798295,,,2046,NA,0,N,N,N,Y,2,25,15,12,25,9,9
Satyanti,Celmisia costiniana,Australia,798295,,,2046,NA,0,N,N,N,Y,3,25,15,12,25,5,5
Satyanti,Colobanthus affinis,Australia,786943,,,1736,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Colobanthus affinis,Australia,786943,,,1736,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Colobanthus affinis,Australia,786943,,,1736,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Colobanthus affinis,Australia,782529,,,2069,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Colobanthus affinis,Australia,782529,,,2069,NA,0,N,N,N,Y,2,25,15,12,25,22,25
Satyanti,Colobanthus affinis,Australia,782529,,,2069,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Craspedia costiniana,Australia,808040,,,1986,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Craspedia costiniana,Australia,808040,,,1986,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Craspedia costiniana,Australia,808040,,,1986,NA,0,N,N,N,Y,3,25,15,12,25,24,25
Satyanti,Craspedia jamesii,Australia,609897,,,1750,NA,0,N,N,N,Y,1,25,15,12,25,0,25
Satyanti,Craspedia jamesii,Australia,609897,,,1750,NA,0,N,N,N,Y,2,25,15,12,25,0,25
Satyanti,Craspedia jamesii,Australia,609897,,,1750,NA,0,N,N,N,Y,3,25,15,12,25,0,25
Satyanti,Craspedia lamicola,Australia,808041,,,1986,NA,0,N,N,N,Y,1,25,15,12,25,25,25
Satyanti,Craspedia lamicola,Australia,808041,,,1986,NA,0,N,N,N,Y,2,25,15,12,25,23,25
Satyanti,Craspedia lamicola,Australia,808041,,,1986,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Craspedia leucantha,Australia,783441,,,1996,NA,0,N,N,N,Y,1,25,15,12,25,16,16
Satyanti,Craspedia leucantha,Australia,783441,,,1996,NA,0,N,N,N,Y,2,25,15,12,25,21,21
Satyanti,Craspedia leucantha,Australia,783441,,,1996,NA,0,N,N,N,Y,3,25,15,12,25,17,23
Satyanti,Erigeron bellidioides,Australia,770467,,,1727,NA,0,N,N,N,Y,1,25,15,12,25,14,14
Satyanti,Erigeron bellidioides,Australia,770467,,,1727,NA,0,N,N,N,Y,2,25,15,12,25,17,17
Satyanti,Erigeron bellidioides,Australia,770467,,,1727,NA,0,N,N,N,Y,3,25,15,12,25,12,20
Satyanti,Erigeron paludicola,Australia,792191,,,1989,NA,0,N,N,N,Y,1,25,15,12,25,17,17
Satyanti,Erigeron paludicola,Australia,792191,,,1989,NA,0,N,N,N,Y,2,25,15,12,25,21,22
Satyanti,Erigeron paludicola,Australia,792191,,,1989,NA,0,N,N,N,Y,3,25,15,12,25,21,21
Satyanti,Erigeron setosus,Australia,792158,,,1928,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Erigeron setosus,Australia,792158,,,1928,NA,0,N,N,N,Y,2,25,15,12,25,21,25
Satyanti,Erigeron setosus,Australia,792158,,,1928,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,1,25,15,12,25,25,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,3,25,15,12,25,23,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,1,25,15,12,25,25,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Leucochrysum alpinum,Australia,792171,,,2131,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Luzula acutifolia ssp. nana,Australia,797746,,,1957,NA,0,N,N,N,Y,1,25,15,12,25,22,25
Satyanti,Luzula acutifolia ssp. nana,Australia,797746,,,1957,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Luzula acutifolia ssp. nana,Australia,797746,,,1957,NA,0,N,N,N,Y,3,25,15,12,25,23,25
Satyanti,Luzula acutifolia ssp. nana,Australia,783440,,,1932,NA,0,N,N,N,Y,1,25,15,12,25,15,21
Satyanti,Luzula acutifolia ssp. nana,Australia,783440,,,1932,NA,0,N,N,N,Y,2,25,15,12,25,22,22
Satyanti,Luzula acutifolia ssp. nana,Australia,783440,,,1932,NA,0,N,N,N,Y,3,25,15,12,25,17,20
Satyanti,Plantago glacialis,Australia,797747,,,1957,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Plantago glacialis,Australia,797747,,,1957,NA,0,N,N,N,Y,2,25,15,12,25,22,25
Satyanti,Plantago glacialis,Australia,797747,,,1957,NA,0,N,N,N,Y,3,25,15,12,25,22,25
Satyanti,Poa costiniana,Australia,798459,,,2109,NA,0,N,N,N,Y,1,25,15,12,25,12,25
Satyanti,Poa costiniana,Australia,798459,,,2109,NA,0,N,N,N,Y,2,25,15,12,25,8,25
Satyanti,Poa costiniana,Australia,798459,,,2109,NA,0,N,N,N,Y,3,25,15,12,25,10,25
Satyanti,Poa hiemata,Australia,798300,,,2109,NA,0,N,N,N,Y,1,25,15,12,25,16,16
Satyanti,Poa hiemata,Australia,798300,,,2109,NA,0,N,N,N,Y,2,25,15,12,25,13,15
Satyanti,Poa hiemata,Australia,798300,,,2109,NA,0,N,N,N,Y,3,25,15,12,25,14,15
Satyanti,Ranunculus acrophilus,Australia,786947,,,2039,NA,0,N,N,N,Y,1,25,15,12,25,5,6
Satyanti,Ranunculus acrophilus,Australia,786947,,,2039,NA,0,N,N,N,Y,2,25,15,12,25,9,9
Satyanti,Ranunculus acrophilus,Australia,786947,,,2039,NA,0,N,N,N,Y,3,25,15,12,25,5,5
Satyanti,Ranunculus clivicola,Australia,792145,,,1942,NA,0,N,N,N,Y,1,25,15,12,25,21,23
Satyanti,Ranunculus clivicola,Australia,792145,,,1942,NA,0,N,N,N,Y,2,25,15,12,25,22,22
Satyanti,Ranunculus clivicola,Australia,792145,,,1942,NA,0,N,N,N,Y,3,25,15,12,25,20,20
Satyanti,Rytidosperma nudiflorum,Australia,797742,,,1925,NA,0,N,N,N,Y,1,25,15,12,25,23,25
Satyanti,Rytidosperma nudiflorum,Australia,797742,,,1925,NA,0,N,N,N,Y,2,25,15,12,25,24,25
Satyanti,Rytidosperma nudiflorum,Australia,797742,,,1925,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Rytidosperma nudiflorum,Australia,770475,,,2105,NA,0,N,N,N,Y,1,25,15,12,25,24,25
Satyanti,Rytidosperma nudiflorum,Australia,770475,,,2105,NA,0,N,N,N,Y,2,25,15,12,25,24,25
Satyanti,Rytidosperma nudiflorum,Australia,770475,,,2105,NA,0,N,N,N,Y,3,25,15,12,25,23,25
Satyanti,Rytidosperma pumilum,Australia,770497,,,2115,NA,0,N,N,N,Y,1,25,15,12,25,5,16
Satyanti,Rytidosperma pumilum,Australia,770497,,,2115,NA,0,N,N,N,Y,2,25,15,12,25,20,21
Satyanti,Rytidosperma pumilum,Australia,770497,,,2115,NA,0,N,N,N,Y,3,25,15,12,25,12,18
Satyanti,Aciphylla glacialis,Australia,782521,,,2164,NA,0,N,N,N,Y,1,25,15,12,25,0,21
Satyanti,Aciphylla glacialis,Australia,782521,,,2164,NA,0,N,N,N,Y,2,25,15,12,25,0,23
Satyanti,Aciphylla glacialis,Australia,782521,,,2164,NA,0,N,N,N,Y,3,25,15,12,25,0,21
Satyanti,Aciphylla glacialis,Australia,792173,,,1937,NA,0,N,N,N,Y,1,25,15,12,25,0,22
Satyanti,Aciphylla glacialis,Australia,792173,,,1937,NA,0,N,N,N,Y,2,25,15,12,25,0,23
Satyanti,Aciphylla glacialis,Australia,792173,,,1937,NA,0,N,N,N,Y,3,25,15,12,25,0,22
Satyanti,Aciphylla simplicifolia,Australia,792204,,,1767,NA,0,N,N,N,Y,1,25,15,12,25,0,19
Satyanti,Aciphylla simplicifolia,Australia,792204,,,1767,NA,0,N,N,N,Y,2,25,15,12,25,0,17
