Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Acaena_pinnatifida,Central_Andes,Cavieres,Population_469,-33.3352,-70.279283,1300,4000,2600,Generalist,N,N,N,Y,Y,7.5,5,69,240
Acaena_pinnatifida,Central_Andes,Cavieres,Population_469,-33.3352,-70.279283,1300,4000,2600,Generalist,N,N,Y,Y,Y,7.5,5,40,195
Acaena_pinnatifida,Central_Andes,Cavieres,Population_469,-33.3352,-70.279283,1300,4000,2600,Generalist,N,N,Y,Y,Y,15,15,1,25
Achillea_atrata,Southern_Alps,Mondoni,Population_1,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,20,20,55,55
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,6.666666667,5,17,154
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,10.66666667,10,38,110
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,14.66666667,15,135,148
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,18.66666667,20,128,131
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,22.66666667,25,149,151
Achillea_atrata,Northern_Alps,Rosbakh,Population_294,47.54697626,12.89212124,1390,3250,1880,Strict,N,N,N,Y,Y,26.66666667,25,142,145
Achillea_clavennae,Southern_Alps,Mondoni,Population_2,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,N,25,25,13,20
Achillea_clavennae,Southern_Alps,Mondoni,Population_2,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,25,25,28,28
Achillea_clavennae,Southern_Alps,Mondoni,Population_2,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,N,25,25,17,20
Achillea_clavennae,Southern_Alps,Mondoni,Population_2,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,25,25,26,28
Achillea_clavennae,Southern_Alps,Mondoni,Population_3,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,20,20,27,27
Achillea_clavennae,Southern_Alps,Mondoni,Population_4,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,N,20,20,27,27
Achillea_clavennae,Southern_Alps,Mondoni,Population_5,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,N,20,20,30,30
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,N,N,0,0,0,60
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,10,10,3,60
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,20,20,52,60
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,Y,10,10,60,60
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,Y,20,20,60,60
Achillea_erba-rotta,Southern_Alps,Tudela,Population_12,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,20,20,59,60
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_10,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,N,20,20,29,29
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_11,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,15,15,19,25
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_6,45.83269,6.866233,1390,3250,1880,Strict,N,Y,N,Y,Y,15,15,12,23
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,N,15,15,7,28
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,N,20,20,18,28
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,7.5,5,4,29
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,15,15,9,28
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,N,Y,Y,20,20,20,26
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,N,15,15,30,30
Achillea_erba-rotta,Southern_Alps,Mondoni,Population_7,45.83269,6.866233,1390,3250,1880,Strict,N,N,Y,Y,N,20,20,28,30
