,Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable,mass
1,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,7.5,7.5,4,29,0.243
2,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,7.5,7.5,4,29,0.243
3,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,7.5,7.5,4,29,0.243
4,Achillea_moschata,NA,NA,K_203568,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,2,20,0.243
5,Achillea_moschata,NA,NA,K_206879,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,1,19,0.243
6,Achillea_moschata,NA,NA,K_206880,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,2,20,0.243
7,Achillea_moschata,NA,NA,K_203568,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,7,20,0.243
8,Achillea_moschata,NA,NA,K_206879,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,7,15,0.243
9,Achillea_moschata,NA,NA,K_206880,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,12,19,0.243
10,Achillea_moschata,NA,NA,K_207153,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,6,46,0.243
11,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,7,28,0.243
12,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,7,28,0.243
13,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,7,28,0.243
14,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,9,28,0.243
15,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,9,28,0.243
16,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,9,28,0.243
17,Achillea_moschata,NA,NA,PAV_SO288,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,12,23,0.243
18,Achillea_moschata,NA,NA,PAV_SO327,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,19,25,0.243
19,Achillea_moschata,NA,NA,K_206879,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,15,20,0.243
20,Achillea_moschata,NA,NA,PAV_SO066,Italy,NA,NA,NA,NA,NA,N,N,Y,Y,N,20,20,29,29,0.243
21,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,18,28,0.243
22,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,18,28,0.243
23,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,18,28,0.243
24,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,20,20,20,26,0.243
25,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,20,20,20,26,0.243
26,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,N,Y,Y,20,20,20,26,0.243
27,Achillea_moschata,NA,NA,PAV_SO231,Italy,NA,NA,NA,NA,NA,N,N,Y,Y,N,20,20,28,30,0.243
28,Achillea_moschata,NA,NA,PAV_SO286,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,20,20,22,22,0.243
29,Achillea_moschata,NA,NA,PAV_BS285,Italy,NA,NA,NA,NA,NA,N,N,Y,Y,N,20,20,30,30,0.243
30,Achillea_moschata,NA,NA,K_203568,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,25,25,15,17,0.243
31,Achillea_moschata,NA,NA,K_206879,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,25,25,18,18,0.243
32,Achillea_moschata,NA,NA,K_206880,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,25,25,18,20,0.243
33,Achillea_moschata,NA,NA,K_207153,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,25,25,29,46,0.243
34,Achillea_moschata,NA,NA,K_207153,Italy,NA,NA,NA,NA,NA,N,N,Y,Y,N,25,25,42,47,0.243
35,Aconitum_bucovinense,NA,NA,WARS_050/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,130,500,2.125
36,Aconitum_bucovinense,NA,NA,WARS_051/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,190,500,2.125
