;TPLName;Familia;Alpine;Seed.mass;Dormancy;Species;Genus;Family
1;Acaena pinnatifida;Rosaceae;Generalist;8.9;PD;;;0.90
2;Achillea atrata;Compositae;Strict;NA;PD;;1.00;1.00
3;Achillea clavennae;Compositae;Strict;0.449;NA;;1.00;1.00
4;Achillea erba-rotta;Compositae;Strict;0.274;NA;;1.00;1.00
5;Achillea nana;Compositae;Strict;NA;NA;;1.00;1.00
6;Aciphylla glacialis;Apiaceae;Strict;5.899;NA;0.05;0.05;0.06
7;Aciphylla simplicifolia;Apiaceae;Generalist;5.006;NA;0.04;0.05;0.06
8;Aconitum brunneum;Ranunculaceae;Strict;NA;MPD;;0.05;0.04
9;Aconitum bucovinense;Ranunculaceae;NA;NA;NA;;0.05;0.04
10;Aconitum firmum;Ranunculaceae;NA;NA;NA;;0.05;0.04
11;Aconitum lasiocarpum;Ranunculaceae;NA;NA;NA;;0.05;0.04
12;Aconitum lycoctonum;Ranunculaceae;NA;NA;MPD;;0.05;0.04
13;Aconitum nasutum;Ranunculaceae;NA;NA;NA;;0.05;0.04
14;Aconitum talassicum;Ranunculaceae;NA;NA;NA;;0.05;0.04
15;Aconitum tanguticum;Ranunculaceae;Strict;NA;MPD;;0.05;0.04
16;Acronema chinense;Apiaceae;Strict;NA;MPD;;;0.06
17;Adenophora himalayana;Campanulaceae;Generalist;NA;NA;;;0.22
18;Adenophora liliifolia;Campanulaceae;NA;NA;NA;;;0.22
19;Adenophora liliifolioides;Campanulaceae;Generalist;NA;PD;;;0.22
20;Adenostyles alliariae;Compositae;NA;NA;NA;;;1.00
21;Adesmia emarginata;Leguminosae;Generalist;NA;NA;;1.00;0.97
22;Adesmia longipes;Leguminosae;Strict;NA;NA;;1.00;0.97
23;Adesmia radicifolia;Leguminosae;Generalist;NA;NA;;1.00;0.97
24;Agropyron velutinum;Poaceae;Generalist;NA;NA;;;0.20
25;Agrostis alpina;Poaceae;Strict;NA;NA;;;0.20
26;Ajania fruticulosa;Compositae;Generalist;NA;NA;;;1.00
27;Ajania salicifolia;Compositae;Generalist;NA;ND;;;1.00
28;Ajania tenuifolia;Compositae;Generalist;NA;PD;;;1.00
29;Alchemilla acutiloba;Rosaceae;NA;NA;NA;;;0.90
30;Alchemilla alpina;Rosaceae;NA;NA;PD;;;0.90
31;Aletris glandulifera;Nartheciaceae;Strict;NA;NA;;;0.08
32;Allium chrysanthum;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
