File,Taxon,Accession,Dish,Temperature_day,Temperature_night,Photoperiod,Normal,Sown,Germinated
Venn plate,Epacris glacials,Single,1,8.5,8.5,?,20,20,0
Venn plate,Epacris glacials,Single,2,13.7,13.7,?,20,20,0
Venn plate,Epacris glacials,Single,3,18.4,18.4,?,20,20,0
Venn plate,Epacris glacials,Single,4,22.5,22.5,?,20,20,0
Venn plate,Epacris glacials,Single,5,26.7,26.7,?,20,20,0
Venn plate,Epacris glacials,Single,6,30.88,30.88,?,20,20,0
Venn plate,Epacris glacials,Single,7,8.5,8.5,?,20,20,0
Venn plate,Epacris glacials,Single,8,13.7,13.7,?,20,20,0
Venn plate,Epacris glacials,Single,9,18.4,18.4,?,20,20,0
Venn plate,Epacris glacials,Single,10,22.5,22.5,?,20,20,0
Venn plate,Epacris glacials,Single,11,26.7,26.7,?,20,20,0
Venn plate,Epacris glacials,Single,12,30.88,30.88,?,19,20,0
Venn plate,Epacris glacials,Single,13,8.5,8.5,?,20,20,0
Venn plate,Epacris glacials,Single,14,13.7,13.7,?,19,20,0
Venn plate,Epacris glacials,Single,15,18.4,18.4,?,20,20,1
Venn plate,Epacris glacials,Single,16,22.5,22.5,?,20,20,1
Venn plate,Epacris glacials,Single,17,26.7,26.7,?,20,20,0
Venn plate,Epacris glacials,Single,18,30.88,30.88,?,20,20,0
Venn plate,Epacris paludosa,Single,1,10.99,10.99,?,20,20,3
Venn plate,Epacris paludosa,Single,2,16.4,16.4,?,20,20,4
Venn plate,Epacris paludosa,Single,3,19.88,19.88,?,20,20,3
Venn plate,Epacris paludosa,Single,4,25.17,25.17,?,20,20,8
Venn plate,Epacris paludosa,Single,5,28.26,28.26,?,18,20,13
Venn plate,Epacris paludosa,Single,6,33.5,33.5,?,20,20,1
Venn plate,Epacris paludosa,Single,7,10.99,10.99,?,20,20,0
Venn plate,Epacris paludosa,Single,8,16.4,16.4,?,18,20,0
Venn plate,Epacris paludosa,Single,9,19.88,19.88,?,19,20,2
Venn plate,Epacris paludosa,Single,10,25.17,25.17,?,22,20,7
Venn plate,Epacris paludosa,Single,11,28.26,28.26,?,19,20,5
Venn plate,Epacris paludosa,Single,12,33.5,33.5,?,20,20,6
Venn plate,Epacris paludosa,Single,13,10.99,10.99,?,20,20,4
Venn plate,Epacris paludosa,Single,14,16.4,16.4,?,20,20,1
Venn plate,Epacris paludosa,Single,15,19.88,19.88,?,20,20,1
Venn plate,Epacris paludosa,Single,16,25.17,25.17,?,20,20,19
Venn plate,Epacris paludosa,Single,17,28.26,28.26,?,20,20,12
Venn plate,Epacris paludosa,Single,18,33.5,33.5,?,20,20,3
Venn plate,Kunzea mueleri,Single,1,8.5,8.5,?,10,10,0
Venn plate,Kunzea mueleri,Single,2,13.7,13.7,?,10,10,0
Venn plate,Kunzea mueleri,Single,3,18.4,18.4,?,10,10,0
Venn plate,Kunzea mueleri,Single,4,22.5,22.5,?,10,10,0
Venn plate,Kunzea mueleri,Single,5,26.7,26.7,?,10,10,0
Venn plate,Kunzea mueleri,Single,6,30.88,30.88,?,10,10,0
Venn plate,Kunzea mueleri,Single,7,8.5,8.5,?,10,10,0
Venn plate,Kunzea mueleri,Single,8,13.7,13.7,?,10,10,2
Venn plate,Kunzea mueleri,Single,9,18.4,18.4,?,10,10,0
Venn plate,Kunzea mueleri,Single,10,22.5,22.5,?,10,10,4
Venn plate,Kunzea mueleri,Single,11,26.7,26.7,?,10,10,0
Venn plate,Kunzea mueleri,Single,12,30.88,30.88,?,10,10,0
Venn plate,Kunzea mueleri,Single,13,8.5,8.5,?,10,10,0
Venn plate,Kunzea mueleri,Single,14,13.7,13.7,?,10,10,1
Venn plate,Kunzea mueleri,Single,15,18.4,18.4,?,10,10,0
Venn plate,Kunzea mueleri,Single,16,22.5,22.5,?,10,10,0
Venn plate,Kunzea mueleri,Single,17,26.7,26.7,?,10,10,0
Venn plate,Kunzea mueleri,Single,18,30.88,30.88,?,10,10,0
Venn plate,Olearia algida,Single,1,10.99,10.99,?,20,20,2
Venn plate,Olearia algida,Single,2,16.4,16.4,?,20,20,3
Venn plate,Olearia algida,Single,3,19.88,19.88,?,20,20,7
Venn plate,Olearia algida,Single,4,25.17,25.17,?,20,20,18
Venn plate,Olearia algida,Single,5,28.26,28.26,?,20,20,2
Venn plate,Olearia algida,Single,6,33.5,33.5,?,20,20,0
Venn plate,Olearia algida,Single,7,10.99,10.99,?,20,20,0
Venn plate,Olearia algida,Single,8,16.4,16.4,?,20,20,6
Venn plate,Olearia algida,Single,9,19.88,19.88,?,20,20,15
Venn plate,Olearia algida,Single,10,25.17,25.17,?,20,20,18
Venn plate,Olearia algida,Single,11,28.26,28.26,?,20,20,7
Venn plate,Olearia algida,Single,12,33.5,33.5,?,20,20,0
Venn plate,Olearia algida,Single,13,10.99,10.99,?,20,20,0
Venn plate,Olearia algida,Single,14,16.4,16.4,?,20,20,3
Venn plate,Olearia algida,Single,15,19.88,19.88,?,20,20,11
Venn plate,Olearia algida,Single,16,25.17,25.17,?,20,20,12
Venn plate,Olearia algida,Single,17,28.26,28.26,?,20,20,7
Venn plate,Olearia algida,Single,18,33.5,33.5,?,20,20,0
Venn plate,Richea continentis,Single,1,8,8,?,13,20,0
Venn plate,Richea continentis,Single,2,13,13,?,10,20,1
Venn plate,Richea continentis,Single,3,17.5,17.5,?,18,20,7
Venn plate,Richea continentis,Single,4,22,22,?,12,20,1
Venn plate,Richea continentis,Single,5,26,26,?,16,20,5
Venn plate,Richea continentis,Single,6,30,30,?,10,20,8
Venn plate,Richea continentis,Single,7,35,35,?,6,20,0
Venn plate,Richea continentis,Single,8,8,8,?,13,20,0
Venn plate,Richea continentis,Single,9,13,13,?,14,20,1
Venn plate,Richea continentis,Single,10,17.5,17.5,?,8,20,3
Venn plate,Richea continentis,Single,11,22,22,?,17,20,8
Venn plate,Richea continentis,Single,12,26,26,?,16,20,8
Venn plate,Richea continentis,Single,13,30,30,?,16,20,12
Venn plate,Richea continentis,Single,14,35,35,?,17,20,0
Venn plate,Richea continentis,Single,15,8,8,?,16,20,0
Venn plate,Richea continentis,Single,16,13,13,?,16,20,1
Venn plate,Richea continentis,Single,17,17.5,17.5,?,14,20,3
Venn plate,Richea continentis,Single,18,22,22,?,13,20,7
Venn plate,Richea continentis,Single,19,26,26,?,17,20,13
Venn plate,Richea continentis,Single,20,30,30,?,13,20,7
Venn plate,Richea continentis,Single,21,35,35,?,4,20,0
Venn plate,Ozothamnus alpina,Single,1,10,10,?,18,20,0
Venn plate,Ozothamnus alpina,Single,2,16,16,?,19,20,0
Venn plate,Ozothamnus alpina,Single,3,19,19,?,16,20,1
Venn plate,Ozothamnus alpina,Single,4,25,25,?,19,20,1
Venn plate,Ozothamnus alpina,Single,5,27,27,?,11,20,5
Venn plate,Ozothamnus alpina,Single,6,34,34,?,10,20,5
Venn plate,Ozothamnus alpina,Single,7,36,36,?,15,20,0
Venn plate,Ozothamnus alpina,Single,8,10,10,?,20,20,0
Venn plate,Ozothamnus alpina,Single,9,16,16,?,18,20,0
Venn plate,Ozothamnus alpina,Single,10,19,19,?,17,20,3
Venn plate,Ozothamnus alpina,Single,11,25,25,?,16,20,1
Venn plate,Ozothamnus alpina,Single,12,27,27,?,9,20,7
Venn plate,Ozothamnus alpina,Single,13,34,34,?,10,20,5
Venn plate,Ozothamnus alpina,Single,14,36,36,?,20,20,0
Venn plate,Ozothamnus alpina,Single,15,10,10,?,18,20,0
Venn plate,Ozothamnus alpina,Single,16,16,16,?,19,20,1
Venn plate,Ozothamnus alpina,Single,17,19,19,?,13,20,3
Venn plate,Ozothamnus alpina,Single,18,25,25,?,10,20,7
Venn plate,Ozothamnus alpina,Single,19,27,27,?,16,20,2
Venn plate,Ozothamnus alpina,Single,20,34,34,?,12,20,12
Venn plate,Ozothamnus alpina,Single,21,36,36,?,18,20,0
Venn plate,Epacris petrophilla,Single,1,10,10,?,8,20,0
Venn plate,Epacris petrophilla,Single,2,16,16,?,14,20,0
Venn plate,Epacris petrophilla,Single,3,19,19,?,4,20,1
Venn plate,Epacris petrophilla,Single,4,25,25,?,12,20,0
Venn plate,Epacris petrophilla,Single,5,27,27,?,12,20,0
Venn plate,Epacris petrophilla,Single,6,34,34,?,15,20,1
Venn plate,Epacris petrophilla,Single,7,36,36,?,5,20,1
Venn plate,Epacris petrophilla,Single,8,10,10,?,10,20,0
Venn plate,Epacris petrophilla,Single,9,16,16,?,6,20,0
Venn plate,Epacris petrophilla,Single,10,19,19,?,7,20,0
Venn plate,Epacris petrophilla,Single,11,25,25,?,10,20,1
Venn plate,Epacris petrophilla,Single,12,27,27,?,20,20,0
Venn plate,Epacris petrophilla,Single,13,34,34,?,12,20,0
Venn plate,Epacris petrophilla,Single,14,36,36,?,10,20,2
Venn plate,Epacris petrophilla,Single,15,10,10,?,9,20,0
Venn plate,Epacris petrophilla,Single,16,16,16,?,11,20,0
Venn plate,Epacris petrophilla,Single,17,19,19,?,14,20,0
Venn plate,Epacris petrophilla,Single,18,25,25,?,11,20,2
Venn plate,Epacris petrophilla,Single,19,27,27,?,8,20,0
Venn plate,Epacris petrophilla,Single,20,34,34,?,14,20,8
Venn plate,Epacris petrophilla,Single,21,36,36,?,10,20,0
Venn cool fridge,Brachyscome ridigula,KB2,1,12,10,14,20,20,9
Venn cool fridge,Brachyscome ridigula,KB2,2,12,10,14,20,20,11
Venn cool fridge,Brachyscome ridigula,KB2,3,12,10,14,11,20,8
Venn cool fridge,Brachyscome ridigula,KB2,4,12,10,14,9,20,7
Venn cool fridge,Brachyscome ridigula,KB2,5,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,KB2,6,12,10,14,20,20,15
Venn cool fridge,Brachyscome ridigula,KB2,7,12,10,14,20,20,11
Venn cool fridge,Brachyscome ridigula,KB2,8,12,10,14,20,20,12
Venn cool fridge,Brachyscome ridigula,Bogong,1,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Bogong,2,12,10,14,19,20,16
Venn cool fridge,Brachyscome ridigula,Bogong,3,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Bogong,4,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Bogong,5,12,10,14,13,20,10
Venn cool fridge,Brachyscome ridigula,Bogong,6,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Bogong,15,12,10,14,19,20,19
Venn cool fridge,Brachyscome ridigula,Bogong,16,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Bluff,8,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Bluff,10,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Bluff,11,12,10,14,20,20,17
