Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,1,8.5,8.5,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,2,13.7,13.7,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,3,18.4,18.4,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,4,22.5,22.5,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,5,26.7,26.7,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,6,30.88,30.88,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,7,8.5,8.5,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,8,13.7,13.7,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,9,18.4,18.4,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,10,22.5,22.5,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,11,26.7,26.7,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,12,30.88,30.88,12,20,0,19
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,13,8.5,8.5,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,14,13.7,13.7,12,20,0,19
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,15,18.4,18.4,12,20,1,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,16,22.5,22.5,12,20,1,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,17,26.7,26.7,12,20,0,20
Venn plate,Epacris glacials,Australia,Single,-36.429806,148.344167,1770,NA,0,N,N,N,Y,18,30.88,30.88,12,20,0,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,1,10.99,10.99,12,20,3,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,2,16.4,16.4,12,20,4,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,3,19.88,19.88,12,20,3,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,4,25.17,25.17,12,20,8,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,5,28.26,28.26,12,20,13,18
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,6,33.5,33.5,12,20,1,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,7,10.99,10.99,12,20,0,20
Venn plate,Epacris paludosa,Australia,Single,-33.970278,150.05575,1170,NA,0,N,N,N,Y,8,16.4,16.4,12,20,0,18
