Name.Andrea.Sergey,Species,Andrea.range,FloraAlpinaLow,FloraAlpinaHigh,Min.elevation,Max.elevation,Alpine
Pinguicula poldinii,Pinguicula poldinii,h,c,c,0,1050,Lowland
Achillea roseoalba,Achillea roseo-alba,ls,c,m,0,1390,Lowland
Campanula persicifolia,Campanula persicifolia,hs,c,m,0,1390,Lowland
Campanula spicata,Campanula spicata,ha,c,m,0,1390,Lowland
Dianthus deltoides,Dianthus deltoides,ha,c,m,0,1390,Lowland
Galium centroniae,Galium centroniae,ma,c,m,0,1390,Lowland
Silene nutans,Silene nutans,la,c,m,0,1390,Lowland
Turritis brassica,Turritis brassica,ma,c,m,0,1390,Lowland
Vaccinium uliginosum,Vaccinium uliginosum,s,c,m,0,1390,Lowland
Crepis albida,Crepis albida,ma,m,m,1050,1390,Lowland
Gentiana lutea,Gentiana lutea,a,m,s,1050,1880,Subalpine
Achillea millefolium,Achillea millefolium,la,c,s,0,1880,Subalpine
Odontarrhena argentea,Alyssum murale,ma,c,s,0,1880,Subalpine
Centaurea scabiosa,Centaurea scabiosa,ha,c,s,0,1880,Subalpine
Dianthus carthusianorum,Dianthus carthusianorum,la,c,s,0,1880,Subalpine
Dianthus superbus,Dianthus superbus,la,c,s,0,1880,Subalpine
Dianthus sylvestris,Dianthus sylvestris,la,c,s,0,1880,Subalpine
Hypericum maculatum,Hypericum maculatum,ma,c,s,0,1880,Subalpine
Hypericum maculatum,Hypericum maculatum,ma,c,s,0,1880,Subalpine
Hypericum maculatum,Hypericum maculatum,ma,c,s,0,1880,Subalpine
Hypericum maculatum,Hypericum maculatum,ma,c,s,0,1880,Subalpine
Laserpitium peucedanoides,Laserpitium peucedanoides,ma,c,s,0,1880,Subalpine
Leucanthemum vulgare,Leucanthemum vulgare,ls,c,s,0,1880,Subalpine
NA,Lotus corniculatus,NA,c,s,0,1880,Subalpine
Luzula campestris,Luzula campestris,la,c,s,0,1880,Subalpine
Menyanthes trifoliata,Menyanthes trifoliata,la,c,s,0,1880,Subalpine
Pedicularis palustris,Pedicularis palustris,la,c,s,0,1880,Subalpine
NA,Phyteuma orbiculare,NA,c,s,0,1880,Subalpine
Plantago lanceolata,Plantago lanceolata,la,c,s,0,1880,Subalpine
Sanguisorba officinalis,Sanguisorba officinalis,la,c,s,0,1880,Subalpine
NA,Serratula tinctoria,NA,c,s,0,1880,Subalpine
Telekia speciosissima,Telekia speciosissima,a,c,s,0,1880,Subalpine
Verbascum alpinum,Verbascum alpinum,ha,c,s,0,1880,Subalpine
Verbascum thapsus,Verbascum thapsus,la,c,s,0,1880,Subalpine
Aconitum napellus,Aconitum napellus,mn,m,s,1050,1880,Subalpine
Allium insubricum,Allium insubricum,a,m,s,1050,1880,Subalpine
Aquilegia einseleana,Aquilegia einseleana,a,m,s,1050,1880,Subalpine
