Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Acaena alpina,Acaena alpina,Acaena alpina,Acaena alpina,Rosaceae,Acaena,NA,alpina,NA,NA,,,rjp-12540,TRUE,1.1,Accepted,Rosaceae,Acaena,,alpina,,,Poepp. ex Walp.,rjp-12540,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acaena digitata,Acaena digitata,Acaena digitata,Acaena alpina,Rosaceae,Acaena,NA,digitata,NA,NA,,,rjp-11902,TRUE,1.1,Synonym,Rosaceae,Acaena,,alpina,,,Poepp. ex Walp.,rjp-12540,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acaena pinnatifida,Acaena pinnatifida,Acaena pinnatifida,Acaena pinnatifida,Rosaceae,Acaena,NA,pinnatifida,NA,NA,,,rjp-3737,TRUE,1.1,Accepted,Rosaceae,Acaena,,pinnatifida,,,Ruiz & Pav.,rjp-3737,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acanthocalyx alba,Acanthocalyx alba,Acanthocalyx alba,Acanthocalyx alba,Caprifoliaceae,Acanthocalyx,NA,alba,NA,NA,,,kew-2614489,TRUE,1.1,Unresolved,Caprifoliaceae,Acanthocalyx,,alba,,,(Hand.-Mazz.) M.J.Cannon,kew-2614489,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea acuminata,Achillea acuminata,Achillea acuminata,Achillea acuminata,Compositae,Achillea,NA,acuminata,NA,NA,,,gcc-129408,TRUE,1.1,Accepted,Compositae,Achillea,,acuminata,,,(Ledeb.) Sch.Bip.,gcc-129408,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea atrata,Achillea atrata,Achillea atrata,Achillea atrata,Compositae,Achillea,NA,atrata,NA,NA,,,gcc-14881,TRUE,1.1,Accepted,Compositae,Achillea,,atrata,,,L.,gcc-14881,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea clavenae,Achillea clavenae,Achillea clavenae,Achillea clavennae,Compositae,Achillea,NA,clavenae,NA,NA,,,gcc-105259,TRUE,1.1,Accepted,Compositae,Achillea,,clavennae,,,L.,gcc-105259,Accepted,TRUE,FALSE,FALSE,18/04/2020,Species
Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Compositae,Achillea,NA,millefolium,NA,NA,,,gcc-140712,TRUE,1.1,Accepted,Compositae,Achillea,,millefolium,,,L.,gcc-140712,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea moschata,Achillea moschata,Achillea moschata,Achillea erba-rotta,Compositae,Achillea,NA,moschata,NA,NA,,,gcc-103225,TRUE,1.1,Synonym,Compositae,Achillea,,erba-rotta,subsp.,moschata,(Wulfen) I.Richardson,gcc-23438,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea nana,Achillea nana,Achillea nana,Achillea nana,Compositae,Achillea,NA,nana,NA,NA,,,gcc-24761,TRUE,1.1,Accepted,Compositae,Achillea,,nana,,,L.,gcc-24761,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
