"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"1","Epacris glacials","Epacris","","glacials",NA,NA,"","","kew-2789684",TRUE,"1.1","Accepted","Ericaceae","Epacris","","glacialis","","","(F.Muell.) M.Gray","kew-2789684","Accepted",TRUE,FALSE,FALSE,2020-04-18,"Species"
"2","Epacris paludosa","Epacris","","paludosa",NA,NA,"","","kew-2789783",TRUE,"1.1","Accepted","Ericaceae","Epacris","","paludosa","","","R.Br.","kew-2789783","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"3","Kunzea mueleri","Kunzea","","mueleri",NA,NA,"","","kew-106560",TRUE,"1.1","Accepted","Myrtaceae","Kunzea","","muelleri","","","Benth.","kew-106560","Accepted",TRUE,FALSE,FALSE,2020-04-18,"Species"
"4","Olearia algida","Olearia","","algida",NA,NA,"","","gcc-27068",TRUE,"1.1","Accepted","Compositae","Olearia","","algida","","","N.A.Wakef.","gcc-27068","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"5","Richea continentis","Richea","","continentis",NA,NA,"","","kew-2419176",TRUE,"1.1","Unresolved","Ericaceae","Richea","","continentis","","","B.L.Burtt","kew-2419176","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
"6","Ozothamnus alpina","Ozothamnus","","alpina",NA,NA,"","","gcc-88035",TRUE,"1.1","Accepted","Compositae","Ozothamnus","","alpinus","","","(N.A.Wakef.) Anderb.","gcc-88035","Accepted",TRUE,FALSE,FALSE,2020-04-18,"Species"
"7","Epacris petrophilla","Epacris","","petrophilla",NA,NA,"","","kew-2789788",TRUE,"1.1","Accepted","Ericaceae","Epacris","","petrophila","","","Hook.f.","kew-2789788","Accepted",TRUE,FALSE,FALSE,2020-04-18,"Species"
"8","Brachyscome rigidula","Brachyscome","","rigidula",NA,NA,"","","gcc-95166",TRUE,"1.1","Accepted","Compositae","Brachyscome","","rigidula","","","(DC.) G.L.Davis","gcc-95166","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"9","Xerochrysum subundulatum","Xerochrysum","","subundulatum",NA,NA,"","","gcc-91276",TRUE,"1.1","Accepted","Compositae","Xerochrysum","","subundulatum","","","(Sch.Bip.) R.J.Bayer","gcc-91276","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"10","Brachyscome spathulata","Brachyscome","","spathulata",NA,NA,"","","gcc-29103",TRUE,"1.1","Accepted","Compositae","Brachyscome","","spathulata","","","Gaudich.","gcc-29103","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
