"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"1","Stipa splendens","Stipa","","splendens",NA,NA,"","","kew-445779",TRUE,"1.1","Accepted","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"2","Anemone narcissiflora","Anemone","","narcissiflora",NA,NA,"","","kew-2638416",TRUE,"1.1","Accepted","Ranunculaceae","Anemone","","narcissiflora","","","L.","kew-2638416","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"3","Angelica nitida","Angelica","","nitida",NA,NA,"","","kew-2639187",TRUE,"1.1","Accepted","Apiaceae","Angelica","","nitida","","","H.Wolff","kew-2639187","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"4","Arenaria norvegica","Arenaria","","norvegica",NA,NA,"","","kew-2649841",TRUE,"1.1","Accepted","Caryophyllaceae","Arenaria","","norvegica","","","Gunnerus","kew-2649841","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"5","Axyris amaranthoides","Axyris","","amaranthoides",NA,NA,"","","kew-2666799",TRUE,"1.1","Accepted","Amaranthaceae","Axyris","","amaranthoides","","","L.","kew-2666799","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"6","Brachyscome barkerae","Brachyscome","","barkerae",NA,NA,"","","",FALSE,"1.1","","","Brachyscome","","barkerae",NA,"","","","",FALSE,FALSE,FALSE,2020-04-18,"Genus"
"7","Brachyscome staceae","Brachyscome","","staceae",NA,NA,"","","",FALSE,"1.1","","","Brachyscome","","staceae",NA,"","","","",FALSE,FALSE,FALSE,2020-04-18,"Genus"
"8","Cirsium arvense","Cirsium","","arvense",NA,NA,"","","gcc-106632",TRUE,"1.1","Accepted","Compositae","Cirsium","","arvense","","","(L.) Scop.","gcc-106632","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"9","Coronidium gunnianum","Coronidium","","gunnianum",NA,NA,"","","",FALSE,"1.1","","","Coronidium","","gunnianum",NA,"","","","",FALSE,FALSE,FALSE,2020-04-18,"Genus"
"10","Diplaspis nivis","Diplaspis","","nivis",NA,NA,"","","",FALSE,"1.1","","","Diplaspis","","nivis",NA,"","","","",FALSE,FALSE,FALSE,2020-04-18,"Genus"
"11","Echinochloa crus-galli","Echinochloa","","crus-galli",NA,NA,"","","kew-410191",TRUE,"1.1","Accepted","Poaceae","Echinochloa","","crus-galli","","","(L.) P.Beauv.","kew-410191","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"12","Elsholtzia feddei","Elsholtzia","","feddei",NA,NA,"","","kew-66742",TRUE,"1.1","Accepted","Lamiaceae","Elsholtzia","","feddei","","","H.Lév.","kew-66742","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"13","Epilobium billardierianum","Epilobium","","billardierianum",NA,NA,"","","kew-2790172",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","billardierianum","","","Ser.","kew-2790172","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"14","Fagopyrum tataricum","Fagopyrum","","tataricum",NA,NA,"","","kew-2807341",TRUE,"1.1","Accepted","Polygonaceae","Fagopyrum","","tataricum","","","(L.) Gaertn.","kew-2807341","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"15","Fagopyrum urophyllum","Fagopyrum","","urophyllum",NA,NA,"","","kew-2807344",TRUE,"1.1","Accepted","Polygonaceae","Fagopyrum","","urophyllum","","","(Bureau & Franch.) Gross","kew-2807344","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"16","Gentiana officinalis","Gentiana","","officinalis",NA,NA,"","","kew-2821065",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","officinalis","","","Harry Sm.","kew-2821065","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
