"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Acaena pinnatifida","Rosaceae","Generalist",8.9,"Species",0.9,"Family","PD"
"Achillea atrata","Compositae","Strict",0.630897368421053,"Genus",1,"Genus","PD"
"Achillea clavennae","Compositae","Strict",0.449,"Species",1,"Genus",NA
"Achillea erba-rotta","Compositae","Strict",0.274,"Species",1,"Genus",NA
"Achillea nana","Compositae","Strict",0.630897368421053,"Genus",1,"Genus",NA
"Aciphylla glacialis","Apiaceae","Strict",5.899,"Species",0.05,"Species",NA
"Aciphylla simplicifolia","Apiaceae","Generalist",5.006,"Species",0.04,"Species",NA
"Aconitum brunneum","Ranunculaceae","Strict",1.79683333333333,"Species",0.05,"Genus","MPD"
"Aconitum bucovinense","Ranunculaceae","Strict",2.12483,"Genus",0.05,"Genus",NA
"Aconitum lasiocarpum","Ranunculaceae","Generalist",2.12483,"Genus",0.05,"Genus",NA
"Aconitum lycoctonum","Ranunculaceae","Generalist",2.12483,"Genus",0.05,"Genus","MPD"
"Aconitum tanguticum","Ranunculaceae","Strict",2.12483,"Genus",0.05,"Genus","MPD"
"Acronema chinense","Apiaceae","Strict",0.536,"Species",0.06,"Family","MPD"
"Adenophora himalayana","Campanulaceae","Generalist",0.144666666666667,"Species",0.22,"Family",NA
"Adenophora liliifolioides","Campanulaceae","Generalist",0.138666666666667,"Species",0.22,"Family","PD"
"Adenostyles alliariae","Compositae","Generalist",1.25,"Genus",1,"Family",NA
"Adesmia emarginata","Leguminosae","Generalist",5.33843,"Genus",1,"Genus",NA
"Adesmia longipes","Leguminosae","Strict",5.33843,"Genus",1,"Genus",NA
"Adesmia radicifolia","Leguminosae","Generalist",5.33843,"Genus",1,"Genus",NA
"Agropyron velutinum","Poaceae","Generalist",5.236,"Genus",0.2,"Family",NA
"Agrostis alpina","Poaceae","Strict",0.0805827586206897,"Genus",0.2,"Family",NA
"Ajania fruticulosa","Compositae","Generalist",0.253,"Species",1,"Family",NA
"Ajania salicifolia","Compositae","Generalist",0.266516666666667,"Species",1,"Family","ND"
"Ajania tenuifolia","Compositae","Generalist",0.1099,"Species",1,"Family","PD"
"Alchemilla alpina","Rosaceae","Strict",0.432094117647059,"Genus",0.9,"Family","PD"
"Aletris glandulifera","Nartheciaceae","Strict",0.0556666666666667,"Species",0.08,"Family",NA
"Allium chrysanthum","Amaryllidaceae","Generalist",0.635666666666667,"Species",0.35,"Genus","PD"
"Allium chrysocephalum","Amaryllidaceae","Strict",0.528,"Species",0.35,"Genus","PD"
"Allium cyaneum","Amaryllidaceae","Generalist",0.532211111111111,"Species",0.35,"Genus","PD"
"Allium cyathophorum","Amaryllidaceae","Generalist",1.97556666666667,"Species",0.35,"Genus",NA
"Allium prattii","Amaryllidaceae","Generalist",2.76354093959732,"Genus",0.35,"Genus",NA
"Allium przewalskianum","Amaryllidaceae","Generalist",0.699333333333333,"Species",0.35,"Genus","PD"
"Allium rude","Amaryllidaceae","Generalist",0.47285,"Species",0.35,"Genus","PD"
"Allium sikkimense","Amaryllidaceae","Generalist",0.494,"Species",0.35,"Genus","PD"
"Allium victorialis","Amaryllidaceae","Strict",3.31894444444444,"Species",0.35,"Genus","MPD"
"Alstroemeria pallida","Alstroemeriaceae","Generalist",18.3,"Species",0.14,"Genus",NA
"Anaphalis flavescens","Compositae","Generalist",0.09605,"Species",1,"Family","PD"
"Anaphalis latialata","Compositae","Strict",0.0947,"Species",1,"Family","ND"
"Anaphalis nepalensis","Compositae","Generalist",0.263,"Species",1,"Family",NA
"Anarthrophyllum cumingii","Leguminosae","Generalist",3.4,"Genus",0.97,"Family",NA
"Anarthrophyllum gayanum","Leguminosae","Strict",3.4,"Species",0.97,"Family",NA
"Androsace chamaejasme","Primulaceae","Strict",0.5964,"Species",0.21,"Genus",NA
"Androsace gmelinii","Primulaceae","Generalist",0.163166666666667,"Species",0.21,"Genus",NA
"Androsace obtusifolia","Primulaceae","Strict",0.4268,"Species",0.21,"Genus",NA
"Androsace villosa","Primulaceae","Generalist",1.0782,"Species",0.21,"Genus",NA
"Anemone alpina","Ranunculaceae","Strict",4.4944,"Species",0.04,"Genus","MPD"
"Anemone narcissiflora","Ranunculaceae","Generalist",2.73972272727273,"Genus",0.04,"Genus",NA
"Anemone rivularis","Ranunculaceae","Generalist",6.89005,"Species",0.04,"Genus","MPD"
"Anemone vernalis","Ranunculaceae","Strict",1.8966,"Species",0.04,"Genus",NA
"Anisodus tanguticus","Solanaceae","Generalist",7.2485,"Species",0.47,"Family","PD"
"Antennaria dioica","Compositae","Generalist",0.06,"Species",1,"Genus",NA
"Anthoxanthum odoratum","Poaceae","Generalist",0.55,"Species",0.05,"Species","PD"
"Anthriscus sylvestris","Apiaceae","Generalist",3.57465,"Species",0.02,"Species","MPD"
"Anthyllis vulneraria","Leguminosae","Generalist",3.48434,"Species",0.98,"Species","PY"
"Arabis alpina","Brassicaceae","Generalist",0.4,"Species",1,"Genus",NA
"Arabis caerulea","Brassicaceae","Strict",0.3063,"Genus",1,"Genus",NA
"Arenaria biflora","Caryophyllaceae","Strict",0.0872,"Species",0.61,"Genus",NA
"Arenaria edgeworthiana","Caryophyllaceae","Strict",0.866333333333333,"Species",0.61,"Genus",NA
"Arenaria erinacea","Caryophyllaceae","Generalist",0.216236363636364,"Genus",0.61,"Genus",NA
"Arenaria grandiflora","Caryophyllaceae","Generalist",0.5456,"Species",0.61,"Genus",NA
"Arenaria kansuensis","Caryophyllaceae","Strict",0.1257,"Species",0.61,"Genus","PD"
"Arenaria norvegica","Caryophyllaceae","Generalist",0.216236363636364,"Genus",0.61,"Genus",NA
"Arenaria purpurascens","Caryophyllaceae","Strict",0.216236363636364,"Genus",0.61,"Genus",NA
"Aristida triseta","Poaceae","Generalist",0.2767,"Species",0.34,"Genus","PD"
"Armeria alpina","Plumbaginaceae","Strict",1.9264,"Species",0.95,"Family",NA
"Armeria cantabrica","Plumbaginaceae","Strict",1.7292,"Species",0.95,"Family",NA
"Arnica montana","Compositae","Generalist",1.28825,"Species",1,"Genus",NA
"Artemisia desertorum","Compositae","Strict",0.171877777777778,"Species",1,"Genus","PD"
"Artemisia genipi","Compositae","Strict",0.22,"Species",1,"Genus",NA
"Artemisia glacialis","Compositae","Strict",0.705119444444444,"Genus",1,"Genus",NA
"Artemisia gmelinii","Compositae","Generalist",0.205955555555556,"Species",1,"Genus","ND"
"Artemisia hedinii","Compositae","Generalist",0.0652222222222222,"Species",1,"Genus","ND"
"Artemisia umbelliformis","Compositae","Strict",0.2899,"Species",1,"Genus",NA
"Asperugo procumbens","Boraginaceae","Generalist",2.0295,"Species",1,"Genus","PD"
"Astelia alpina","Asteliaceae","Strict",1.1258,"Species",0.11,"Genus",NA
"Astelia psychrocharis","Asteliaceae","Strict",1.70235,"Genus",0.11,"Genus",NA
"Aster alpinus","Compositae","Generalist",0.672566666666667,"Species",1,"Genus",NA
"Aster amellus","Compositae","Generalist",0.810466666666667,"Genus",1,"Genus","PD"
"Aster diplostephioides","Compositae","Generalist",0.62235,"Species",1,"Genus","ND"
"Aster souliei","Compositae","Generalist",0.731,"Species",1,"Genus","PD"
"Aster yunnanensis","Compositae","Generalist",0.2977,"Species",1,"Genus","ND"
"Astragalus australis","Leguminosae","Strict",8.8214354679803,"Genus",0.98,"Genus",NA
"Astragalus cyri","Leguminosae","Strict",8.8214354679803,"Genus",0.98,"Genus",NA
"Astragalus floridus","Leguminosae","Strict",2.62198333333333,"Species",0.982865731,"Genus","PY"
"Astragalus mahoschanicus","Leguminosae","Generalist",1.98766666666667,"Species",0.98,"Genus","PY"
"Astragalus penduliflorus","Leguminosae","Strict",8.8214354679803,"Genus",0.98,"Genus",NA
"Astragalus polycladus","Leguminosae","Generalist",1.19933333333333,"Species",0.98,"Genus","PY"
"Astragalus przewalskii","Leguminosae","Strict",2.32235,"Species",0.98,"Genus",NA
"Astragalus tongolensis","Leguminosae","Strict",1.93351666666667,"Species",0.98,"Genus","PY"
"Aubrieta thessala","Brassicaceae","Strict",0.242933333333333,"Genus",1,"Family",NA
"Avena fatua","Poaceae","Generalist",15.1593333333333,"Species",0.09,"Genus","PD"
"Azorella madreporica","Apiaceae","Generalist",1.3,"Species",0.04,"Genus",NA
"Baeckea gunniana","Myrtaceae","Generalist",0.746,"Species",1,"Family",NA
"Baeckea utilis","Myrtaceae","Generalist",0.062,"Species",1,"Family",NA
"Bartsia alpina","Orobanchaceae","Generalist",0.28,"Species",0.38,"Family","PD"
"Batrachium bungei","Ranunculaceae","Generalist",0.74985,"Species",0.04,"Family","MPD"
"Berberis montana","Berberidaceae","Generalist",11.9288537037037,"Genus",0.34,"Genus",NA
"Betula nana","Betulaceae","Strict",0.498447222222222,"Genus",0.99,"Genus","PD"
"Biebersteinia orphanidis","Biebersteiniaceae","Strict",19.02,"Genus",1,"Genus",NA
"Biscutella laevigata","Brassicaceae","Generalist",4.167,"Species",1,"Family",NA
"Blysmus sinocompressus","Cyperaceae","Generalist",0.636,"Species",0.11,"Family","PD"
"Brachyscome barkerae","Compositae","Strict",0.376404,"Genus",1,"Family",NA
"Brachyscome obovata","Compositae","Generalist",0.376404,"Genus",1,"Family",NA
"Brachyscome rigidula","Compositae","Generalist",0.304,"Species",1,"Family",NA
"Brachyscome spathulata","Compositae","Generalist",0.4188,"Species",1,"Family",NA
"Brachyscome stolonifera","Compositae","Strict",0.376404,"Genus",1,"Family",NA
"Braya rosea","Brassicaceae","Generalist",1.19266666666667,"Species",1,"Family",NA
"Bromus sinensis","Poaceae","Strict",3.81233333333333,"Species",0.1,"Genus","ND"
"Bupleurum commelynoideum","Apiaceae","Generalist",1.24485,"Species",0.04,"Genus","MD"
"Calandrinia caespitosa","Portulacaceae","Strict",0.5,"Genus",0.77,"Genus",NA
"Calceolaria filicaulis","Calceolariaceae","Strict",0.0192,"Genus",0.471479706,"Family",NA
"Calceolaria purpurea","Calceolariaceae","Generalist",0.0184,"Genus",0.471479706,"Family",NA
"Callistemon pityoides","Myrtaceae","Generalist",0.25,"Species",1,"Family","PD"
"Callitriche palustris","Plantaginaceae","Generalist",0.113666666666667,"Species",0.67,"Genus",NA
"Campanula alpina","Campanulaceae","Strict",0.2758,"Species",0.19,"Genus",NA
"Campanula aristata","Campanulaceae","Strict",0.0271666666666667,"Species",0.19,"Genus","PD"
"Campanula barbata","Campanulaceae","Strict",0.1055,"Species",0.19,"Genus","PD"
