Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Maria Tudela Ecol & Evol,Achillea moschata,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Achillea nana,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Antennaria dioica,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Anthoxanthum odoratum,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,3,60
Maria Tudela Ecol & Evol,Anthyllis vulneraria,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,25,60
Maria Tudela Ecol & Evol,Arnica montana,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,22,60
Maria Tudela Ecol & Evol,Aster alpinus,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,1,60
Maria Tudela Ecol & Evol,Bartsia alpina,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,1,60
Maria Tudela Ecol & Evol,Biscutella laevigata,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Campanula barbata,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,2,60
Maria Tudela Ecol & Evol,Carex curvula,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Carex firma,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Carex sempervirens,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Dryas octopetala,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Festuca halleri,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Festuca nigricans,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,4,60
Maria Tudela Ecol & Evol,Festuca pumila,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,42,60
Maria Tudela Ecol & Evol,Festuca nigrescens,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Gentiana acaulis,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Gentiana clusii,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
Maria Tudela Ecol & Evol,Gentiana nivalis,Italy,Val Viola Dosde and Passo dello Stelvi,46,10,2750,NA,0,N,N,N,N,Merged,0,0,0,60,0,60
