"Region","Species","Alpine","Min.elevation","Max.elevation","Treeline"
"Southern Alps","Achillea atrata","Strict",1390,3250,1880
"Southern Alps","Achillea clavennae","Strict",1390,3250,1880
"Southern Alps","Achillea erba-rotta","Strict",1390,3250,1880
"Southern Alps","Achillea nana","Strict",1880,3250,1880
"Southern Alps","Allium victorialis","Strict",1390,3250,1880
"Southern Alps","Androsace obtusifolia","Strict",1880,3250,1880
"Southern Alps","Anemone alpina","Generalist",1050,3250,1880
"Southern Alps","Anemone vernalis","Strict",1390,3250,1880
"Southern Alps","Antennaria dioica","Strict",1390,3250,1880
"Southern Alps","Anthoxanthum odoratum","Strict",1390,3250,1880
"Southern Alps","Anthyllis vulneraria","Generalist",0,4810,1880
"Southern Alps","Arabis alpina","Generalist",0,3250,1880
"Southern Alps","Arabis caerulea","Strict",1880,3250,1880
"Southern Alps","Arenaria biflora","Strict",1880,3250,1880
"Southern Alps","Armeria alpina","Strict",1880,3250,1880
"Southern Alps","Arnica montana","Strict",1390,3250,1880
"Southern Alps","Artemisia genipi","Strict",1390,3250,1880
"Southern Alps","Artemisia glacialis","Strict",1390,3250,1880
"Southern Alps","Artemisia umbelliformis","Strict",1880,3250,1880
"Southern Alps","Aster alpinus","Strict",1390,3250,1880
"Southern Alps","Bartsia alpina","Strict",1880,3250,1880
"Southern Alps","Biscutella laevigata","Generalist",0,3250,1880
"Southern Alps","Campanula barbata","Strict",1390,3250,1880
"Southern Alps","Campanula cenisia","Strict",1880,3250,1880
"Southern Alps","Campanula cochleariifolia","Generalist",1050,3250,1880
"Southern Alps","Campanula macrorhiza","Generalist",0,3250,1880
"Southern Alps","Campanula scheuchzeri","Strict",1390,3250,1880
"Southern Alps","Campanula thyrsoides","Strict",1390,3250,1880
"Southern Alps","Carex bicolor","Strict",1390,3250,1880
"Southern Alps","Carex curvula","Strict",1880,3250,1880
"Southern Alps","Carex firma","Strict",1390,3250,1880
"Southern Alps","Carex foetida","Strict",1390,3250,1880
"Southern Alps","Carex sempervirens","Strict",1390,3250,1880
"Southern Alps","Cerastium arvense","Generalist",0,3250,1880
"Southern Alps","Cerastium latifolium","Strict",1880,3250,1880
"Southern Alps","Cerastium pedunculatum","Strict",1880,3250,1880
"Southern Alps","Cerastium uniflorum","Strict",1880,4810,1880
"Southern Alps","Cirsium spinosissimum","Strict",1390,3250,1880
"Southern Alps","Comastoma tenellum","Strict",1880,3250,1880
"Southern Alps","Dianthus glacialis","Strict",1880,3250,1880
"Southern Alps","Draba hoppeana","Strict",1880,3250,1880
"Southern Alps","Draba stylaris","Strict",1390,3250,1880
"Southern Alps","Dryas octopetala","Strict",1390,3250,1880
"Southern Alps","Eriophorum angustifolium","Generalist",0,3250,1880
"Southern Alps","Eriophorum scheuchzeri","Strict",1390,3250,1880
"Southern Alps","Festuca alpina","Strict",1390,3250,1880
"Southern Alps","Festuca halleri","Strict",1390,3250,1880
"Southern Alps","Festuca norica","Strict",1390,3250,1880
"Southern Alps","Festuca quadriflora","Strict",1390,3250,1880
"Southern Alps","Festuca scabriculmis","Strict",1390,3250,1880
"Southern Alps","Festuca violacea","Strict",1390,3250,1880
"Southern Alps","Galium montis-arerae","Strict",1390,3250,1880
"Southern Alps","Gentiana acaulis","Strict",1390,3250,1880
"Southern Alps","Gentiana brachyphylla","Strict",1880,3250,1880
"Southern Alps","Gentiana clusii","Strict",1390,3250,1880
"Southern Alps","Gentiana nivalis","Strict",1880,3250,1880
"Southern Alps","Gentiana punctata","Strict",1390,3250,1880
"Southern Alps","Gentiana verna","Generalist",1050,3250,1880
"Southern Alps","Gentianella anisodonta","Strict",1390,3250,1880
"Southern Alps","Geum montanum","Strict",1390,3250,1880
"Southern Alps","Gnaphalium supinum","Strict",1880,3250,1880
"Southern Alps","Helictochloa versicolor","Strict",1390,3250,1880
"Southern Alps","Helictotrichon versicolor","Strict",1390,3250,1880
"Southern Alps","Jacobaea incana","Strict",1390,3250,1880
"Southern Alps","Juncus trifidus","Strict",1390,3250,1880
"Southern Alps","Kobresia myosuroides","Strict",1880,3250,1880
"Southern Alps","Leontodon hispidus","Generalist",0,4810,1880
"Southern Alps","Leontopodium nivale","Strict",1390,3250,1880
"Southern Alps","Leucanthemopsis alpina","Strict",1880,3250,1880
"Southern Alps","Linaria alpina","Generalist",1050,4810,1880
"Southern Alps","Linaria tonzigii","Strict",1390,3250,1880
"Southern Alps","Luzula alpinopilosa","Strict",1390,3250,1880
"Southern Alps","Luzula spicata","Strict",1390,3250,1880
"Southern Alps","Minuartia verna","Generalist",0,3250,1880
"Southern Alps","Myosotis alpestris","Strict",1390,3250,1880
"Southern Alps","Nardus stricta","Strict",1390,3250,1880
"Southern Alps","Oxyria digyna","Strict",1880,3250,1880
"Southern Alps","Papaver alpinum","Strict",1390,3250,1880
"Southern Alps","Pedicularis tuberosa","Strict",1390,3250,1880
"Southern Alps","Phleum alpinum","Strict",1390,3250,1880
"Southern Alps","Phyteuma hemisphaericum","Strict",1390,3250,1880
"Southern Alps","Phyteuma sieberi","Strict",1390,3250,1880
"Southern Alps","Pilosella officinarum","Generalist",0,3250,1880
"Southern Alps","Pinguicula leptoceras","Strict",1390,3250,1880
"Southern Alps","Poa alpina","Strict",1390,3250,1880
"Southern Alps","Polygala alpina","Strict",1390,3250,1880
"Southern Alps","Potentilla aurea","Strict",1390,3250,1880
"Southern Alps","Primula auricula","Strict",1390,3250,1880
"Southern Alps","Primula farinosa","Generalist",1050,3250,1880
"Southern Alps","Primula glaucescens","Generalist",1050,3250,1880
