"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3973.68 (211.36)",0.855,"0.451 (0.192 -- 0.729)","0.335 (0.199 -- 0.475)","0.188 (0.000 -- 0.677)","0.191 (0.000 -- 0.614)","0.333 (0.217 -- 0.459)","0.255 (0.240 -- 0.271)","AlpineGeneralist:Alternating",0.0538681658706591,-0.0567244544145069,0.159200535061245,9000.00000000004,0.323555555555556,"fixed",0.624097461224659,0.478244374119482,0.764099463993676,0.424706644652057,0.256943057287868,0.586782361033806
"2","Alternating","3973.68 (211.36)",0.855,"0.451 (0.192 -- 0.729)","0.335 (0.199 -- 0.475)","0.188 (0.000 -- 0.677)","0.191 (0.000 -- 0.614)","0.333 (0.217 -- 0.459)","0.255 (0.240 -- 0.271)","AlpineStrict:Alternating",-0.00280247925228261,-0.0687694166304027,0.070622740619001,8741.00890049888,0.947555555555556,"fixed",0.624097461224659,0.478244374119482,0.764099463993676,0.424706644652057,0.256943057287868,0.586782361033806
"3","GA3","3945.76 (183.44)",0.859,"0.463 (0.209 -- 0.756)","0.325 (0.195 -- 0.465)","0.169 (0.000 -- 0.637)","0.205 (0.000 -- 0.653)","0.365 (0.243 -- 0.485)","0.252 (0.237 -- 0.267)","AlpineGeneralist:GA3",-0.0467253685454197,-0.0872154863809556,-0.0079632016204414,8999.99999999999,0.0215555555555556,"fixed",0.633267561673665,0.488348869333088,0.766971932778543,0.436935241725343,0.269307240603572,0.599274599096067
"4","GA3","3945.76 (183.44)",0.859,"0.463 (0.209 -- 0.756)","0.325 (0.195 -- 0.465)","0.169 (0.000 -- 0.637)","0.205 (0.000 -- 0.653)","0.365 (0.243 -- 0.485)","0.252 (0.237 -- 0.267)","AlpineStrict:GA3",-0.0853645343973091,-0.140712294931291,-0.034651626348932,8999.99999999999,0.00222222222222222,"fixed",0.633267561673665,0.488348869333088,0.766971932778543,0.436935241725343,0.269307240603572,0.599274599096067
"5","Light","3969.91 (207.59)",0.854,"0.440 (0.184 -- 0.715)","0.325 (0.191 -- 0.460)","0.181 (0.000 -- 0.621)","0.195 (0.000 -- 0.633)","0.352 (0.238 -- 0.477)","0.255 (0.239 -- 0.271)","AlpineGeneralist:Light",0.00787411826948465,-0.0594248971319757,0.0743786433886271,9378.05099362038,0.817111111111111,"fixed",0.619148209980907,0.472736280692195,0.757658421324037,0.423814830644881,0.261141088433892,0.597318012958518
"6","Light","3969.91 (207.59)",0.854,"0.440 (0.184 -- 0.715)","0.325 (0.191 -- 0.460)","0.181 (0.000 -- 0.621)","0.195 (0.000 -- 0.633)","0.352 (0.238 -- 0.477)","0.255 (0.239 -- 0.271)","AlpineStrict:Light",-0.00423393394714695,-0.129785339027876,0.119569362374023,8999.99999999994,0.948,"fixed",0.619148209980907,0.472736280692195,0.757658421324037,0.423814830644881,0.261141088433892,0.597318012958518
"7","Scarification","3966.62 (204.3)",0.855,"0.405 (0.174 -- 0.662)","0.326 (0.195 -- 0.464)","0.175 (0.000 -- 0.650)","0.232 (0.000 -- 0.764)","0.341 (0.225 -- 0.465)","0.255 (0.238 -- 0.269)","AlpineGeneralist:Scarification",-0.162039007734877,-0.263269300892716,-0.0571481740917079,8631.14748837271,0.00288888888888889,"fixed",0.599756589202142,0.451269020683006,0.74491800271364,0.403733910420106,0.244440616954768,0.575559411773514
"8","Scarification","3966.62 (204.3)",0.855,"0.405 (0.174 -- 0.662)","0.326 (0.195 -- 0.464)","0.175 (0.000 -- 0.650)","0.232 (0.000 -- 0.764)","0.341 (0.225 -- 0.465)","0.255 (0.238 -- 0.269)","AlpineStrict:Scarification",0.582313839306719,-1.29126695272862,2.51800269864634,8999.99999999998,0.537333333333333,"fixed",0.599756589202142,0.451269020683006,0.74491800271364,0.403733910420106,0.244440616954768,0.575559411773514
"9","Stratification","3963.84 (201.52)",0.856,"0.451 (0.193 -- 0.730)","0.320 (0.191 -- 0.459)","0.198 (0.000 -- 0.697)","0.179 (0.000 -- 0.562)","0.352 (0.239 -- 0.476)","0.254 (0.238 -- 0.268)","AlpineGeneralist:Stratification",-0.105702430694104,-0.198753194868914,-0.0179327333462425,8712.51937467442,0.0215555555555556,"fixed",0.625580583412759,0.470952712100519,0.756432466911113,0.431832880853454,0.266296977041163,0.599970575591643
"10","Stratification","3963.84 (201.52)",0.856,"0.451 (0.193 -- 0.730)","0.320 (0.191 -- 0.459)","0.198 (0.000 -- 0.697)","0.179 (0.000 -- 0.562)","0.352 (0.239 -- 0.476)","0.254 (0.238 -- 0.268)","AlpineStrict:Stratification",-0.0508438076534288,-0.134922341210768,0.0350283369334647,8999.99999999997,0.251111111111111,"fixed",0.625580583412759,0.470952712100519,0.756432466911113,0.431832880853454,0.266296977041163,0.599970575591643
"11","Tmean","3762.32 (0)",0.872,"0.450 (0.201 -- 0.733)","0.354 (0.218 -- 0.501)","0.201 (0.000 -- 0.741)","0.228 (0.000 -- 0.734)","0.321 (0.215 -- 0.441)","0.234 (0.220 -- 0.248)","AlpineGeneralist:Tmean",-0.0759548758930034,-0.123728068247146,-0.0311579955741763,8999.99999999997,0.00177777777777778,"fixed",0.643976653617919,0.499682717821074,0.778210514245531,0.425909253632017,0.252285550313807,0.584756796292731
"12","Tmean","3762.32 (0)",0.872,"0.450 (0.201 -- 0.733)","0.354 (0.218 -- 0.501)","0.201 (0.000 -- 0.741)","0.228 (0.000 -- 0.734)","0.321 (0.215 -- 0.441)","0.234 (0.220 -- 0.248)","AlpineStrict:Tmean",-0.240835275709731,-0.275578012166079,-0.205745130573632,8999.99999999999,0.000111111111111111,"fixed",0.643976653617919,0.499682717821074,0.778210514245531,0.425909253632017,0.252285550313807,0.584756796292731
