"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257270.63 (18.22)",0.72,"1.841 (1.089 -- 2.586)","3.554 (2.963 -- 4.489)","1.013 (0.642 -- 1.481)","1.061 (0.815 -- 1.535)","3.431 (2.913 -- 4.008)","4.265 (4.056 -- 4.469)","AlpineGeneralist:log(mass):Alternating",-0.0681721902376287,-0.123601214349037,-0.016300458330079,38,0.0263157894736842,"fixed",0.298486362669569,0.21016293535514,0.389343237611516,0.189818531756035,0.122896752976415,0.257076372201679
"2","Alternating","257270.63 (18.22)",0.72,"1.841 (1.089 -- 2.586)","3.554 (2.963 -- 4.489)","1.013 (0.642 -- 1.481)","1.061 (0.815 -- 1.535)","3.431 (2.913 -- 4.008)","4.265 (4.056 -- 4.469)","AlpineStrict:log(mass):Alternating",-0.262993413132097,-0.364314987877151,-0.204726414289325,65.4924566947323,0.0263157894736842,"fixed",0.298486362669569,0.21016293535514,0.389343237611516,0.189818531756035,0.122896752976415,0.257076372201679
"3","GA3","257263.63 (11.22)",0.717,"1.776 (1.063 -- 2.401)","3.589 (3.076 -- 4.448)","0.963 (0.712 -- 1.271)","1.011 (0.761 -- 1.273)","3.346 (2.739 -- 4.280)","4.272 (4.089 -- 4.435)","AlpineGeneralist:log(mass):GA3",-0.216418524042309,-0.262898165085062,-0.169555197404406,38,0.0263157894736842,"fixed",0.290911323537749,0.222799232881571,0.366822081950591,0.183419834979561,0.127832305348132,0.243808473604593
"4","GA3","257263.63 (11.22)",0.717,"1.776 (1.063 -- 2.401)","3.589 (3.076 -- 4.448)","0.963 (0.712 -- 1.271)","1.011 (0.761 -- 1.273)","3.346 (2.739 -- 4.280)","4.272 (4.089 -- 4.435)","AlpineStrict:log(mass):GA3",-0.192283974957143,-0.237894094359945,-0.155187876698619,21.9789518618563,0.0263157894736842,"fixed",0.290911323537749,0.222799232881571,0.366822081950591,0.183419834979561,0.127832305348132,0.243808473604593
"5","Light","257280.72 (28.31)",0.722,"1.718 (1.210 -- 2.485)","3.777 (2.868 -- 4.599)","1.027 (0.723 -- 1.469)","1.099 (0.794 -- 1.489)","3.305 (2.728 -- 3.951)","4.245 (4.050 -- 4.449)","AlpineGeneralist:log(mass):Light",-0.132871745918922,-0.207846667241029,-0.0441420477000065,38,0.0263157894736842,"fixed",0.286154557122608,0.212125661481494,0.359388417575875,0.176141616524711,0.12101869150704,0.242749978476372
"6","Light","257280.72 (28.31)",0.722,"1.718 (1.210 -- 2.485)","3.777 (2.868 -- 4.599)","1.027 (0.723 -- 1.469)","1.099 (0.794 -- 1.489)","3.305 (2.728 -- 3.951)","4.245 (4.050 -- 4.449)","AlpineStrict:log(mass):Light",-0.286710323872931,-0.373457449575653,-0.190853884811077,61.5327660361367,0.0263157894736842,"fixed",0.286154557122608,0.212125661481494,0.359388417575875,0.176141616524711,0.12101869150704,0.242749978476372
"7","Scarification","257271.94 (19.53)",0.719,"1.778 (0.978 -- 2.600)","3.593 (2.974 -- 4.482)","1.053 (0.660 -- 1.513)","1.060 (0.755 -- 1.554)","3.448 (2.825 -- 3.971)","4.280 (4.066 -- 4.486)","AlpineGeneralist:log(mass):Scarification",0.0905709573735653,0.0105974584439537,0.153201231674757,38,0.0263157894736842,"fixed",0.289709039681855,0.185546197265111,0.375500349739652,0.183041829335218,0.109217654181153,0.2574640779254
"8","Scarification","257271.94 (19.53)",0.719,"1.778 (0.978 -- 2.600)","3.593 (2.974 -- 4.482)","1.053 (0.660 -- 1.513)","1.060 (0.755 -- 1.554)","3.448 (2.825 -- 3.971)","4.280 (4.066 -- 4.486)","AlpineStrict:log(mass):Scarification",0.0795178436247792,0.0150328807994811,0.145945332187694,38,0.0263157894736842,"fixed",0.289709039681855,0.185546197265111,0.375500349739652,0.183041829335218,0.109217654181153,0.2574640779254
"9","Stratification","257252.41 (0)",0.722,"1.963 (1.297 -- 2.711)","3.578 (2.819 -- 4.258)","1.004 (0.703 -- 1.268)","1.081 (0.665 -- 1.450)","3.452 (2.956 -- 3.929)","4.274 (4.118 -- 4.450)","AlpineGeneralist:log(mass):Stratification",-0.0242662412800314,-0.0653235224017408,0.0298270326165948,38,0.368421052631579,"fixed",0.311659000404389,0.230187457706674,0.3909040191004,0.199415552167266,0.138988408198214,0.264162633287884
"10","Stratification","257252.41 (0)",0.722,"1.963 (1.297 -- 2.711)","3.578 (2.819 -- 4.258)","1.004 (0.703 -- 1.268)","1.081 (0.665 -- 1.450)","3.452 (2.956 -- 3.929)","4.274 (4.118 -- 4.450)","AlpineStrict:log(mass):Stratification",0.0477293646746196,-0.0549208786105737,0.124335252700803,38,0.315789473684211,"fixed",0.311659000404389,0.230187457706674,0.3909040191004,0.199415552167266,0.138988408198214,0.264162633287884
"11","Tmean","257271.32 (18.91)",0.728,"1.850 (1.205 -- 2.652)","3.557 (2.814 -- 4.352)","1.007 (0.752 -- 1.313)","1.036 (0.723 -- 1.346)","3.433 (2.774 -- 4.229)","4.143 (3.979 -- 4.268)","AlpineGeneralist:log(mass):Tmean",-0.227955771154529,-0.255375095613999,-0.193740144682124,38,0.0263157894736842,"fixed",0.306008476361629,0.225318600878504,0.385455323163485,0.193176305938496,0.132804951526089,0.26225959913481
"12","Tmean","257271.32 (18.91)",0.728,"1.850 (1.205 -- 2.652)","3.557 (2.814 -- 4.352)","1.007 (0.752 -- 1.313)","1.036 (0.723 -- 1.346)","3.433 (2.774 -- 4.229)","4.143 (3.979 -- 4.268)","AlpineStrict:log(mass):Tmean",-0.370418599182732,-0.426248623043648,-0.316827846232627,38,0.0263157894736842,"fixed",0.306008476361629,0.225318600878504,0.385455323163485,0.193176305938496,0.132804951526089,0.26225959913481
