"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","1951.86 (72.45)",0.865,"0.752 (0.266 -- 1.220)","0.087 (0.000 -- 0.204)","0.356 (0.000 -- 1.258)","0.381 (0.000 -- 1.156)","0.146 (0.076 -- 0.247)","0.274 (0.253 -- 0.297)","DormancyMD:Alternating",1.97622582862396,-4.21928544087132,8.06447472579384,180,0.533333333333333,"fixed",0.712948367190482,0.542760781841679,0.843342420337478,0.656261116194669,0.433646804747963,0.837176614109649
"2","Alternating","1951.86 (72.45)",0.865,"0.752 (0.266 -- 1.220)","0.087 (0.000 -- 0.204)","0.356 (0.000 -- 1.258)","0.381 (0.000 -- 1.156)","0.146 (0.076 -- 0.247)","0.274 (0.253 -- 0.297)","DormancyMPD:Alternating",-0.0716454253260229,-0.399648230371895,0.382972761784913,180,0.7,"fixed",0.712948367190482,0.542760781841679,0.843342420337478,0.656261116194669,0.433646804747963,0.837176614109649
"3","Alternating","1951.86 (72.45)",0.865,"0.752 (0.266 -- 1.220)","0.087 (0.000 -- 0.204)","0.356 (0.000 -- 1.258)","0.381 (0.000 -- 1.156)","0.146 (0.076 -- 0.247)","0.274 (0.253 -- 0.297)","DormancyND:Alternating",-1.17688430511267,-2.53404944829617,0.422812912263907,180,0.1,"fixed",0.712948367190482,0.542760781841679,0.843342420337478,0.656261116194669,0.433646804747963,0.837176614109649
"4","Alternating","1951.86 (72.45)",0.865,"0.752 (0.266 -- 1.220)","0.087 (0.000 -- 0.204)","0.356 (0.000 -- 1.258)","0.381 (0.000 -- 1.156)","0.146 (0.076 -- 0.247)","0.274 (0.253 -- 0.297)","DormancyPD:Alternating",-0.0145127141543557,-0.164731447264785,0.132422110502375,180,0.844444444444444,"fixed",0.712948367190482,0.542760781841679,0.843342420337478,0.656261116194669,0.433646804747963,0.837176614109649
"5","Alternating","1951.86 (72.45)",0.865,"0.752 (0.266 -- 1.220)","0.087 (0.000 -- 0.204)","0.356 (0.000 -- 1.258)","0.381 (0.000 -- 1.156)","0.146 (0.076 -- 0.247)","0.274 (0.253 -- 0.297)","DormancyPY:Alternating",-3.15455419756622,-10.1294838540489,2.81636278986116,180,0.322222222222222,"fixed",0.712948367190482,0.542760781841679,0.843342420337478,0.656261116194669,0.433646804747963,0.837176614109649
"6","GA3","1941.83 (62.42)",0.902,"0.756 (0.276 -- 1.292)","0.079 (0.000 -- 0.194)","0.743 (0.000 -- 2.824)","0.732 (0.000 -- 2.556)","0.143 (0.045 -- 0.241)","0.271 (0.248 -- 0.298)","DormancyMD:GA3",-2.19616838540154,-7.03717722116562,2.4315862908843,180,0.411111111111111,"fixed",0.716877545375409,0.552446245526016,0.846190757810963,0.664811228199947,0.440382434092479,0.845620517034308
"7","GA3","1941.83 (62.42)",0.902,"0.756 (0.276 -- 1.292)","0.079 (0.000 -- 0.194)","0.743 (0.000 -- 2.824)","0.732 (0.000 -- 2.556)","0.143 (0.045 -- 0.241)","0.271 (0.248 -- 0.298)","DormancyMPD:GA3",-0.213082803092863,-0.45006737683434,-0.0193675800910569,180,0.0777777777777778,"fixed",0.716877545375409,0.552446245526016,0.846190757810963,0.664811228199947,0.440382434092479,0.845620517034308
"8","GA3","1941.83 (62.42)",0.902,"0.756 (0.276 -- 1.292)","0.079 (0.000 -- 0.194)","0.743 (0.000 -- 2.824)","0.732 (0.000 -- 2.556)","0.143 (0.045 -- 0.241)","0.271 (0.248 -- 0.298)","DormancyND:GA3",0.98605170099929,-0.547121634852374,2.30905441961659,180,0.2,"fixed",0.716877545375409,0.552446245526016,0.846190757810963,0.664811228199947,0.440382434092479,0.845620517034308
"9","GA3","1941.83 (62.42)",0.902,"0.756 (0.276 -- 1.292)","0.079 (0.000 -- 0.194)","0.743 (0.000 -- 2.824)","0.732 (0.000 -- 2.556)","0.143 (0.045 -- 0.241)","0.271 (0.248 -- 0.298)","DormancyPD:GA3",-0.129717700568689,-0.203694575466216,-0.0351405826440896,158.717296512082,0.00555555555555556,"fixed",0.716877545375409,0.552446245526016,0.846190757810963,0.664811228199947,0.440382434092479,0.845620517034308
"10","GA3","1941.83 (62.42)",0.902,"0.756 (0.276 -- 1.292)","0.079 (0.000 -- 0.194)","0.743 (0.000 -- 2.824)","0.732 (0.000 -- 2.556)","0.143 (0.045 -- 0.241)","0.271 (0.248 -- 0.298)","DormancyPY:GA3",2.77341198930196,-2.17079117099638,8.47785021075106,180,0.322222222222222,"fixed",0.716877545375409,0.552446245526016,0.846190757810963,0.664811228199947,0.440382434092479,0.845620517034308
"11","Light","1947.51 (68.1)",0.866,"0.785 (0.384 -- 1.296)","0.091 (0.000 -- 0.238)","0.345 (0.000 -- 1.353)","0.415 (0.000 -- 1.661)","0.121 (0.057 -- 0.211)","0.273 (0.251 -- 0.292)","DormancyMD:Light",0.230586221589463,-0.0487017538544023,0.465891864907462,180,0.111111111111111,"fixed",0.728394730317093,0.599382167417313,0.831744661176505,0.670117831310047,0.505491492928991,0.830902681516126
"12","Light","1947.51 (68.1)",0.866,"0.785 (0.384 -- 1.296)","0.091 (0.000 -- 0.238)","0.345 (0.000 -- 1.353)","0.415 (0.000 -- 1.661)","0.121 (0.057 -- 0.211)","0.273 (0.251 -- 0.292)","DormancyMPD:Light",-0.288116962390236,-0.47159726274981,-0.0843864897178719,180,0.0111111111111111,"fixed",0.728394730317093,0.599382167417313,0.831744661176505,0.670117831310047,0.505491492928991,0.830902681516126
"13","Light","1947.51 (68.1)",0.866,"0.785 (0.384 -- 1.296)","0.091 (0.000 -- 0.238)","0.345 (0.000 -- 1.353)","0.415 (0.000 -- 1.661)","0.121 (0.057 -- 0.211)","0.273 (0.251 -- 0.292)","DormancyND:Light",0.0660352330518157,-0.0533254811016377,0.181469628805644,142.290852805036,0.222222222222222,"fixed",0.728394730317093,0.599382167417313,0.831744661176505,0.670117831310047,0.505491492928991,0.830902681516126
"14","Light","1947.51 (68.1)",0.866,"0.785 (0.384 -- 1.296)","0.091 (0.000 -- 0.238)","0.345 (0.000 -- 1.353)","0.415 (0.000 -- 1.661)","0.121 (0.057 -- 0.211)","0.273 (0.251 -- 0.292)","DormancyPD:Light",-0.0101203917449842,-0.0656290040205931,0.0572046204324579,180,0.788888888888889,"fixed",0.728394730317093,0.599382167417313,0.831744661176505,0.670117831310047,0.505491492928991,0.830902681516126
