"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3962.24 (164.97)",0.879,"0.460 (0.213 -- 0.796)","0.384 (0.224 -- 0.535)","0.403 (0.000 -- 1.186)","0.289 (0.000 -- 1.106)","0.282 (0.161 -- 0.399)","0.254 (0.238 -- 0.268)","Lifeform2CH:Alternating",-0.204242070933206,-0.345169778374839,-0.0541342240467202,180,0.00555555555555556,"fixed",0.628463112165986,0.486115890094807,0.761872668555978,0.410134348829578,0.254031815983717,0.567057997664805
"2","Alternating","3962.24 (164.97)",0.879,"0.460 (0.213 -- 0.796)","0.384 (0.224 -- 0.535)","0.403 (0.000 -- 1.186)","0.289 (0.000 -- 1.106)","0.282 (0.161 -- 0.399)","0.254 (0.238 -- 0.268)","Lifeform2G:Alternating",-1.10239950004345,-3.34316688601393,1.45809293127968,180,0.344444444444444,"fixed",0.628463112165986,0.486115890094807,0.761872668555978,0.410134348829578,0.254031815983717,0.567057997664805
"3","Alternating","3962.24 (164.97)",0.879,"0.460 (0.213 -- 0.796)","0.384 (0.224 -- 0.535)","0.403 (0.000 -- 1.186)","0.289 (0.000 -- 1.106)","0.282 (0.161 -- 0.399)","0.254 (0.238 -- 0.268)","Lifeform2H:Alternating",0.0163225970770033,-0.0535294482688187,0.0842876254537259,180,0.588888888888889,"fixed",0.628463112165986,0.486115890094807,0.761872668555978,0.410134348829578,0.254031815983717,0.567057997664805
"4","Alternating","3962.24 (164.97)",0.879,"0.460 (0.213 -- 0.796)","0.384 (0.224 -- 0.535)","0.403 (0.000 -- 1.186)","0.289 (0.000 -- 1.106)","0.282 (0.161 -- 0.399)","0.254 (0.238 -- 0.268)","Lifeform2NP:Alternating",0.328192202619503,0.104548899107613,0.552319661539514,180,0.00555555555555556,"fixed",0.628463112165986,0.486115890094807,0.761872668555978,0.410134348829578,0.254031815983717,0.567057997664805
"5","Alternating","3962.24 (164.97)",0.879,"0.460 (0.213 -- 0.796)","0.384 (0.224 -- 0.535)","0.403 (0.000 -- 1.186)","0.289 (0.000 -- 1.106)","0.282 (0.161 -- 0.399)","0.254 (0.238 -- 0.268)","Lifeform2T:Alternating",-0.0887080444560512,-0.519795335163508,0.355487602078938,128.64734583996,0.7,"fixed",0.628463112165986,0.486115890094807,0.761872668555978,0.410134348829578,0.254031815983717,0.567057997664805
"6","GA3","3924.75 (127.48)",0.864,"0.495 (0.194 -- 0.786)","0.365 (0.217 -- 0.492)","0.181 (0.000 -- 0.633)","0.220 (0.000 -- 0.948)","0.310 (0.207 -- 0.423)","0.251 (0.238 -- 0.265)","Lifeform2CH:GA3",-0.188332818457269,-0.274093229309074,-0.119535469508264,180,0.00555555555555556,"fixed",0.648634593225171,0.50149685486475,0.791570005584536,0.436732054256933,0.263698727085747,0.589760368026268
"7","GA3","3924.75 (127.48)",0.864,"0.495 (0.194 -- 0.786)","0.365 (0.217 -- 0.492)","0.181 (0.000 -- 0.633)","0.220 (0.000 -- 0.948)","0.310 (0.207 -- 0.423)","0.251 (0.238 -- 0.265)","Lifeform2G:GA3",1.15770664194606,-0.980938925911232,3.23196445470967,242.143629672888,0.288888888888889,"fixed",0.648634593225171,0.50149685486475,0.791570005584536,0.436732054256933,0.263698727085747,0.589760368026268
"8","GA3","3924.75 (127.48)",0.864,"0.495 (0.194 -- 0.786)","0.365 (0.217 -- 0.492)","0.181 (0.000 -- 0.633)","0.220 (0.000 -- 0.948)","0.310 (0.207 -- 0.423)","0.251 (0.238 -- 0.265)","Lifeform2H:GA3",-0.0355239973409457,-0.0726914334809408,0.00188497034105239,180,0.0777777777777778,"fixed",0.648634593225171,0.50149685486475,0.791570005584536,0.436732054256933,0.263698727085747,0.589760368026268
"9","GA3","3924.75 (127.48)",0.864,"0.495 (0.194 -- 0.786)","0.365 (0.217 -- 0.492)","0.181 (0.000 -- 0.633)","0.220 (0.000 -- 0.948)","0.310 (0.207 -- 0.423)","0.251 (0.238 -- 0.265)","Lifeform2NP:GA3",0.398254071563959,0.144796273641987,0.690338714935933,180,0.0111111111111111,"fixed",0.648634593225171,0.50149685486475,0.791570005584536,0.436732054256933,0.263698727085747,0.589760368026268
"10","GA3","3924.75 (127.48)",0.864,"0.495 (0.194 -- 0.786)","0.365 (0.217 -- 0.492)","0.181 (0.000 -- 0.633)","0.220 (0.000 -- 0.948)","0.310 (0.207 -- 0.423)","0.251 (0.238 -- 0.265)","Lifeform2T:GA3",0.314217061853786,-1.23075815524498,1.78886780652101,333.303404961512,0.688888888888889,"fixed",0.648634593225171,0.50149685486475,0.791570005584536,0.436732054256933,0.263698727085747,0.589760368026268
"11","Light","3970.31 (173.04)",0.861,"0.452 (0.208 -- 0.769)","0.345 (0.196 -- 0.478)","0.220 (0.000 -- 0.804)","0.218 (0.000 -- 0.693)","0.335 (0.216 -- 0.456)","0.254 (0.240 -- 0.270)","Lifeform2CH:Light",0.0306839074823517,-0.164930712533533,0.266693890283932,140.127529874253,0.822222222222222,"fixed",0.623570498716996,0.492680421440171,0.777011936719541,0.4207686181281,0.222860777660159,0.576860808809151
"12","Light","3970.31 (173.04)",0.861,"0.452 (0.208 -- 0.769)","0.345 (0.196 -- 0.478)","0.220 (0.000 -- 0.804)","0.218 (0.000 -- 0.693)","0.335 (0.216 -- 0.456)","0.254 (0.240 -- 0.270)","Lifeform2G:Light",-0.100987486823792,-0.298603139908664,0.0955065779271536,180,0.355555555555556,"fixed",0.623570498716996,0.492680421440171,0.777011936719541,0.4207686181281,0.222860777660159,0.576860808809151
"13","Light","3970.31 (173.04)",0.861,"0.452 (0.208 -- 0.769)","0.345 (0.196 -- 0.478)","0.220 (0.000 -- 0.804)","0.218 (0.000 -- 0.693)","0.335 (0.216 -- 0.456)","0.254 (0.240 -- 0.270)","Lifeform2H:Light",0.02019859688402,-0.0539540240633869,0.089140030155022,180,0.466666666666667,"fixed",0.623570498716996,0.492680421440171,0.777011936719541,0.4207686181281,0.222860777660159,0.576860808809151
"14","Light","3970.31 (173.04)",0.861,"0.452 (0.208 -- 0.769)","0.345 (0.196 -- 0.478)","0.220 (0.000 -- 0.804)","0.218 (0.000 -- 0.693)","0.335 (0.216 -- 0.456)","0.254 (0.240 -- 0.270)","Lifeform2NP:Light",-0.173417139131137,-0.526204120087641,0.192038953722658,180,0.344444444444444,"fixed",0.623570498716996,0.492680421440171,0.777011936719541,0.4207686181281,0.222860777660159,0.576860808809151
"15","Light","3970.31 (173.04)",0.861,"0.452 (0.208 -- 0.769)","0.345 (0.196 -- 0.478)","0.220 (0.000 -- 0.804)","0.218 (0.000 -- 0.693)","0.335 (0.216 -- 0.456)","0.254 (0.240 -- 0.270)","Lifeform2T:Light",0.0448723440112107,-0.120962665940169,0.202957696951671,180,0.566666666666667,"fixed",0.623570498716996,0.492680421440171,0.777011936719541,0.4207686181281,0.222860777660159,0.576860808809151
"16","Scarification","3965.76 (168.49)",0.841,"0.410 (0.160 -- 0.679)","0.271 (0.135 -- 0.434)","0.090 (0.000 -- 0.383)","0.155 (0.000 -- 0.493)","0.383 (0.264 -- 0.502)","0.254 (0.240 -- 0.268)","Lifeform2CH:Scarification",0.183611165529237,-3.58909131419205,3.09013789147139,180,0.911111111111111,"fixed",0.600291540707284,0.450964436134002,0.765261613557001,0.429544730991228,0.251382852903214,0.612818570677282
"17","Scarification","3965.76 (168.49)",0.841,"0.410 (0.160 -- 0.679)","0.271 (0.135 -- 0.434)","0.090 (0.000 -- 0.383)","0.155 (0.000 -- 0.493)","0.383 (0.264 -- 0.502)","0.254 (0.240 -- 0.268)","Lifeform2G:Scarification",2.28166630491865,-3.6473010769987,6.18265702936333,241.625230264216,0.4,"fixed",0.600291540707284,0.450964436134002,0.765261613557001,0.429544730991228,0.251382852903214,0.612818570677282
"18","Scarification","3965.76 (168.49)",0.841,"0.410 (0.160 -- 0.679)","0.271 (0.135 -- 0.434)","0.090 (0.000 -- 0.383)","0.155 (0.000 -- 0.493)","0.383 (0.264 -- 0.502)","0.254 (0.240 -- 0.268)","Lifeform2H:Scarification",-0.154007691023859,-0.255380507151131,-0.0532177901477553,180,0.0111111111111111,"fixed",0.600291540707284,0.450964436134002,0.765261613557001,0.429544730991228,0.251382852903214,0.612818570677282
