"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3971.95 (173.72)",0.852,"0.430 (0.188 -- 0.706)","0.338 (0.208 -- 0.480)","0.157 (0.000 -- 0.566)","0.199 (0.000 -- 0.624)","0.343 (0.224 -- 0.468)","0.255 (0.241 -- 0.272)","Lifespanannual:Alternating",-0.397567061389194,-2.29316629541427,1.54600807489624,8999.99999999998,0.699777777777778,"fixed",0.612964112292382,0.466318458032847,0.756168100894016,0.412321270096419,0.248826015934137,0.579463417389193
"2","Alternating","3971.95 (173.72)",0.852,"0.430 (0.188 -- 0.706)","0.338 (0.208 -- 0.480)","0.157 (0.000 -- 0.566)","0.199 (0.000 -- 0.624)","0.343 (0.224 -- 0.468)","0.255 (0.241 -- 0.272)","Lifespanannual, biennial:Alternating",-0.77704652206511,-4.10810673527885,2.69699701981153,9868.67599293648,0.653777777777778,"fixed",0.612964112292382,0.466318458032847,0.756168100894016,0.412321270096419,0.248826015934137,0.579463417389193
"3","Alternating","3971.95 (173.72)",0.852,"0.430 (0.188 -- 0.706)","0.338 (0.208 -- 0.480)","0.157 (0.000 -- 0.566)","0.199 (0.000 -- 0.624)","0.343 (0.224 -- 0.468)","0.255 (0.241 -- 0.272)","Lifespanannual, perennial:Alternating",0.0171678128864942,-0.423635275085417,0.4550312851934,9000.00000000001,0.941777777777778,"fixed",0.612964112292382,0.466318458032847,0.756168100894016,0.412321270096419,0.248826015934137,0.579463417389193
"4","Alternating","3971.95 (173.72)",0.852,"0.430 (0.188 -- 0.706)","0.338 (0.208 -- 0.480)","0.157 (0.000 -- 0.566)","0.199 (0.000 -- 0.624)","0.343 (0.224 -- 0.468)","0.255 (0.241 -- 0.272)","Lifespanbiennial:Alternating",3.52999540093505,-2.08310617664961,9.28979519391942,8678.83448441026,0.227333333333333,"fixed",0.612964112292382,0.466318458032847,0.756168100894016,0.412321270096419,0.248826015934137,0.579463417389193
"5","Alternating","3971.95 (173.72)",0.852,"0.430 (0.188 -- 0.706)","0.338 (0.208 -- 0.480)","0.157 (0.000 -- 0.566)","0.199 (0.000 -- 0.624)","0.343 (0.224 -- 0.468)","0.255 (0.241 -- 0.272)","Lifespanperennial:Alternating",0.0116836010786119,-0.0554243509686785,0.0711360948134825,9000,0.714888888888889,"fixed",0.612964112292382,0.466318458032847,0.756168100894016,0.412321270096419,0.248826015934137,0.579463417389193
"6","GA3","3942.41 (144.18)",0.853,"0.418 (0.186 -- 0.709)","0.315 (0.191 -- 0.450)","0.153 (0.000 -- 0.597)","0.205 (0.000 -- 0.650)","0.360 (0.246 -- 0.481)","0.252 (0.236 -- 0.267)","Lifespanannual:GA3",0.337314008967168,-1.25134606733991,2.04461814445858,9000.00000000001,0.686444444444444,"fixed",0.608619655840895,0.458135091459736,0.759849703895143,0.41566562893811,0.249109012889579,0.594180831152822
"7","GA3","3942.41 (144.18)",0.853,"0.418 (0.186 -- 0.709)","0.315 (0.191 -- 0.450)","0.153 (0.000 -- 0.597)","0.205 (0.000 -- 0.650)","0.360 (0.246 -- 0.481)","0.252 (0.236 -- 0.267)","Lifespanannual, biennial:GA3",0.687137569675496,-2.27929626649711,3.44574589145486,9338.7466983669,0.642222222222222,"fixed",0.608619655840895,0.458135091459736,0.759849703895143,0.41566562893811,0.249109012889579,0.594180831152822
"8","GA3","3942.41 (144.18)",0.853,"0.418 (0.186 -- 0.709)","0.315 (0.191 -- 0.450)","0.153 (0.000 -- 0.597)","0.205 (0.000 -- 0.650)","0.360 (0.246 -- 0.481)","0.252 (0.236 -- 0.267)","Lifespanannual, perennial:GA3",1.02928019950848,0.479044880870788,1.5876302972174,8577.89010551453,0.000666666666666593,"fixed",0.608619655840895,0.458135091459736,0.759849703895143,0.41566562893811,0.249109012889579,0.594180831152822
"9","GA3","3942.41 (144.18)",0.853,"0.418 (0.186 -- 0.709)","0.315 (0.191 -- 0.450)","0.153 (0.000 -- 0.597)","0.205 (0.000 -- 0.650)","0.360 (0.246 -- 0.481)","0.252 (0.236 -- 0.267)","Lifespanbiennial:GA3",-3.33808044428795,-8.17664996438543,1.42285816871527,9000,0.172666666666667,"fixed",0.608619655840895,0.458135091459736,0.759849703895143,0.41566562893811,0.249109012889579,0.594180831152822
"10","GA3","3942.41 (144.18)",0.853,"0.418 (0.186 -- 0.709)","0.315 (0.191 -- 0.450)","0.153 (0.000 -- 0.597)","0.205 (0.000 -- 0.650)","0.360 (0.246 -- 0.481)","0.252 (0.236 -- 0.267)","Lifespanperennial:GA3",-0.0612483361973937,-0.0929323302116245,-0.0277201578428503,9000.00000000004,0.000222222222222222,"fixed",0.608619655840895,0.458135091459736,0.759849703895143,0.41566562893811,0.249109012889579,0.594180831152822
