"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3967.3 (189.99)",0.872,"0.493 (0.255 -- 0.786)","0.380 (0.254 -- 0.546)","0.368 (0.000 -- 1.293)","0.204 (0.001 -- 0.697)","0.280 (0.175 -- 0.398)","0.255 (0.244 -- 0.271)","Plantcategory2Grass:Alternating",0.12232604670105,-0.0621343612729106,0.317043968883809,180,0.244444444444444,"fixed",0.645314257802788,0.503625353199552,0.757609549906884,0.429777974436025,0.254736237777134,0.563552166675373
"2","Alternating","3967.3 (189.99)",0.872,"0.493 (0.255 -- 0.786)","0.380 (0.254 -- 0.546)","0.368 (0.000 -- 1.293)","0.204 (0.001 -- 0.697)","0.280 (0.175 -- 0.398)","0.255 (0.244 -- 0.271)","Plantcategory2Herb:Alternating",-0.0266032913779927,-0.0935634007037152,0.0390049065099447,180,0.422222222222222,"fixed",0.645314257802788,0.503625353199552,0.757609549906884,0.429777974436025,0.254736237777134,0.563552166675373
"3","Alternating","3967.3 (189.99)",0.872,"0.493 (0.255 -- 0.786)","0.380 (0.254 -- 0.546)","0.368 (0.000 -- 1.293)","0.204 (0.001 -- 0.697)","0.280 (0.175 -- 0.398)","0.255 (0.244 -- 0.271)","Plantcategory2Woody:Alternating",0.307692155598674,0.149803876440274,0.493156403183093,180,0.0111111111111111,"fixed",0.645314257802788,0.503625353199552,0.757609549906884,0.429777974436025,0.254736237777134,0.563552166675373
"4","GA3","3937.94 (160.63)",0.865,"0.466 (0.245 -- 0.731)","0.374 (0.230 -- 0.511)","0.261 (0.000 -- 0.908)","0.185 (0.000 -- 0.630)","0.311 (0.212 -- 0.430)","0.251 (0.234 -- 0.266)","Plantcategory2Grass:GA3",-0.0145202546778667,-0.0811343621753622,0.060110389982583,180,0.677777777777778,"fixed",0.637777830014014,0.503677785968679,0.750028785620128,0.420710743449016,0.286459199095647,0.564915936885474
"5","GA3","3937.94 (160.63)",0.865,"0.466 (0.245 -- 0.731)","0.374 (0.230 -- 0.511)","0.261 (0.000 -- 0.908)","0.185 (0.000 -- 0.630)","0.311 (0.212 -- 0.430)","0.251 (0.234 -- 0.266)","Plantcategory2Herb:GA3",-0.0810883501630741,-0.114272239348793,-0.0495349342818372,180,0.00555555555555556,"fixed",0.637777830014014,0.503677785968679,0.750028785620128,0.420710743449016,0.286459199095647,0.564915936885474
"6","GA3","3937.94 (160.63)",0.865,"0.466 (0.245 -- 0.731)","0.374 (0.230 -- 0.511)","0.261 (0.000 -- 0.908)","0.185 (0.000 -- 0.630)","0.311 (0.212 -- 0.430)","0.251 (0.234 -- 0.266)","Plantcategory2Woody:GA3",0.396422369542981,0.116899170294346,0.630328359591658,180,0.00555555555555556,"fixed",0.637777830014014,0.503677785968679,0.750028785620128,0.420710743449016,0.286459199095647,0.564915936885474
"7","Light","3968.71 (191.4)",0.846,"0.440 (0.204 -- 0.706)","0.332 (0.206 -- 0.494)","0.124 (0.000 -- 0.567)","0.152 (0.000 -- 0.502)","0.350 (0.236 -- 0.484)","0.254 (0.242 -- 0.271)","Plantcategory2Grass:Light",0.02485891792734,-0.0991312443366041,0.127588809205918,231.402157612735,0.666666666666667,"fixed",0.619905680543079,0.463819315781332,0.740625383245891,0.421090140664096,0.254027887765147,0.579131407365921
"8","Light","3968.71 (191.4)",0.846,"0.440 (0.204 -- 0.706)","0.332 (0.206 -- 0.494)","0.124 (0.000 -- 0.567)","0.152 (0.000 -- 0.502)","0.350 (0.236 -- 0.484)","0.254 (0.242 -- 0.271)","Plantcategory2Herb:Light",0.00443481863365744,-0.0720530582802894,0.0688123858999461,180,0.811111111111111,"fixed",0.619905680543079,0.463819315781332,0.740625383245891,0.421090140664096,0.254027887765147,0.579131407365921
"9","Light","3968.71 (191.4)",0.846,"0.440 (0.204 -- 0.706)","0.332 (0.206 -- 0.494)","0.124 (0.000 -- 0.567)","0.152 (0.000 -- 0.502)","0.350 (0.236 -- 0.484)","0.254 (0.242 -- 0.271)","Plantcategory2Woody:Light",-0.0692663018254332,-0.299237977456869,0.244084372985526,130.50267713729,0.577777777777778,"fixed",0.619905680543079,0.463819315781332,0.740625383245891,0.421090140664096,0.254027887765147,0.579131407365921
"10","Scarification","3965.62 (188.31)",0.854,"0.420 (0.202 -- 0.664)","0.252 (0.133 -- 0.406)","0.121 (0.000 -- 0.457)","0.240 (0.000 -- 0.925)","0.390 (0.243 -- 0.526)","0.254 (0.236 -- 0.268)","Plantcategory2Grass:Scarification",-1.92140202118581,-10.7598562288331,6.49148356358273,180,0.633333333333333,"fixed",0.609822119162522,0.440906591621205,0.723398406379383,0.446005432275625,0.272218143377876,0.590249905660395
"11","Scarification","3965.62 (188.31)",0.854,"0.420 (0.202 -- 0.664)","0.252 (0.133 -- 0.406)","0.121 (0.000 -- 0.457)","0.240 (0.000 -- 0.925)","0.390 (0.243 -- 0.526)","0.254 (0.236 -- 0.268)","Plantcategory2Herb:Scarification",-0.158514813256359,-0.235147708612203,-0.0327448726384318,180,0.00555555555555556,"fixed",0.609822119162522,0.440906591621205,0.723398406379383,0.446005432275625,0.272218143377876,0.590249905660395
"12","Scarification","3965.62 (188.31)",0.854,"0.420 (0.202 -- 0.664)","0.252 (0.133 -- 0.406)","0.121 (0.000 -- 0.457)","0.240 (0.000 -- 0.925)","0.390 (0.243 -- 0.526)","0.254 (0.236 -- 0.268)","Plantcategory2Woody:Scarification",-8.11700694243718,-14.2965910116618,-4.17403579482698,180,0.00555555555555556,"fixed",0.609822119162522,0.440906591621205,0.723398406379383,0.446005432275625,0.272218143377876,0.590249905660395
"13","Stratification","3963.21 (185.9)",0.861,"0.431 (0.215 -- 0.691)","0.313 (0.193 -- 0.433)","0.122 (0.000 -- 0.367)","0.283 (0.000 -- 1.061)","0.361 (0.252 -- 0.470)","0.254 (0.239 -- 0.268)","Plantcategory2Grass:Stratification",-0.128695200136199,-0.226243071549106,-0.002947084401967,180,0.0111111111111111,"fixed",0.616885354518788,0.457371000661141,0.727860901980303,0.42553521268933,0.286528051949714,0.621260955848573
