"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3967.62 (191.19)",0.883,"0.512 (0.214 -- 0.844)","0.374 (0.217 -- 0.520)","0.454 (0.000 -- 2.125)","0.135 (0.000 -- 0.808)","0.282 (0.186 -- 0.419)","0.255 (0.238 -- 0.272)","MacroregionAmerica:Alternating",-2.52063363468681,-9.30183485639282,5.84297974787478,180,0.344444444444444,"fixed",0.653060287330022,0.516790272470904,0.784658794381511,0.440341356505616,0.273856878566499,0.609867301888963
"2","Alternating","3967.62 (191.19)",0.883,"0.512 (0.214 -- 0.844)","0.374 (0.217 -- 0.520)","0.454 (0.000 -- 2.125)","0.135 (0.000 -- 0.808)","0.282 (0.186 -- 0.419)","0.255 (0.238 -- 0.272)","MacroregionAsia:Alternating",-3.53389868836414,-11.9364504786354,2.86364992502786,144.712395316723,0.166666666666667,"fixed",0.653060287330022,0.516790272470904,0.784658794381511,0.440341356505616,0.273856878566499,0.609867301888963
"3","Alternating","3967.62 (191.19)",0.883,"0.512 (0.214 -- 0.844)","0.374 (0.217 -- 0.520)","0.454 (0.000 -- 2.125)","0.135 (0.000 -- 0.808)","0.282 (0.186 -- 0.419)","0.255 (0.238 -- 0.272)","MacroregionAustralia:Alternating",0.316651246285105,0.119101280070026,0.503911865244845,180,0.0111111111111111,"fixed",0.653060287330022,0.516790272470904,0.784658794381511,0.440341356505616,0.273856878566499,0.609867301888963
"4","Alternating","3967.62 (191.19)",0.883,"0.512 (0.214 -- 0.844)","0.374 (0.217 -- 0.520)","0.454 (0.000 -- 2.125)","0.135 (0.000 -- 0.808)","0.282 (0.186 -- 0.419)","0.255 (0.238 -- 0.272)","MacroregionEurope:Alternating",-0.00962500645532916,-0.0758783151104581,0.0533772419439629,180,0.733333333333333,"fixed",0.653060287330022,0.516790272470904,0.784658794381511,0.440341356505616,0.273856878566499,0.609867301888963
"5","GA3","3946.62 (170.19)",0.875,"0.466 (0.227 -- 0.702)","0.319 (0.185 -- 0.458)","0.355 (0.000 -- 1.015)","0.115 (0.000 -- 0.494)","0.364 (0.246 -- 0.477)","0.252 (0.238 -- 0.266)","MacroregionAmerica:GA3",1.8430907004044,-1.80486748475232,7.25806899315648,180,0.344444444444445,"fixed",0.637375113898354,0.486311979594144,0.746398710964828,0.442609337726239,0.313211786103063,0.599743954878676
"6","GA3","3946.62 (170.19)",0.875,"0.466 (0.227 -- 0.702)","0.319 (0.185 -- 0.458)","0.355 (0.000 -- 1.015)","0.115 (0.000 -- 0.494)","0.364 (0.246 -- 0.477)","0.252 (0.238 -- 0.266)","MacroregionAsia:GA3",2.96981759455278,-4.11878828905174,8.78934444220795,383.494996407039,0.155555555555555,"fixed",0.637375113898354,0.486311979594144,0.746398710964828,0.442609337726239,0.313211786103063,0.599743954878676
"7","GA3","3946.62 (170.19)",0.875,"0.466 (0.227 -- 0.702)","0.319 (0.185 -- 0.458)","0.355 (0.000 -- 1.015)","0.115 (0.000 -- 0.494)","0.364 (0.246 -- 0.477)","0.252 (0.238 -- 0.266)","MacroregionAustralia:GA3",-0.0633479721317087,-0.100197752908571,-0.0191016216995195,180,0.00555555555555556,"fixed",0.637375113898354,0.486311979594144,0.746398710964828,0.442609337726239,0.313211786103063,0.599743954878676
"8","GA3","3946.62 (170.19)",0.875,"0.466 (0.227 -- 0.702)","0.319 (0.185 -- 0.458)","0.355 (0.000 -- 1.015)","0.115 (0.000 -- 0.494)","0.364 (0.246 -- 0.477)","0.252 (0.238 -- 0.266)","MacroregionEurope:GA3",-0.0612748693362676,-0.108751662104623,0.0122304071264807,180,0.0888888888888889,"fixed",0.637375113898354,0.486311979594144,0.746398710964828,0.442609337726239,0.313211786103063,0.599743954878676
"9","Light","3969.23 (192.8)",0.869,"0.427 (0.209 -- 0.732)","0.344 (0.205 -- 0.487)","0.248 (0.000 -- 1.272)","0.127 (0.000 -- 0.589)","0.340 (0.218 -- 0.460)","0.254 (0.242 -- 0.269)","MacroregionAmerica:Light",1.12977068835115,-4.69852684851503,8.00510330026736,180,0.566666666666667,"fixed",0.611700111623969,0.470832357753754,0.760890034907125,0.408770883311101,0.254066608979975,0.576717704195263
"10","Light","3969.23 (192.8)",0.869,"0.427 (0.209 -- 0.732)","0.344 (0.205 -- 0.487)","0.248 (0.000 -- 1.272)","0.127 (0.000 -- 0.589)","0.340 (0.218 -- 0.460)","0.254 (0.242 -- 0.269)","MacroregionAsia:Light",0.0017378426834922,-0.0539665224641794,0.0526397630128486,1051.22907168184,0.944444444444444,"fixed",0.611700111623969,0.470832357753754,0.760890034907125,0.408770883311101,0.254066608979975,0.576717704195263
"11","Light","3969.23 (192.8)",0.869,"0.427 (0.209 -- 0.732)","0.344 (0.205 -- 0.487)","0.248 (0.000 -- 1.272)","0.127 (0.000 -- 0.589)","0.340 (0.218 -- 0.460)","0.254 (0.242 -- 0.269)","MacroregionAustralia:Light",4.0614657395813,-1.91697532597721,9.83604956961062,180,0.111111111111111,"fixed",0.611700111623969,0.470832357753754,0.760890034907125,0.408770883311101,0.254066608979975,0.576717704195263
