"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3973.58 (211.48)",0.853,"0.464 (0.238 -- 0.760)","0.335 (0.209 -- 0.439)","0.161 (0.000 -- 0.557)","0.187 (0.000 -- 0.508)","0.328 (0.226 -- 0.420)","0.255 (0.240 -- 0.269)","AlpineGeneralist:Alternating",0.0599515492011171,-0.0501581228745636,0.150498744595097,180,0.255555555555556,"fixed",0.631733274327368,0.491868437472439,0.751223280742018,0.432212659707348,0.279399049081271,0.60867422124722
"2","Alternating","3973.58 (211.48)",0.853,"0.464 (0.238 -- 0.760)","0.335 (0.209 -- 0.439)","0.161 (0.000 -- 0.557)","0.187 (0.000 -- 0.508)","0.328 (0.226 -- 0.420)","0.255 (0.240 -- 0.269)","AlpineStrict:Alternating",-0.0041688635411731,-0.0667245598087902,0.0721146455180133,305.492229940869,0.844444444444444,"fixed",0.631733274327368,0.491868437472439,0.751223280742018,0.432212659707348,0.279399049081271,0.60867422124722
"3","GA3","3946.49 (184.39)",0.86,"0.481 (0.216 -- 0.852)","0.329 (0.199 -- 0.466)","0.144 (0.000 -- 0.604)","0.220 (0.000 -- 0.857)","0.372 (0.257 -- 0.485)","0.252 (0.237 -- 0.266)","AlpineGeneralist:GA3",-0.049436415119102,-0.0820087016909383,-0.01458863778862,291.503310422624,0.0111111111111111,"fixed",0.638510903698211,0.483833652840705,0.788301057722925,0.442017117080068,0.280312853871375,0.629085640590158
"4","GA3","3946.49 (184.39)",0.86,"0.481 (0.216 -- 0.852)","0.329 (0.199 -- 0.466)","0.144 (0.000 -- 0.604)","0.220 (0.000 -- 0.857)","0.372 (0.257 -- 0.485)","0.252 (0.237 -- 0.266)","AlpineStrict:GA3",-0.0822585773879294,-0.135524208701099,-0.0358015087913373,180,0.0111111111111111,"fixed",0.638510903698211,0.483833652840705,0.788301057722925,0.442017117080068,0.280312853871375,0.629085640590158
"5","Light","3969.76 (207.66)",0.847,"0.430 (0.206 -- 0.687)","0.338 (0.196 -- 0.485)","0.126 (0.000 -- 0.459)","0.180 (0.000 -- 0.749)","0.342 (0.232 -- 0.458)","0.255 (0.241 -- 0.273)","AlpineGeneralist:Light",0.00617235620060718,-0.0631882677043905,0.0813624233414885,242.490569747864,0.811111111111111,"fixed",0.615322342356888,0.491340882726706,0.750197984032858,0.414564883295994,0.275022560866717,0.586097233307669
"6","Light","3969.76 (207.66)",0.847,"0.430 (0.206 -- 0.687)","0.338 (0.196 -- 0.485)","0.126 (0.000 -- 0.459)","0.180 (0.000 -- 0.749)","0.342 (0.232 -- 0.458)","0.255 (0.241 -- 0.273)","AlpineStrict:Light",0.00095904981535821,-0.11588512261369,0.129064839369676,180,0.988888888888889,"fixed",0.615322342356888,0.491340882726706,0.750197984032858,0.414564883295994,0.275022560866717,0.586097233307669
"7","Scarification","3967.79 (205.69)",0.85,"0.393 (0.188 -- 0.661)","0.326 (0.195 -- 0.458)","0.149 (0.000 -- 0.606)","0.200 (0.000 -- 0.561)","0.347 (0.211 -- 0.463)","0.255 (0.240 -- 0.268)","AlpineGeneralist:Scarification",-0.165393756860854,-0.240611792505433,-0.0545955393827171,221.051135669087,0.00555555555555556,"fixed",0.591736122579079,0.444295843032264,0.739257745581973,0.396105051932467,0.219550825334949,0.533047667101169
"8","Scarification","3967.79 (205.69)",0.85,"0.393 (0.188 -- 0.661)","0.326 (0.195 -- 0.458)","0.149 (0.000 -- 0.606)","0.200 (0.000 -- 0.561)","0.347 (0.211 -- 0.463)","0.255 (0.240 -- 0.268)","AlpineStrict:Scarification",0.630589306028742,-1.1370446489309,2.84310388231825,180,0.577777777777778,"fixed",0.591736122579079,0.444295843032264,0.739257745581973,0.396105051932467,0.219550825334949,0.533047667101169
"9","Stratification","3962.39 (200.29)",0.848,"0.423 (0.132 -- 0.669)","0.322 (0.205 -- 0.439)","0.154 (0.000 -- 0.600)","0.149 (0.000 -- 0.528)","0.358 (0.244 -- 0.505)","0.253 (0.235 -- 0.267)","AlpineGeneralist:Stratification",-0.112606940452974,-0.181674477602428,-0.00821257194911595,180,0.0111111111111111,"fixed",0.610968985063408,0.448662185948121,0.754230841418488,0.415588500557599,0.257930912338543,0.576218501834776
"10","Stratification","3962.39 (200.29)",0.848,"0.423 (0.132 -- 0.669)","0.322 (0.205 -- 0.439)","0.154 (0.000 -- 0.600)","0.149 (0.000 -- 0.528)","0.358 (0.244 -- 0.505)","0.253 (0.235 -- 0.267)","AlpineStrict:Stratification",-0.0515950899861865,-0.140928286506096,0.0402639694075333,180,0.288888888888889,"fixed",0.610968985063408,0.448662185948121,0.754230841418488,0.415588500557599,0.257930912338543,0.576218501834776
