"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3969.73 (117.59)",0.862,"0.450 (0.197 -- 0.737)","0.361 (0.213 -- 0.505)","0.267 (0.000 -- 0.946)","0.203 (0.000 -- 0.685)","0.298 (0.185 -- 0.420)","0.255 (0.239 -- 0.270)","AlpineGeneralist:Alternating:log(embryo)",-0.136630326412122,-0.246408335362503,-0.023726197599899,9000.00000000003,0.0155555555555556,"fixed",0.623844495105043,0.475303804011731,0.764561857398302,0.414661453068713,0.250086090019997,0.581512237910454
"2","Alternating","3969.73 (117.59)",0.862,"0.450 (0.197 -- 0.737)","0.361 (0.213 -- 0.505)","0.267 (0.000 -- 0.946)","0.203 (0.000 -- 0.685)","0.298 (0.185 -- 0.420)","0.255 (0.239 -- 0.270)","AlpineStrict:Alternating:log(embryo)",-0.0975575285737171,-0.181747859242023,-0.017687444560579,8562.26776452942,0.02,"fixed",0.623844495105043,0.475303804011731,0.764561857398302,0.414661453068713,0.250086090019997,0.581512237910454
"3","GA3","3941 (88.86)",0.863,"0.494 (0.218 -- 0.809)","0.342 (0.208 -- 0.489)","0.171 (0.000 -- 0.623)","0.209 (0.000 -- 0.647)","0.354 (0.240 -- 0.481)","0.252 (0.236 -- 0.267)","AlpineGeneralist:GA3:log(embryo)",0.0204545126164157,-0.00340431535732932,0.0464975235954626,8721.27784208717,0.107555555555556,"fixed",0.648420352215875,0.510384606551968,0.78487972988205,0.445572412275905,0.274310337569743,0.611595064592622
"4","GA3","3941 (88.86)",0.863,"0.494 (0.218 -- 0.809)","0.342 (0.208 -- 0.489)","0.171 (0.000 -- 0.623)","0.209 (0.000 -- 0.647)","0.354 (0.240 -- 0.481)","0.252 (0.236 -- 0.267)","AlpineStrict:GA3:log(embryo)",0.0715169607358267,0.0299428626894951,0.114123412364279,8999.99999999998,0.00044444444444447,"fixed",0.648420352215875,0.510384606551968,0.78487972988205,0.445572412275905,0.274310337569743,0.611595064592622
"5","Light","3969.85 (117.71)",0.853,"0.433 (0.192 -- 0.720)","0.328 (0.194 -- 0.464)","0.168 (0.000 -- 0.615)","0.198 (0.000 -- 0.632)","0.349 (0.232 -- 0.475)","0.255 (0.239 -- 0.270)","AlpineGeneralist:Light:log(embryo)",0.00144723362285739,-0.0421476956980769,0.0438611192948883,8776.29975776969,0.942444444444444,"fixed",0.615056306531811,0.465239322323336,0.755602621604552,0.418343398673739,0.248888122577664,0.579633848763776
"6","Light","3969.85 (117.71)",0.853,"0.433 (0.192 -- 0.720)","0.328 (0.194 -- 0.464)","0.168 (0.000 -- 0.615)","0.198 (0.000 -- 0.632)","0.349 (0.232 -- 0.475)","0.255 (0.239 -- 0.270)","AlpineStrict:Light:log(embryo)",-0.0347457300354179,-0.119611809845082,0.0470787952945102,8999.99999999998,0.425777777777778,"fixed",0.615056306531811,0.465239322323336,0.755602621604552,0.418343398673739,0.248888122577664,0.579633848763776
"7","Scarification","3967.82 (115.68)",0.85,"0.165 (0.024 -- 0.349)","0.380 (0.240 -- 0.530)","0.176 (0.000 -- 0.648)","0.186 (0.000 -- 0.584)","0.335 (0.223 -- 0.459)","0.255 (0.240 -- 0.271)","AlpineGeneralist:Scarification:log(embryo)",3.80616320598733,2.38296213993453,5.20897053297813,8623.19680280817,0.000111111111111111,"fixed",0.367268697587945,0.129047141704187,0.5975152358118,0.199803451748243,0.0440677879479152,0.382897833333179
"8","Scarification","3967.82 (115.68)",0.85,"0.165 (0.024 -- 0.349)","0.380 (0.240 -- 0.530)","0.176 (0.000 -- 0.648)","0.186 (0.000 -- 0.584)","0.335 (0.223 -- 0.459)","0.255 (0.240 -- 0.271)","AlpineStrict:Scarification:log(embryo)",3.57059727135358,1.9885067384821,5.2438038274704,9000,0.000111111111111111,"fixed",0.367268697587945,0.129047141704187,0.5975152358118,0.199803451748243,0.0440677879479152,0.382897833333179
"9","Stratification","3965.75 (113.61)",0.854,"0.444 (0.199 -- 0.734)","0.320 (0.194 -- 0.460)","0.166 (0.000 -- 0.612)","0.197 (0.000 -- 0.653)","0.350 (0.238 -- 0.473)","0.254 (0.239 -- 0.270)","AlpineGeneralist:Stratification:log(embryo)",0.0500366698009186,0.00276234350894811,0.0949945901738829,9000,0.0315555555555556,"fixed",0.621560218869305,0.477810373659164,0.763575857813555,0.427759127649621,0.259362178156573,0.591662686776636
"10","Stratification","3965.75 (113.61)",0.854,"0.444 (0.199 -- 0.734)","0.320 (0.194 -- 0.460)","0.166 (0.000 -- 0.612)","0.197 (0.000 -- 0.653)","0.350 (0.238 -- 0.473)","0.254 (0.239 -- 0.270)","AlpineStrict:Stratification:log(embryo)",0.0542451287494863,-0.0436689907073742,0.148185168509372,8999.99999999999,0.266,"fixed",0.621560218869305,0.477810373659164,0.763575857813555,0.427759127649621,0.259362178156573,0.591662686776636
