"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3972.37 (142.66)",0.862,"0.474 (0.200 -- 0.764)","0.355 (0.214 -- 0.504)","0.228 (0.000 -- 0.811)","0.217 (0.000 -- 0.705)","0.309 (0.192 -- 0.434)","0.255 (0.240 -- 0.271)","AlpineGeneralist:Alternating:log(mass)",-0.0452016184741491,-0.102206041541649,0.0126139412764132,8622.64447373777,0.128666666666667,"fixed",0.635450679284687,0.489521411241345,0.772079314860455,0.428947260105618,0.264644622625126,0.595157102799758
"2","Alternating","3972.37 (142.66)",0.862,"0.474 (0.200 -- 0.764)","0.355 (0.214 -- 0.504)","0.228 (0.000 -- 0.811)","0.217 (0.000 -- 0.705)","0.309 (0.192 -- 0.434)","0.255 (0.240 -- 0.271)","AlpineStrict:Alternating:log(mass)",-0.0203342008346463,-0.0591068870708114,0.0174371407947547,8204.94579114969,0.312444444444444,"fixed",0.635450679284687,0.489521411241345,0.772079314860455,0.428947260105618,0.264644622625126,0.595157102799758
"3","GA3","3959.64 (129.93)",0.855,"0.433 (0.185 -- 0.696)","0.319 (0.184 -- 0.447)","0.169 (0.000 -- 0.601)","0.210 (0.000 -- 0.673)","0.364 (0.247 -- 0.486)","0.254 (0.238 -- 0.270)","AlpineGeneralist:GA3:log(mass)",0.0270922240637794,0.00605636397085618,0.0485237872926518,9000,0.0146666666666666,"fixed",0.616538081688853,0.465702185100835,0.753161022301051,0.422749965883284,0.257242994605189,0.58552755825566
"4","GA3","3959.64 (129.93)",0.855,"0.433 (0.185 -- 0.696)","0.319 (0.184 -- 0.447)","0.169 (0.000 -- 0.601)","0.210 (0.000 -- 0.673)","0.364 (0.247 -- 0.486)","0.254 (0.238 -- 0.270)","AlpineStrict:GA3:log(mass)",0.0287823303812725,-0.0136464235524727,0.0704436124069616,8190.82525987855,0.175777777777778,"fixed",0.616538081688853,0.465702185100835,0.753161022301051,0.422749965883284,0.257242994605189,0.58552755825566
"5","Light","3969.88 (140.17)",0.853,"0.437 (0.190 -- 0.725)","0.328 (0.201 -- 0.471)","0.174 (0.000 -- 0.640)","0.191 (0.000 -- 0.608)","0.350 (0.225 -- 0.464)","0.255 (0.240 -- 0.271)","AlpineGeneralist:Light:log(mass)",-0.00963604316307138,-0.0591808578210475,0.0381560638852534,8999.99999999999,0.694888888888889,"fixed",0.617219063700771,0.46218517414855,0.75670709329441,0.420695883255811,0.255510445540545,0.590948503578895
"6","Light","3969.88 (140.17)",0.853,"0.437 (0.190 -- 0.725)","0.328 (0.201 -- 0.471)","0.174 (0.000 -- 0.640)","0.191 (0.000 -- 0.608)","0.350 (0.225 -- 0.464)","0.255 (0.240 -- 0.271)","AlpineStrict:Light:log(mass)",-0.00540267366798005,-0.133552580704418,0.130756753744208,9000.00000000001,0.928222222222222,"fixed",0.617219063700771,0.46218517414855,0.75670709329441,0.420695883255811,0.255510445540545,0.590948503578895
"7","Scarification","3966.55 (136.84)",0.865,"0.414 (0.181 -- 0.683)","0.322 (0.192 -- 0.457)","0.290 (0.000 -- 0.688)","0.234 (0.000 -- 0.754)","0.341 (0.227 -- 0.463)","0.254 (0.239 -- 0.270)","AlpineGeneralist:Scarification:log(mass)",-0.132748278127653,-0.211715955811087,-0.0495422318817873,9000.00000000001,0.000888888888888889,"fixed",0.60435953262477,0.446381764043846,0.742122528671028,0.409756887581096,0.248832923400834,0.57856259086336
"8","Scarification","3966.55 (136.84)",0.865,"0.414 (0.181 -- 0.683)","0.322 (0.192 -- 0.457)","0.290 (0.000 -- 0.688)","0.234 (0.000 -- 0.754)","0.341 (0.227 -- 0.463)","0.254 (0.239 -- 0.270)","AlpineStrict:Scarification:log(mass)",-0.689731476277235,-1.88035063914958,0.591453269385966,9000,0.277555555555556,"fixed",0.60435953262477,0.446381764043846,0.742122528671028,0.409756887581096,0.248832923400834,0.57856259086336
"9","Stratification","3973.29 (143.58)",0.852,"0.439 (0.195 -- 0.715)","0.321 (0.188 -- 0.454)","0.169 (0.000 -- 0.622)","0.187 (0.000 -- 0.589)","0.348 (0.230 -- 0.464)","0.255 (0.240 -- 0.271)","AlpineGeneralist:Stratification:log(mass)",-0.0233574691695219,-0.131044851054412,0.0710283101652749,8999.99999999997,0.649555555555556,"fixed",0.61855091243725,0.475588534743669,0.759343715668006,0.424532110995577,0.257569852909251,0.584852798451586
"10","Stratification","3973.29 (143.58)",0.852,"0.439 (0.195 -- 0.715)","0.321 (0.188 -- 0.454)","0.169 (0.000 -- 0.622)","0.187 (0.000 -- 0.589)","0.348 (0.230 -- 0.464)","0.255 (0.240 -- 0.271)","AlpineStrict:Stratification:log(mass)",0.0286763507102938,-0.0622826437902404,0.11456643731799,9000.00000000002,0.521555555555556,"fixed",0.61855091243725,0.475588534743669,0.759343715668006,0.424532110995577,0.257569852909251,0.584852798451586
"11","Tmean","3829.71 (0)",0.868,"0.424 (0.188 -- 0.702)","0.342 (0.202 -- 0.480)","0.191 (0.000 -- 0.665)","0.251 (0.000 -- 0.795)","0.342 (0.224 -- 0.466)","0.240 (0.225 -- 0.254)","AlpineGeneralist:Tmean:log(mass)",0.0134989077270317,-0.0268658215209143,0.0541454906706349,9378.16319991592,0.524222222222222,"fixed",0.623226028860387,0.478171697786635,0.77058196856492,0.41352557997115,0.247750129043117,0.58017034604139
"12","Tmean","3829.71 (0)",0.868,"0.424 (0.188 -- 0.702)","0.342 (0.202 -- 0.480)","0.191 (0.000 -- 0.665)","0.251 (0.000 -- 0.795)","0.342 (0.224 -- 0.466)","0.240 (0.225 -- 0.254)","AlpineStrict:Tmean:log(mass)",0.177915605566135,0.147954444248171,0.210089472508116,9992.43362738157,0.000111111111111111,"fixed",0.623226028860387,0.478171697786635,0.77058196856492,0.41352557997115,0.247750129043117,0.58017034604139
