"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3973.96 (212.2)",0.847,"0.424 (0.208 -- 0.707)","0.346 (0.234 -- 0.521)","0.132 (0.000 -- 0.493)","0.180 (0.000 -- 0.560)","0.327 (0.220 -- 0.437)","0.255 (0.239 -- 0.270)","AlpineGeneralist:Alternating",0.0494607305862079,-0.0508923000452342,0.13903230370488,180,0.322222222222222,"fixed",0.608195805871368,0.449933346606152,0.737079897386673,0.404753967092714,0.262731186679145,0.597006975551354
"2","Alternating","3973.96 (212.2)",0.847,"0.424 (0.208 -- 0.707)","0.346 (0.234 -- 0.521)","0.132 (0.000 -- 0.493)","0.180 (0.000 -- 0.560)","0.327 (0.220 -- 0.437)","0.255 (0.239 -- 0.270)","AlpineStrict:Alternating",-0.0060507717628007,-0.0728259190436802,0.0655174251296557,308.478117096045,0.855555555555556,"fixed",0.608195805871368,0.449933346606152,0.737079897386673,0.404753967092714,0.262731186679145,0.597006975551354
"3","embryo","3969.69 (207.93)",0.852,"0.254 (0.103 -- 0.474)","0.348 (0.194 -- 0.486)","0.146 (0.000 -- 0.477)","0.208 (0.000 -- 0.782)","0.353 (0.218 -- 0.453)","0.255 (0.241 -- 0.271)","AlpineGeneralist:embryo",-0.994715987995333,-1.48910340302973,-0.453789509600028,107.363719146955,0.00555555555555556,"fixed",0.478873317216261,0.3042879833108,0.671169749092866,0.289727088925959,0.13193528988444,0.475310241881893
"4","embryo","3969.69 (207.93)",0.852,"0.254 (0.103 -- 0.474)","0.348 (0.194 -- 0.486)","0.146 (0.000 -- 0.477)","0.208 (0.000 -- 0.782)","0.353 (0.218 -- 0.453)","0.255 (0.241 -- 0.271)","AlpineStrict:embryo",-1.08131148774371,-1.52063302648821,-0.543242125197139,180,0.00555555555555556,"fixed",0.478873317216261,0.3042879833108,0.671169749092866,0.289727088925959,0.13193528988444,0.475310241881893
"5","GA3","3945.56 (183.8)",0.854,"0.444 (0.204 -- 0.691)","0.325 (0.203 -- 0.468)","0.190 (0.000 -- 0.688)","0.154 (0.000 -- 0.470)","0.364 (0.249 -- 0.495)","0.253 (0.238 -- 0.268)","AlpineGeneralist:GA3",-0.0469459265397102,-0.0874472404757398,-0.00769941511680372,180,0.00555555555555556,"fixed",0.624576164526469,0.486928142255008,0.750487692885267,0.427543262826635,0.28569994310852,0.588651596985314
"6","GA3","3945.56 (183.8)",0.854,"0.444 (0.204 -- 0.691)","0.325 (0.203 -- 0.468)","0.190 (0.000 -- 0.688)","0.154 (0.000 -- 0.470)","0.364 (0.249 -- 0.495)","0.253 (0.238 -- 0.268)","AlpineStrict:GA3",-0.0844524963954636,-0.130656789027853,-0.0322148235281929,326.219906100475,0.00555555555555556,"fixed",0.624576164526469,0.486928142255008,0.750487692885267,0.427543262826635,0.28569994310852,0.588651596985314
"7","Light","3970.13 (208.37)",0.848,"0.422 (0.191 -- 0.648)","0.329 (0.202 -- 0.472)","0.143 (0.000 -- 0.567)","0.172 (0.000 -- 0.770)","0.356 (0.240 -- 0.493)","0.255 (0.239 -- 0.271)","AlpineGeneralist:Light",0.00533916555655891,-0.0582619986726058,0.0779249399492983,180,0.888888888888889,"fixed",0.611765361410673,0.48102796786343,0.743009771875179,0.413604952132837,0.266671721021605,0.556164164995578
"8","Light","3970.13 (208.37)",0.848,"0.422 (0.191 -- 0.648)","0.329 (0.202 -- 0.472)","0.143 (0.000 -- 0.567)","0.172 (0.000 -- 0.770)","0.356 (0.240 -- 0.493)","0.255 (0.239 -- 0.271)","AlpineStrict:Light",-0.00355027850726578,-0.12956801445398,0.111876559378743,180,0.955555555555555,"fixed",0.611765361410673,0.48102796786343,0.743009771875179,0.413604952132837,0.266671721021605,0.556164164995578
"9","log(mass)","3968.82 (207.06)",0.851,"0.475 (0.175 -- 0.793)","0.311 (0.181 -- 0.444)","0.149 (0.000 -- 0.559)","0.169 (0.000 -- 0.524)","0.341 (0.254 -- 0.482)","0.255 (0.241 -- 0.271)","AlpineGeneralist:log(mass)",0.0746691302675013,-0.0296947517053923,0.179160519270226,180,0.166666666666667,"fixed",0.634016806763353,0.494894248407012,0.794281666324301,0.445858797764364,0.280734111555243,0.627949314195806
"10","log(mass)","3968.82 (207.06)",0.851,"0.475 (0.175 -- 0.793)","0.311 (0.181 -- 0.444)","0.149 (0.000 -- 0.559)","0.169 (0.000 -- 0.524)","0.341 (0.254 -- 0.482)","0.255 (0.241 -- 0.271)","AlpineStrict:log(mass)",0.09687813329877,-0.0748442140757106,0.23704281571554,180,0.211111111111111,"fixed",0.634016806763353,0.494894248407012,0.794281666324301,0.445858797764364,0.280734111555243,0.627949314195806
