"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3383 (62.32)",0.875,"0.016 (0.000 -- 0.046)","0.070 (0.026 -- 0.108)","0.607 (0.000 -- 1.642)","0.309 (0.000 -- 1.293)","0.201 (0.144 -- 0.244)","0.172 (0.162 -- 0.181)","AlpineGeneralist:Alternating",0.00515515203813948,-0.052154467494347,0.0604575373872649,180,0.844444444444445,"fixed",0.0798137253893509,1.8889479164955e-07,0.211349699802025,0.0606767288398425,1.28585166244457e-07,0.17140949633005
"2","Alternating","3383 (62.32)",0.875,"0.016 (0.000 -- 0.046)","0.070 (0.026 -- 0.108)","0.607 (0.000 -- 1.642)","0.309 (0.000 -- 1.293)","0.201 (0.144 -- 0.244)","0.172 (0.162 -- 0.181)","AlpineStrict:Alternating",-0.0334584389902217,-0.0763496192230377,0.00642234699625988,261.021993855312,0.0777777777777778,"fixed",0.0798137253893509,1.8889479164955e-07,0.211349699802025,0.0606767288398425,1.28585166244457e-07,0.17140949633005
"3","embryo","3379.28 (58.6)",0.914,"0.013 (0.000 -- 0.034)","0.073 (0.039 -- 0.113)","0.461 (0.000 -- 1.804)","1.087 (0.001 -- 2.770)","0.200 (0.146 -- 0.242)","0.172 (0.164 -- 0.181)","AlpineGeneralist:embryo",-0.16858783828076,-0.342575983675488,0.0251485493063228,180,0.0888888888888889,"fixed",0.0656878236893519,2.6035416925984e-07,0.161230735112585,0.0489032117973945,1.95545120278685e-07,0.124335269085497
"4","embryo","3379.28 (58.6)",0.914,"0.013 (0.000 -- 0.034)","0.073 (0.039 -- 0.113)","0.461 (0.000 -- 1.804)","1.087 (0.001 -- 2.770)","0.200 (0.146 -- 0.242)","0.172 (0.164 -- 0.181)","AlpineStrict:embryo",-0.0916899520214156,-0.286327842841274,0.0979630045039812,263.201089811605,0.355555555555556,"fixed",0.0656878236893519,2.6035416925984e-07,0.161230735112585,0.0489032117973945,1.95545120278685e-07,0.124335269085497
"5","GA3","3381.48 (60.8)",0.854,"0.021 (0.000 -- 0.055)","0.069 (0.023 -- 0.108)","0.495 (0.000 -- 1.456)","0.217 (0.000 -- 1.049)","0.202 (0.158 -- 0.255)","0.172 (0.164 -- 0.183)","AlpineGeneralist:GA3",-0.0196580287754197,-0.0532437712972751,0.00863285405648639,180,0.288888888888889,"fixed",0.104639188346219,1.73362693919558e-07,0.243659918100031,0.0806155333778314,1.11217991603714e-07,0.196645371644502
"6","GA3","3381.48 (60.8)",0.854,"0.021 (0.000 -- 0.055)","0.069 (0.023 -- 0.108)","0.495 (0.000 -- 1.456)","0.217 (0.000 -- 1.049)","0.202 (0.158 -- 0.255)","0.172 (0.164 -- 0.183)","AlpineStrict:GA3",-0.033900858991995,-0.0670786810078425,0.0120066796807805,533.960225617646,0.111111111111111,"fixed",0.104639188346219,1.73362693919558e-07,0.243659918100031,0.0806155333778314,1.11217991603714e-07,0.196645371644502
"7","Light","3378.83 (58.15)",0.899,"0.020 (0.000 -- 0.049)","0.071 (0.038 -- 0.117)","0.992 (0.020 -- 3.526)","0.237 (0.000 -- 0.893)","0.200 (0.151 -- 0.244)","0.172 (0.161 -- 0.180)","AlpineGeneralist:Light",0.0554763001889973,0.020805406224099,0.10231233824743,180,0.00555555555555556,"fixed",0.0959340493807588,1.01755314001418e-05,0.224503489738553,0.0729293037667442,7.63445359880218e-06,0.185811847708916
"8","Light","3378.83 (58.15)",0.899,"0.020 (0.000 -- 0.049)","0.071 (0.038 -- 0.117)","0.992 (0.020 -- 3.526)","0.237 (0.000 -- 0.893)","0.200 (0.151 -- 0.244)","0.172 (0.161 -- 0.180)","AlpineStrict:Light",-0.00456253036926739,-0.0949601700413041,0.0577625627338421,204.672992237226,0.911111111111111,"fixed",0.0959340493807588,1.01755314001418e-05,0.224503489738553,0.0729293037667442,7.63445359880218e-06,0.185811847708916
"9","log(mass)","3379.99 (59.31)",0.862,"0.013 (0.000 -- 0.038)","0.076 (0.039 -- 0.119)","0.479 (0.000 -- 1.196)","0.303 (0.000 -- 1.169)","0.199 (0.160 -- 0.254)","0.172 (0.161 -- 0.181)","AlpineGeneralist:log(mass)",0.0454487413002318,-0.000456856811069883,0.0997316652501468,180,0.0666666666666667,"fixed",0.0681468274194239,1.4753278355986e-07,0.180906138787002,0.0506333747339303,9.99821675397302e-08,0.137343280640378
"10","log(mass)","3379.99 (59.31)",0.862,"0.013 (0.000 -- 0.038)","0.076 (0.039 -- 0.119)","0.479 (0.000 -- 1.196)","0.303 (0.000 -- 1.169)","0.199 (0.160 -- 0.254)","0.172 (0.161 -- 0.181)","AlpineStrict:log(mass)",-0.006247340945285,-0.0577153824997367,0.0607236347277649,180,0.844444444444444,"fixed",0.0681468274194239,1.4753278355986e-07,0.180906138787002,0.0506333747339303,9.99821675397302e-08,0.137343280640378
"11","Scarification","3380.7 (60.02)",0.856,"0.016 (0.000 -- 0.045)","0.072 (0.028 -- 0.113)","0.587 (0.000 -- 1.677)","0.154 (0.000 -- 0.639)","0.201 (0.150 -- 0.242)","0.173 (0.163 -- 0.183)","AlpineGeneralist:Scarification",-0.0295724161641791,-0.090335292959935,0.0180252940917853,180,0.3,"fixed",0.0773780145335845,4.10552312923063e-08,0.20840883571429,0.0588818601395985,2.87443640783233e-08,0.171400154687003
"12","Scarification","3380.7 (60.02)",0.856,"0.016 (0.000 -- 0.045)","0.072 (0.028 -- 0.113)","0.587 (0.000 -- 1.677)","0.154 (0.000 -- 0.639)","0.201 (0.150 -- 0.242)","0.173 (0.163 -- 0.183)","AlpineStrict:Scarification",-0.0240993225664005,-0.11450842578779,0.0590781339269597,261.480426785013,0.588888888888889,"fixed",0.0773780145335845,4.10552312923063e-08,0.20840883571429,0.0588818601395985,2.87443640783233e-08,0.171400154687003
"13","Stratification","3320.68 (0)",0.893,"0.024 (0.000 -- 0.063)","0.075 (0.039 -- 0.119)","0.242 (0.000 -- 0.860)","0.843 (0.000 -- 2.094)","0.203 (0.166 -- 0.251)","0.168 (0.158 -- 0.178)","AlpineGeneralist:Stratification",-0.153076228316611,-0.203661732404726,-0.0902392905554734,180,0.00555555555555556,"fixed",0.117626456629276,1.51869786279096e-05,0.272457522261174,0.0883088621701832,9.95349530804159e-06,0.210050089683361
"14","Stratification","3320.68 (0)",0.893,"0.024 (0.000 -- 0.063)","0.075 (0.039 -- 0.119)","0.242 (0.000 -- 0.860)","0.843 (0.000 -- 2.094)","0.203 (0.166 -- 0.251)","0.168 (0.158 -- 0.178)","AlpineStrict:Stratification",-0.12072881898716,-0.161170176404994,-0.0733843212146894,180,0.00555555555555556,"fixed",0.117626456629276,1.51869786279096e-05,0.272457522261174,0.0883088621701832,9.95349530804159e-06,0.210050089683361
"15","Tmean","3365.87 (45.19)",0.855,"0.017 (0.000 -- 0.045)","0.078 (0.042 -- 0.120)","0.560 (0.000 -- 1.829)","0.155 (0.000 -- 0.814)","0.197 (0.145 -- 0.242)","0.171 (0.161 -- 0.181)","AlpineGeneralist:Tmean",-0.0570556608837011,-0.0904603553644847,-0.0288414472670411,180,0.00555555555555556,"fixed",0.0841031972344733,4.42496057568034e-06,0.209218047987357,0.061537613174121,2.76333184863844e-06,0.168180229657149
