"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257282.37 (55.72)",0.722,"1.752 (1.193 -- 2.538)","3.644 (3.028 -- 4.445)","1.028 (0.683 -- 1.600)","1.077 (0.771 -- 1.368)","3.320 (2.744 -- 4.053)","4.204 (4.036 -- 4.407)","AlpineGeneralist:Alternating",0.361108313010726,0.288926465225813,0.45166697431705,38,0.0263157894736842,"fixed",0.291543855032334,0.217215789327153,0.381883310736563,0.182274411439081,0.125126970005343,0.261639257615023
"2","Alternating","257282.37 (55.72)",0.722,"1.752 (1.193 -- 2.538)","3.644 (3.028 -- 4.445)","1.028 (0.683 -- 1.600)","1.077 (0.771 -- 1.368)","3.320 (2.744 -- 4.053)","4.204 (4.036 -- 4.407)","AlpineStrict:Alternating",0.300841289539215,0.154068573920995,0.420176001265645,38,0.0263157894736842,"fixed",0.291543855032334,0.217215789327153,0.381883310736563,0.182274411439081,0.125126970005343,0.261639257615023
"3","GA3","257252.64 (25.99)",0.731,"1.903 (1.030 -- 2.679)","3.777 (2.972 -- 4.522)","1.002 (0.726 -- 1.268)","1.080 (0.653 -- 1.435)","3.238 (2.712 -- 3.843)","4.167 (3.996 -- 4.414)","AlpineGeneralist:GA3",0.543894661659878,0.447281835124159,0.660283935496409,38,0.0263157894736842,"fixed",0.309806407504336,0.211740431601758,0.413710384622089,0.192213615287031,0.120117815299593,0.275555516343725
"4","GA3","257252.64 (25.99)",0.731,"1.903 (1.030 -- 2.679)","3.777 (2.972 -- 4.522)","1.002 (0.726 -- 1.268)","1.080 (0.653 -- 1.435)","3.238 (2.712 -- 3.843)","4.167 (3.996 -- 4.414)","AlpineStrict:GA3",0.545535678293839,0.426304289940163,0.621572998166812,282.186440531459,0.0263157894736842,"fixed",0.309806407504336,0.211740431601758,0.413710384622089,0.192213615287031,0.120117815299593,0.275555516343725
"5","Light","257268.99 (42.34)",0.717,"1.777 (1.235 -- 2.584)","3.521 (2.538 -- 4.234)","1.011 (0.763 -- 1.404)","1.027 (0.752 -- 1.427)","3.255 (2.706 -- 4.035)","4.249 (4.052 -- 4.456)","AlpineGeneralist:Light",0.433827373291968,0.318540028915777,0.524283053411637,38,0.0263157894736842,"fixed",0.292256093495292,0.229991862768856,0.38448768389591,0.185782542397595,0.13471389923894,0.270592728826982
"6","Light","257268.99 (42.34)",0.717,"1.777 (1.235 -- 2.584)","3.521 (2.538 -- 4.234)","1.011 (0.763 -- 1.404)","1.027 (0.752 -- 1.427)","3.255 (2.706 -- 4.035)","4.249 (4.052 -- 4.456)","AlpineStrict:Light",0.448373049397002,0.340307551137812,0.541239421800128,38,0.0263157894736842,"fixed",0.292256093495292,0.229991862768856,0.38448768389591,0.185782542397595,0.13471389923894,0.270592728826982
"7","Scarification","257232.92 (6.27)",0.719,"1.839 (1.324 -- 2.509)","3.568 (3.063 -- 4.149)","1.002 (0.745 -- 1.368)","1.041 (0.657 -- 1.393)","3.357 (2.718 -- 4.041)","4.281 (4.060 -- 4.485)","AlpineGeneralist:Scarification",0.329937468728662,0.234926070555957,0.446635085070739,38,0.0263157894736842,"fixed",0.298021482728134,0.235684355206326,0.366085181057576,0.189069143400217,0.123244206670066,0.23722190745772
"8","Scarification","257232.92 (6.27)",0.719,"1.839 (1.324 -- 2.509)","3.568 (3.063 -- 4.149)","1.002 (0.745 -- 1.368)","1.041 (0.657 -- 1.393)","3.357 (2.718 -- 4.041)","4.281 (4.060 -- 4.485)","AlpineStrict:Scarification",0.469515846136825,0.323341266543139,0.668890879635001,38,0.0263157894736842,"fixed",0.298021482728134,0.235684355206326,0.366085181057576,0.189069143400217,0.123244206670066,0.23722190745772
"9","Stratification","257226.65 (0)",0.745,"1.825 (1.281 -- 2.469)","3.777 (3.100 -- 4.961)","1.074 (0.758 -- 1.486)","1.101 (0.796 -- 1.511)","3.590 (2.937 -- 4.282)","4.053 (3.879 -- 4.209)","AlpineGeneralist:Stratification",0.593398587221456,0.496927285857964,0.689328870386817,46.2688549210812,0.0263157894736842,"fixed",0.308538027147342,0.236734232498861,0.380646624683923,0.188846478013979,0.135481552391546,0.269333062377883
"10","Stratification","257226.65 (0)",0.745,"1.825 (1.281 -- 2.469)","3.777 (3.100 -- 4.961)","1.074 (0.758 -- 1.486)","1.101 (0.796 -- 1.511)","3.590 (2.937 -- 4.282)","4.053 (3.879 -- 4.209)","AlpineStrict:Stratification",0.785533623889454,0.690836188558023,0.911609912320273,91.0696059529503,0.0263157894736842,"fixed",0.308538027147342,0.236734232498861,0.380646624683923,0.188846478013979,0.135481552391546,0.269333062377883
