"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","137315.89 (72.88)",0.74,"3.041 (1.111 -- 5.455)","2.754 (1.771 -- 3.734)","3.020 (0.000 -- 8.882)","2.109 (0.000 -- 5.218)","3.149 (2.290 -- 4.080)","4.995 (4.635 -- 5.345)","DormancyMD:Alternating",0.433343426308483,-1.06359978884575,1.92476431537898,8779.91150623709,0.575333333333333,"fixed",0.366006465771707,0.198951661775579,0.532817416015305,0.275151490324804,0.125347693754731,0.432711938432871
"2","Alternating","137315.89 (72.88)",0.74,"3.041 (1.111 -- 5.455)","2.754 (1.771 -- 3.734)","3.020 (0.000 -- 8.882)","2.109 (0.000 -- 5.218)","3.149 (2.290 -- 4.080)","4.995 (4.635 -- 5.345)","DormancyMPD:Alternating",0.356852528564054,0.0438514153065626,0.652528611986781,8616.51039493892,0.0213333333333334,"fixed",0.366006465771707,0.198951661775579,0.532817416015305,0.275151490324804,0.125347693754731,0.432711938432871
"3","Alternating","137315.89 (72.88)",0.74,"3.041 (1.111 -- 5.455)","2.754 (1.771 -- 3.734)","3.020 (0.000 -- 8.882)","2.109 (0.000 -- 5.218)","3.149 (2.290 -- 4.080)","4.995 (4.635 -- 5.345)","DormancyND:Alternating",0.911199845896017,0.300330298603512,1.54397161373618,8999.99999999999,0.00355555555555553,"fixed",0.366006465771707,0.198951661775579,0.532817416015305,0.275151490324804,0.125347693754731,0.432711938432871
"4","Alternating","137315.89 (72.88)",0.74,"3.041 (1.111 -- 5.455)","2.754 (1.771 -- 3.734)","3.020 (0.000 -- 8.882)","2.109 (0.000 -- 5.218)","3.149 (2.290 -- 4.080)","4.995 (4.635 -- 5.345)","DormancyPD:Alternating",0.469836363068062,0.304136288556037,0.638854479773727,8999.99999999998,0.000111111111111111,"fixed",0.366006465771707,0.198951661775579,0.532817416015305,0.275151490324804,0.125347693754731,0.432711938432871
"5","Alternating","137315.89 (72.88)",0.74,"3.041 (1.111 -- 5.455)","2.754 (1.771 -- 3.734)","3.020 (0.000 -- 8.882)","2.109 (0.000 -- 5.218)","3.149 (2.290 -- 4.080)","4.995 (4.635 -- 5.345)","DormancyPY:Alternating",-0.0645615712838989,-0.720210069557652,0.5641789452784,9000,0.838,"fixed",0.366006465771707,0.198951661775579,0.532817416015305,0.275151490324804,0.125347693754731,0.432711938432871
"6","GA3","137312.14 (69.13)",0.733,"2.988 (1.071 -- 5.258)","2.869 (1.913 -- 3.895)","1.838 (0.000 -- 6.515)","2.677 (0.276 -- 6.074)","2.900 (2.044 -- 3.793)","4.957 (4.592 -- 5.289)","DormancyMD:GA3",-11.1098009023671,-22.3721358497569,1.74950713673024,8999.99999999997,0.0715555555555556,"fixed",0.364368113611655,0.20476071205984,0.531010447921731,0.270237131831946,0.127033950653776,0.423495823457839
"7","GA3","137312.14 (69.13)",0.733,"2.988 (1.071 -- 5.258)","2.869 (1.913 -- 3.895)","1.838 (0.000 -- 6.515)","2.677 (0.276 -- 6.074)","2.900 (2.044 -- 3.793)","4.957 (4.592 -- 5.289)","DormancyMPD:GA3",0.807874385686534,0.557444007252343,1.04296728096961,8619.17334887149,0.000111111111111111,"fixed",0.364368113611655,0.20476071205984,0.531010447921731,0.270237131831946,0.127033950653776,0.423495823457839
"8","GA3","137312.14 (69.13)",0.733,"2.988 (1.071 -- 5.258)","2.869 (1.913 -- 3.895)","1.838 (0.000 -- 6.515)","2.677 (0.276 -- 6.074)","2.900 (2.044 -- 3.793)","4.957 (4.592 -- 5.289)","DormancyND:GA3",0.364396070986113,-0.503989725228166,1.27433970876154,9271.65928129377,0.432888888888889,"fixed",0.364368113611655,0.20476071205984,0.531010447921731,0.270237131831946,0.127033950653776,0.423495823457839
"9","GA3","137312.14 (69.13)",0.733,"2.988 (1.071 -- 5.258)","2.869 (1.913 -- 3.895)","1.838 (0.000 -- 6.515)","2.677 (0.276 -- 6.074)","2.900 (2.044 -- 3.793)","4.957 (4.592 -- 5.289)","DormancyPD:GA3",0.517233299625134,0.349762637888489,0.699235211250198,8999.99999999998,0.000111111111111111,"fixed",0.364368113611655,0.20476071205984,0.531010447921731,0.270237131831946,0.127033950653776,0.423495823457839
"10","GA3","137312.14 (69.13)",0.733,"2.988 (1.071 -- 5.258)","2.869 (1.913 -- 3.895)","1.838 (0.000 -- 6.515)","2.677 (0.276 -- 6.074)","2.900 (2.044 -- 3.793)","4.957 (4.592 -- 5.289)","DormancyPY:GA3",0.40280191041759,-0.358164371995372,1.20405289399787,8663.16234315012,0.307777777777778,"fixed",0.364368113611655,0.20476071205984,0.531010447921731,0.270237131831946,0.127033950653776,0.423495823457839
"11","Light","137319.44 (76.43)",0.727,"2.881 (1.016 -- 5.113)","2.671 (1.711 -- 3.640)","1.776 (0.000 -- 6.096)","2.009 (0.000 -- 4.781)","3.307 (2.361 -- 4.249)","4.905 (4.557 -- 5.261)","DormancyMD:Light",-0.490474816465493,-1.56644320195483,0.529168754525017,9593.82451013769,0.358888888888889,"fixed",0.358005587715261,0.195838598380617,0.530366456414426,0.269133801167984,0.120916586562911,0.425605973696485
"12","Light","137319.44 (76.43)",0.727,"2.881 (1.016 -- 5.113)","2.671 (1.711 -- 3.640)","1.776 (0.000 -- 6.096)","2.009 (0.000 -- 4.781)","3.307 (2.361 -- 4.249)","4.905 (4.557 -- 5.261)","DormancyMPD:Light",0.734878198547702,0.440416445766459,1.03076678555226,8404.34590455675,0.000111111111111111,"fixed",0.358005587715261,0.195838598380617,0.530366456414426,0.269133801167984,0.120916586562911,0.425605973696485
"13","Light","137319.44 (76.43)",0.727,"2.881 (1.016 -- 5.113)","2.671 (1.711 -- 3.640)","1.776 (0.000 -- 6.096)","2.009 (0.000 -- 4.781)","3.307 (2.361 -- 4.249)","4.905 (4.557 -- 5.261)","DormancyND:Light",0.744796115583927,0.260493914451217,1.24587591630552,8999.99999999999,0.00311111111111106,"fixed",0.358005587715261,0.195838598380617,0.530366456414426,0.269133801167984,0.120916586562911,0.425605973696485
"14","Light","137319.44 (76.43)",0.727,"2.881 (1.016 -- 5.113)","2.671 (1.711 -- 3.640)","1.776 (0.000 -- 6.096)","2.009 (0.000 -- 4.781)","3.307 (2.361 -- 4.249)","4.905 (4.557 -- 5.261)","DormancyPD:Light",0.488345411946849,0.361051939835306,0.63124213093397,9404.8353000944,0.000111111111111111,"fixed",0.358005587715261,0.195838598380617,0.530366456414426,0.269133801167984,0.120916586562911,0.425605973696485
"15","Light","137319.44 (76.43)",0.727,"2.881 (1.016 -- 5.113)","2.671 (1.711 -- 3.640)","1.776 (0.000 -- 6.096)","2.009 (0.000 -- 4.781)","3.307 (2.361 -- 4.249)","4.905 (4.557 -- 5.261)","DormancyPY:Light",0.47274787106833,-0.0121484092669562,0.935543494352714,9000.00000000001,0.052888888888889,"fixed",0.358005587715261,0.195838598380617,0.530366456414426,0.269133801167984,0.120916586562911,0.425605973696485
