"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2CH:Alternating",0.375684572954085,0.239270933670923,0.511369603307685,8999.99999999997,0.000111111111111111,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"2","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2G:Alternating",0.174631537925646,-0.21926730829091,0.540453039386193,8999.99999999999,0.367111111111111,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"3","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2G, H:Alternating",0.100233065385143,-2.04249308911494,2.13910997622588,8647.2129325037,0.916222222222222,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"4","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2H:Alternating",0.341415178424745,0.246405591860821,0.431777059933665,8665.49740656977,0.000111111111111111,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"5","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2NP:Alternating",-0.191676432619644,-1.12433520589548,0.679937914315815,8172.70671230105,0.686444444444444,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"6","Alternating","257246.21 (69.52)",0.793,"4.463 (2.272 -- 7.212)","3.705 (2.833 -- 4.680)","2.277 (0.000 -- 5.924)","1.853 (0.383 -- 3.972)","3.910 (3.173 -- 4.714)","4.256 (4.064 -- 4.441)","Lifeform2T:Alternating",0.165398132800155,-0.16579058633215,0.514516513449053,8999.99999999995,0.338222222222222,"fixed",0.50126364047695,0.364425807435918,0.643846412767425,0.353353816365335,0.216984185289467,0.496614717925887
"7","GA3","257223.02 (46.33)",0.783,"4.712 (2.306 -- 7.599)","3.827 (2.890 -- 4.789)","0.576 (0.000 -- 2.042)","1.740 (0.450 -- 3.557)","3.757 (3.023 -- 4.542)","4.138 (3.961 -- 4.329)","Lifeform2CH:GA3",0.813270535895926,0.656004170843516,0.985488609076128,9000.00000000001,0.000111111111111111,"fixed",0.520984548810691,0.379128710662716,0.660628624803591,0.365191148734686,0.224572290031631,0.513573246833895
"8","GA3","257223.02 (46.33)",0.783,"4.712 (2.306 -- 7.599)","3.827 (2.890 -- 4.789)","0.576 (0.000 -- 2.042)","1.740 (0.450 -- 3.557)","3.757 (3.023 -- 4.542)","4.138 (3.961 -- 4.329)","Lifeform2G:GA3",0.749714233458859,0.285489085590598,1.255571675385,8606.5825526488,0.00244444444444447,"fixed",0.520984548810691,0.379128710662716,0.660628624803591,0.365191148734686,0.224572290031631,0.513573246833895
"9","GA3","257223.02 (46.33)",0.783,"4.712 (2.306 -- 7.599)","3.827 (2.890 -- 4.789)","0.576 (0.000 -- 2.042)","1.740 (0.450 -- 3.557)","3.757 (3.023 -- 4.542)","4.138 (3.961 -- 4.329)","Lifeform2G, H:GA3",-9.71136494322749,-28.4574816335517,9.24642944524021,8999.99999999997,0.316444444444444,"fixed",0.520984548810691,0.379128710662716,0.660628624803591,0.365191148734686,0.224572290031631,0.513573246833895
"10","GA3","257223.02 (46.33)",0.783,"4.712 (2.306 -- 7.599)","3.827 (2.890 -- 4.789)","0.576 (0.000 -- 2.042)","1.740 (0.450 -- 3.557)","3.757 (3.023 -- 4.542)","4.138 (3.961 -- 4.329)","Lifeform2H:GA3",0.47832524709764,0.401393112522783,0.555952837050427,8999.99999999999,0.000111111111111111,"fixed",0.520984548810691,0.379128710662716,0.660628624803591,0.365191148734686,0.224572290031631,0.513573246833895
