"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanannual:Alternating",0.442445562368856,-0.0149757662438788,0.882985519914655,8999.99999999999,0.0535555555555556,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"2","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanannual, biennial:Alternating",0.0272308670827157,-0.656988167451345,0.728509542735992,9000.00000000003,0.942444444444444,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"3","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanannual, perennial:Alternating",-0.533455627878115,-0.896695897885365,-0.180778789850592,9000.00000000002,0.00288888888888889,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"4","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanbiennial:Alternating",0.674606453558736,-0.643906283934029,1.89701607662573,8999.99999999996,0.304666666666667,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"5","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanbiennial, perennial:Alternating",0.271101983096096,-2.56681521293649,3.04423676127044,8999.99999999999,0.858444444444444,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"6","Alternating","257251.74 (55.19)",0.793,"4.500 (2.200 -- 7.178)","3.649 (2.747 -- 4.550)","2.073 (0.000 -- 5.512)","1.949 (0.370 -- 4.089)","3.952 (3.190 -- 4.737)","4.236 (4.043 -- 4.428)","Lifespanperennial:Alternating",0.374323451074107,0.29593490800471,0.452922676035087,8573.74582708203,0.000111111111111111,"fixed",0.504344606099098,0.360879107094616,0.644695995533941,0.357252481072421,0.213507780308912,0.497191112181253
"7","GA3","257225.81 (29.26)",0.785,"4.608 (2.069 -- 7.247)","3.821 (2.875 -- 4.748)","0.664 (0.000 -- 2.294)","1.895 (0.471 -- 3.803)","3.776 (3.033 -- 4.569)","4.136 (3.953 -- 4.322)","Lifespanannual:GA3",-1.33356111052759,-3.81148122878221,0.846467664086958,6589.75246016617,0.254888888888889,"fixed",0.516016808839662,0.376519667392278,0.659403724014045,0.360586803556155,0.214063278550657,0.501288485878379
"8","GA3","257225.81 (29.26)",0.785,"4.608 (2.069 -- 7.247)","3.821 (2.875 -- 4.748)","0.664 (0.000 -- 2.294)","1.895 (0.471 -- 3.803)","3.776 (3.033 -- 4.569)","4.136 (3.953 -- 4.322)","Lifespanannual, biennial:GA3",0.826791577876209,0.313253108572098,1.31329898563854,8999.99999999998,0.00155555555555553,"fixed",0.516016808839662,0.376519667392278,0.659403724014045,0.360586803556155,0.214063278550657,0.501288485878379
"9","GA3","257225.81 (29.26)",0.785,"4.608 (2.069 -- 7.247)","3.821 (2.875 -- 4.748)","0.664 (0.000 -- 2.294)","1.895 (0.471 -- 3.803)","3.776 (3.033 -- 4.569)","4.136 (3.953 -- 4.322)","Lifespanannual, perennial:GA3",-0.129331782822328,-0.488914045323327,0.254403487619129,9000.00000000001,0.495555555555556,"fixed",0.516016808839662,0.376519667392278,0.659403724014045,0.360586803556155,0.214063278550657,0.501288485878379
"10","GA3","257225.81 (29.26)",0.785,"4.608 (2.069 -- 7.247)","3.821 (2.875 -- 4.748)","0.664 (0.000 -- 2.294)","1.895 (0.471 -- 3.803)","3.776 (3.033 -- 4.569)","4.136 (3.953 -- 4.322)","Lifespanbiennial:GA3",0.945246903740049,-0.45292324818729,2.4206148138328,9000.00000000002,0.193333333333333,"fixed",0.516016808839662,0.376519667392278,0.659403724014045,0.360586803556155,0.214063278550657,0.501288485878379
