"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257277.72 (32.87)",0.723,"1.777 (0.995 -- 2.418)","3.651 (2.837 -- 4.311)","1.073 (0.678 -- 1.431)","1.073 (0.709 -- 1.510)","3.395 (2.736 -- 4.190)","4.235 (4.055 -- 4.461)","Plantcategory2Grass:Alternating",0.129619118105706,-0.0531451530696359,0.328309226955753,180,0.177777777777778,"fixed",0.293045419872673,0.187775380966652,0.362065190155512,0.183292141166314,0.107851203583844,0.235062177760376
"2","Alternating","257277.72 (32.87)",0.723,"1.777 (0.995 -- 2.418)","3.651 (2.837 -- 4.311)","1.073 (0.678 -- 1.431)","1.073 (0.709 -- 1.510)","3.395 (2.736 -- 4.190)","4.235 (4.055 -- 4.461)","Plantcategory2Herb:Alternating",0.364352609991882,0.29194839973934,0.453630439689732,180,0.00555555555555556,"fixed",0.293045419872673,0.187775380966652,0.362065190155512,0.183292141166314,0.107851203583844,0.235062177760376
"3","Alternating","257277.72 (32.87)",0.723,"1.777 (0.995 -- 2.418)","3.651 (2.837 -- 4.311)","1.073 (0.678 -- 1.431)","1.073 (0.709 -- 1.510)","3.395 (2.736 -- 4.190)","4.235 (4.055 -- 4.461)","Plantcategory2Woody:Alternating",0.212901147383718,-0.495846777514089,0.851960641448386,378.783015072228,0.5,"fixed",0.293045419872673,0.187775380966652,0.362065190155512,0.183292141166314,0.107851203583844,0.235062177760376
"4","GA3","257245.14 (0.29)",0.732,"1.913 (1.218 -- 2.675)","3.675 (2.804 -- 4.299)","1.002 (0.683 -- 1.443)","1.063 (0.722 -- 1.483)","3.304 (2.660 -- 3.994)","4.135 (3.942 -- 4.314)","Plantcategory2Grass:GA3",0.177059056134566,0.0457088442212807,0.387780909018602,180,0.0555555555555556,"fixed",0.312966639652576,0.234193685925282,0.398199897423891,0.195893160698765,0.135797490123192,0.263684373511657
"5","GA3","257245.14 (0.29)",0.732,"1.913 (1.218 -- 2.675)","3.675 (2.804 -- 4.299)","1.002 (0.683 -- 1.443)","1.063 (0.722 -- 1.483)","3.304 (2.660 -- 3.994)","4.135 (3.942 -- 4.314)","Plantcategory2Herb:GA3",0.617107650849769,0.552113976958935,0.696566128957784,180,0.00555555555555556,"fixed",0.312966639652576,0.234193685925282,0.398199897423891,0.195893160698765,0.135797490123192,0.263684373511657
"6","GA3","257245.14 (0.29)",0.732,"1.913 (1.218 -- 2.675)","3.675 (2.804 -- 4.299)","1.002 (0.683 -- 1.443)","1.063 (0.722 -- 1.483)","3.304 (2.660 -- 3.994)","4.135 (3.942 -- 4.314)","Plantcategory2Woody:GA3",0.619214748999292,0.383471098801238,0.831217288206972,280.370788101929,0.00555555555555556,"fixed",0.312966639652576,0.234193685925282,0.398199897423891,0.195893160698765,0.135797490123192,0.263684373511657
"7","Light","257273.75 (28.9)",0.722,"1.817 (1.097 -- 2.559)","3.568 (3.017 -- 4.292)","1.011 (0.683 -- 1.397)","1.071 (0.681 -- 1.460)","3.261 (2.555 -- 3.875)","4.215 (4.037 -- 4.376)","Plantcategory2Grass:Light",0.251676709507324,0.106848200310196,0.380365700941184,180,0.00555555555555556,"fixed",0.29836644139087,0.219515840893976,0.387117564638085,0.188413948212449,0.122715739624807,0.253021546056418
"8","Light","257273.75 (28.9)",0.722,"1.817 (1.097 -- 2.559)","3.568 (3.017 -- 4.292)","1.011 (0.683 -- 1.397)","1.071 (0.681 -- 1.460)","3.261 (2.555 -- 3.875)","4.215 (4.037 -- 4.376)","Plantcategory2Herb:Light",0.486707579919165,0.396186518883042,0.587780384128564,180,0.00555555555555556,"fixed",0.29836644139087,0.219515840893976,0.387117564638085,0.188413948212449,0.122715739624807,0.253021546056418
"9","Light","257273.75 (28.9)",0.722,"1.817 (1.097 -- 2.559)","3.568 (3.017 -- 4.292)","1.011 (0.683 -- 1.397)","1.071 (0.681 -- 1.460)","3.261 (2.555 -- 3.875)","4.215 (4.037 -- 4.376)","Plantcategory2Woody:Light",0.402171044505903,-0.320209746125329,1.0947601309108,180,0.311111111111111,"fixed",0.29836644139087,0.219515840893976,0.387117564638085,0.188413948212449,0.122715739624807,0.253021546056418
"10","Scarification","257268.51 (23.66)",0.72,"1.815 (1.017 -- 2.784)","3.562 (2.817 -- 4.373)","1.003 (0.693 -- 1.321)","1.013 (0.699 -- 1.417)","3.358 (2.675 -- 4.089)","4.267 (4.091 -- 4.476)","Plantcategory2Grass:Scarification",0.256259521382296,0.106228471442591,0.460890621325234,180,0.00555555555555556,"fixed",0.294376106197501,0.208604598407838,0.411665601586251,0.187143432068832,0.122038727055388,0.27620028722978
