"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257249.85 (61.17)",0.795,"4.638 (2.133 -- 7.338)","3.615 (2.683 -- 4.497)","1.801 (0.000 -- 5.083)","1.940 (0.347 -- 3.973)","3.955 (3.208 -- 4.752)","4.242 (4.052 -- 4.434)","MacroregionAmerica:Alternating",-3.65909497346781,-9.4375949583482,2.52009739245113,8610.02605684729,0.208444444444444,"fixed",0.511225883353653,0.362083356234532,0.645748851241792,0.364812071865381,0.222928076125196,0.508511352183484
"2","Alternating","257249.85 (61.17)",0.795,"4.638 (2.133 -- 7.338)","3.615 (2.683 -- 4.497)","1.801 (0.000 -- 5.083)","1.940 (0.347 -- 3.973)","3.955 (3.208 -- 4.752)","4.242 (4.052 -- 4.434)","MacroregionAsia:Alternating",0.174199059969046,-0.00799181198817678,0.341568596631987,9000.00000000003,0.0533333333333332,"fixed",0.511225883353653,0.362083356234532,0.645748851241792,0.364812071865381,0.222928076125196,0.508511352183484
"3","Alternating","257249.85 (61.17)",0.795,"4.638 (2.133 -- 7.338)","3.615 (2.683 -- 4.497)","1.801 (0.000 -- 5.083)","1.940 (0.347 -- 3.973)","3.955 (3.208 -- 4.752)","4.242 (4.052 -- 4.434)","MacroregionAustralia:Alternating",0.193811253219521,0.0691037216747645,0.326792946405476,8684.24347945326,0.00377777777777788,"fixed",0.511225883353653,0.362083356234532,0.645748851241792,0.364812071865381,0.222928076125196,0.508511352183484
"4","Alternating","257249.85 (61.17)",0.795,"4.638 (2.133 -- 7.338)","3.615 (2.683 -- 4.497)","1.801 (0.000 -- 5.083)","1.940 (0.347 -- 3.973)","3.955 (3.208 -- 4.752)","4.242 (4.052 -- 4.434)","MacroregionEurope:Alternating",0.4907031021016,0.379743182747916,0.596625490681618,8648.15416407336,0.000111111111111111,"fixed",0.511225883353653,0.362083356234532,0.645748851241792,0.364812071865381,0.222928076125196,0.508511352183484
"5","GA3","257226.74 (38.06)",0.79,"4.642 (2.263 -- 7.500)","3.750 (2.878 -- 4.747)","0.646 (0.000 -- 2.423)","2.004 (0.443 -- 4.121)","3.772 (3.016 -- 4.534)","4.149 (3.959 -- 4.336)","MacroregionAmerica:GA3",7.20339658230897,-3.23697073958465,17.905854784578,8999.99999999998,0.168444444444444,"fixed",0.5171089555029,0.373282004204834,0.655375313658888,0.363964133673274,0.225526930709554,0.514973065432316
"6","GA3","257226.74 (38.06)",0.79,"4.642 (2.263 -- 7.500)","3.750 (2.878 -- 4.747)","0.646 (0.000 -- 2.423)","2.004 (0.443 -- 4.121)","3.772 (3.016 -- 4.534)","4.149 (3.959 -- 4.336)","MacroregionAsia:GA3",3.54555057501106,-8.37763052142691,17.2776973386954,8999.99999999999,0.555333333333333,"fixed",0.5171089555029,0.373282004204834,0.655375313658888,0.363964133673274,0.225526930709554,0.514973065432316
"7","GA3","257226.74 (38.06)",0.79,"4.642 (2.263 -- 7.500)","3.750 (2.878 -- 4.747)","0.646 (0.000 -- 2.423)","2.004 (0.443 -- 4.121)","3.772 (3.016 -- 4.534)","4.149 (3.959 -- 4.336)","MacroregionAustralia:GA3",0.578067835881713,0.485231123500853,0.677416281192563,8468.66552055064,0.000111111111111111,"fixed",0.5171089555029,0.373282004204834,0.655375313658888,0.363964133673274,0.225526930709554,0.514973065432316
"8","GA3","257226.74 (38.06)",0.79,"4.642 (2.263 -- 7.500)","3.750 (2.878 -- 4.747)","0.646 (0.000 -- 2.423)","2.004 (0.443 -- 4.121)","3.772 (3.016 -- 4.534)","4.149 (3.959 -- 4.336)","MacroregionEurope:GA3",0.519791246611191,0.42636404640507,0.613515316843404,8999.99999999997,0.000111111111111111,"fixed",0.5171089555029,0.373282004204834,0.655375313658888,0.363964133673274,0.225526930709554,0.514973065432316
"9","Light","257259.1 (70.42)",0.782,"4.264 (1.986 -- 6.933)","3.624 (2.727 -- 4.514)","1.149 (0.000 -- 3.462)","1.726 (0.318 -- 3.586)","3.745 (3.057 -- 4.532)","4.233 (4.034 -- 4.420)","MacroregionAmerica:Light",-7.01172772723463,-16.633047807758,2.55575058548129,8113.79749178095,0.141777777777778,"fixed",0.490496544939836,0.335405431121843,0.628642524732598,0.345533513935694,0.20298284945746,0.491914733336209
"10","Light","257259.1 (70.42)",0.782,"4.264 (1.986 -- 6.933)","3.624 (2.727 -- 4.514)","1.149 (0.000 -- 3.462)","1.726 (0.318 -- 3.586)","3.745 (3.057 -- 4.532)","4.233 (4.034 -- 4.420)","MacroregionAsia:Light",0.371319175202466,0.228095089361886,0.51145982525486,8999.99999999996,0.000111111111111111,"fixed",0.490496544939836,0.335405431121843,0.628642524732598,0.345533513935694,0.20298284945746,0.491914733336209
