"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257286.4 (49.14)",0.724,"1.904 (1.151 -- 2.913)","3.607 (2.929 -- 4.618)","1.070 (0.725 -- 1.450)","1.046 (0.601 -- 1.368)","3.405 (2.815 -- 4.088)","4.238 (4.073 -- 4.413)","AlpineGeneralist:Alternating",0.362450434686243,0.277868114419107,0.442827932361979,180,0.00555555555555556,"fixed",0.306129693344109,0.216985512958238,0.400669603613528,0.194249788840069,0.122069238154079,0.282734042824834
"2","Alternating","257286.4 (49.14)",0.724,"1.904 (1.151 -- 2.913)","3.607 (2.929 -- 4.618)","1.070 (0.725 -- 1.450)","1.046 (0.601 -- 1.368)","3.405 (2.815 -- 4.088)","4.238 (4.073 -- 4.413)","AlpineStrict:Alternating",0.289986629835011,0.185714656894561,0.396968943357933,180,0.00555555555555556,"fixed",0.306129693344109,0.216985512958238,0.400669603613528,0.194249788840069,0.122069238154079,0.282734042824834
"3","GA3","257255.34 (18.08)",0.73,"1.868 (1.162 -- 2.734)","3.692 (3.042 -- 4.600)","0.994 (0.688 -- 1.381)","1.079 (0.752 -- 1.460)","3.257 (2.556 -- 3.884)","4.146 (3.923 -- 4.326)","AlpineGeneralist:GA3",0.531995441068313,0.457003476694808,0.626047482066497,180,0.00555555555555556,"fixed",0.307407752792854,0.220005270169393,0.398919722486085,0.191513930221358,0.126480420073458,0.269783653790736
"4","GA3","257255.34 (18.08)",0.73,"1.868 (1.162 -- 2.734)","3.692 (3.042 -- 4.600)","0.994 (0.688 -- 1.381)","1.079 (0.752 -- 1.460)","3.257 (2.556 -- 3.884)","4.146 (3.923 -- 4.326)","AlpineStrict:GA3",0.553391612902095,0.475209470616392,0.641116743463499,180,0.00555555555555556,"fixed",0.307407752792854,0.220005270169393,0.398919722486085,0.191513930221358,0.126480420073458,0.269783653790736
"5","Light","257297.34 (60.08)",0.72,"1.796 (1.226 -- 2.608)","3.557 (2.864 -- 4.177)","1.052 (0.703 -- 1.470)","1.055 (0.731 -- 1.566)","3.231 (2.572 -- 3.885)","4.217 (4.047 -- 4.452)","AlpineGeneralist:Light",0.417515126094466,0.294801629410358,0.519987524348835,180,0.00555555555555556,"fixed",0.295837664094489,0.224577805855472,0.382706168807861,0.18684870562181,0.134152435082157,0.253381597839756
"6","Light","257297.34 (60.08)",0.72,"1.796 (1.226 -- 2.608)","3.557 (2.864 -- 4.177)","1.052 (0.703 -- 1.470)","1.055 (0.731 -- 1.566)","3.231 (2.572 -- 3.885)","4.217 (4.047 -- 4.452)","AlpineStrict:Light",0.429962966895965,0.33330736643984,0.556309140840312,180,0.00555555555555556,"fixed",0.295837664094489,0.224577805855472,0.382706168807861,0.18684870562181,0.134152435082157,0.253381597839756
"7","Scarification","257267.07 (29.81)",0.721,"1.869 (1.189 -- 2.500)","3.521 (2.808 -- 4.296)","1.026 (0.607 -- 1.347)","1.013 (0.638 -- 1.404)","3.407 (2.757 -- 4.060)","4.263 (4.093 -- 4.462)","AlpineGeneralist:Scarification",0.331600700739136,0.207324115544907,0.443700577117852,180,0.00555555555555556,"fixed",0.302381569094773,0.223101336783756,0.368631231745785,0.192970365108094,0.134064413907829,0.252424025970595
"8","Scarification","257267.07 (29.81)",0.721,"1.869 (1.189 -- 2.500)","3.521 (2.808 -- 4.296)","1.026 (0.607 -- 1.347)","1.013 (0.638 -- 1.404)","3.407 (2.757 -- 4.060)","4.263 (4.093 -- 4.462)","AlpineStrict:Scarification",0.469094250723787,0.332394302808098,0.598749749042327,180,0.00555555555555556,"fixed",0.302381569094773,0.223101336783756,0.368631231745785,0.192970365108094,0.134064413907829,0.252424025970595
"9","Stratification","257247.71 (10.45)",0.744,"1.924 (1.260 -- 2.710)","3.658 (3.024 -- 4.514)","1.061 (0.725 -- 1.514)","1.115 (0.742 -- 1.547)","3.626 (2.917 -- 4.220)","4.065 (3.878 -- 4.237)","AlpineGeneralist:Stratification",0.573886060322524,0.49476973700439,0.666937058165786,180,0.00555555555555556,"fixed",0.31826405347041,0.243039429901556,0.404298499807038,0.198593461785105,0.142693904282233,0.272518771878195
"10","Stratification","257247.71 (10.45)",0.744,"1.924 (1.260 -- 2.710)","3.658 (3.024 -- 4.514)","1.061 (0.725 -- 1.514)","1.115 (0.742 -- 1.547)","3.626 (2.917 -- 4.220)","4.065 (3.878 -- 4.237)","AlpineStrict:Stratification",0.796207030527523,0.696332772873575,0.915419015233056,180,0.00555555555555556,"fixed",0.31826405347041,0.243039429901556,0.404298499807038,0.198593461785105,0.142693904282233,0.272518771878195
