"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257283.64 (22.41)",0.717,"1.887 (1.069 -- 2.545)","3.518 (2.931 -- 4.271)","1.047 (0.730 -- 1.500)","1.067 (0.703 -- 1.420)","3.342 (2.790 -- 4.052)","4.293 (4.099 -- 4.475)","AlpineGeneralist:log(embryo):Alternating",-0.0923596889295905,-0.147064048302127,-0.0431329160637688,175.406627925188,0.00555555555555556,"fixed",0.30263111783012,0.222172154208905,0.383433150419915,0.193672051695157,0.133848843636754,0.253753734228408
"2","Alternating","257283.64 (22.41)",0.717,"1.887 (1.069 -- 2.545)","3.518 (2.931 -- 4.271)","1.047 (0.730 -- 1.500)","1.067 (0.703 -- 1.420)","3.342 (2.790 -- 4.052)","4.293 (4.099 -- 4.475)","AlpineStrict:log(embryo):Alternating",-0.00492512285623477,-0.0867527948867064,0.0647786716581322,180,0.833333333333333,"fixed",0.30263111783012,0.222172154208905,0.383433150419915,0.193672051695157,0.133848843636754,0.253753734228408
"3","GA3","257261.23 (0)",0.725,"1.881 (1.207 -- 2.761)","3.662 (2.954 -- 4.430)","1.016 (0.698 -- 1.418)","1.085 (0.750 -- 1.608)","3.233 (2.483 -- 3.857)","4.201 (4.019 -- 4.411)","AlpineGeneralist:log(embryo):GA3",-0.212180867343339,-0.268418345920509,-0.170875986025976,144.565254508921,0.00555555555555556,"fixed",0.306337702039462,0.216977045581108,0.389797964618697,0.192229994019766,0.126548048898952,0.260360651037733
"4","GA3","257261.23 (0)",0.725,"1.881 (1.207 -- 2.761)","3.662 (2.954 -- 4.430)","1.016 (0.698 -- 1.418)","1.085 (0.750 -- 1.608)","3.233 (2.483 -- 3.857)","4.201 (4.019 -- 4.411)","AlpineStrict:log(embryo):GA3",-0.277718576756255,-0.330888368494925,-0.223590903409786,180,0.00555555555555556,"fixed",0.306337702039462,0.216977045581108,0.389797964618697,0.192229994019766,0.126548048898952,0.260360651037733
"5","Light","257296.51 (35.28)",0.72,"1.845 (1.275 -- 2.718)","3.549 (2.811 -- 4.388)","1.047 (0.713 -- 1.432)","1.079 (0.663 -- 1.505)","3.362 (2.716 -- 3.875)","4.266 (4.076 -- 4.462)","AlpineGeneralist:log(embryo):Light",-0.201189112605913,-0.254841473826673,-0.141727974914829,180,0.00555555555555556,"fixed",0.299479263106364,0.22804643524841,0.389816497110073,0.190434035432434,0.124259047446226,0.259486052351076
"6","Light","257296.51 (35.28)",0.72,"1.845 (1.275 -- 2.718)","3.549 (2.811 -- 4.388)","1.047 (0.713 -- 1.432)","1.079 (0.663 -- 1.505)","3.362 (2.716 -- 3.875)","4.266 (4.076 -- 4.462)","AlpineStrict:log(embryo):Light",-0.112696496432679,-0.189770500019222,-0.0465140703745419,180,0.0111111111111111,"fixed",0.299479263106364,0.22804643524841,0.389816497110073,0.190434035432434,0.124259047446226,0.259486052351076
"7","Scarification","257281.55 (20.32)",0.718,"1.744 (1.052 -- 2.550)","3.681 (2.868 -- 4.457)","1.025 (0.690 -- 1.433)","1.072 (0.717 -- 1.417)","3.368 (2.723 -- 4.017)","4.294 (4.101 -- 4.475)","AlpineGeneralist:log(embryo):Scarification",-0.0328180449243822,-0.129590003343765,0.0531143404659815,180,0.488888888888889,"fixed",0.28594792955174,0.195400556718404,0.368736322692236,0.17876845310053,0.116576155780652,0.248972808479563
"8","Scarification","257281.55 (20.32)",0.718,"1.744 (1.052 -- 2.550)","3.681 (2.868 -- 4.457)","1.025 (0.690 -- 1.433)","1.072 (0.717 -- 1.417)","3.368 (2.723 -- 4.017)","4.294 (4.101 -- 4.475)","AlpineStrict:log(embryo):Scarification",-0.157854455987331,-0.248302028565377,-0.0751939382025739,379.093553956899,0.00555555555555556,"fixed",0.28594792955174,0.195400556718404,0.368736322692236,0.17876845310053,0.116576155780652,0.248972808479563
"9","Stratification","257286.2 (24.97)",0.731,"1.917 (0.932 -- 2.755)","3.655 (2.832 -- 4.332)","1.037 (0.682 -- 1.462)","1.058 (0.617 -- 1.504)","3.512 (2.793 -- 4.097)","4.183 (4.014 -- 4.380)","AlpineGeneralist:log(embryo):Stratification",-0.171621269417905,-0.225101655421895,-0.120543936138347,180,0.00555555555555556,"fixed",0.310442857269492,0.213238874791789,0.418242165640605,0.195500233592619,0.100961142341187,0.267830730767491
"10","Stratification","257286.2 (24.97)",0.731,"1.917 (0.932 -- 2.755)","3.655 (2.832 -- 4.332)","1.037 (0.682 -- 1.462)","1.058 (0.617 -- 1.504)","3.512 (2.793 -- 4.097)","4.183 (4.014 -- 4.380)","AlpineStrict:log(embryo):Stratification",-0.338079919501494,-0.400444363585848,-0.266034711532484,180,0.00555555555555556,"fixed",0.310442857269492,0.213238874791789,0.418242165640605,0.195500233592619,0.100961142341187,0.267830730767491
"11","Tmean","257274.36 (13.13)",0.725,"1.850 (1.102 -- 2.550)","3.544 (2.832 -- 4.251)","1.031 (0.703 -- 1.427)","1.077 (0.671 -- 1.450)","3.460 (2.769 -- 4.211)","4.195 (4.047 -- 4.405)","AlpineGeneralist:log(embryo):Tmean",-0.184625608963752,-0.222854688705411,-0.139047363685677,180,0.00555555555555556,"fixed",0.302938286272131,0.222481994249533,0.390969536493679,0.192040276931022,0.130518156144345,0.26483715657798
"12","Tmean","257274.36 (13.13)",0.725,"1.850 (1.102 -- 2.550)","3.544 (2.832 -- 4.251)","1.031 (0.703 -- 1.427)","1.077 (0.671 -- 1.450)","3.460 (2.769 -- 4.211)","4.195 (4.047 -- 4.405)","AlpineStrict:log(embryo):Tmean",-0.217829486083284,-0.263000702674617,-0.166108971345238,180,0.00555555555555556,"fixed",0.302938286272131,0.222481994249533,0.390969536493679,0.192040276931022,0.130518156144345,0.26483715657798
