"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257247.43 (17.09)",0.784,"4.630 (2.159 -- 7.376)","3.633 (2.732 -- 4.600)","1.444 (0.000 -- 3.946)","1.730 (0.374 -- 3.721)","3.947 (3.191 -- 4.755)","4.269 (4.083 -- 4.460)","AlpineGeneralist:log(mass):Alternating",-0.0729555427527777,-0.125554815895157,-0.0208515628182795,8999.99999999995,0.00755555555555556,"fixed",0.50906256492474,0.362659905804002,0.647283716297312,0.363038454497709,0.216417325049205,0.505950623411164
"2","Alternating","257247.43 (17.09)",0.784,"4.630 (2.159 -- 7.376)","3.633 (2.732 -- 4.600)","1.444 (0.000 -- 3.946)","1.730 (0.374 -- 3.721)","3.947 (3.191 -- 4.755)","4.269 (4.083 -- 4.460)","AlpineStrict:log(mass):Alternating",-0.283086553801966,-0.36347492490313,-0.204904031183105,8732.35833124561,0.000111111111111111,"fixed",0.50906256492474,0.362659905804002,0.647283716297312,0.363038454497709,0.216417325049205,0.505950623411164
"3","GA3","257239.79 (9.45)",0.779,"4.565 (2.216 -- 7.180)","3.697 (2.767 -- 4.630)","1.129 (0.000 -- 3.303)","1.654 (0.325 -- 3.553)","3.808 (3.023 -- 4.593)","4.246 (4.051 -- 4.429)","AlpineGeneralist:log(mass):GA3",-0.21545297030002,-0.263488486700226,-0.164334054876235,9000,0.000111111111111111,"fixed",0.507532978104304,0.360994176071016,0.637774161187784,0.359030256777607,0.224279172951431,0.502717673011029
"4","GA3","257239.79 (9.45)",0.779,"4.565 (2.216 -- 7.180)","3.697 (2.767 -- 4.630)","1.129 (0.000 -- 3.303)","1.654 (0.325 -- 3.553)","3.808 (3.023 -- 4.593)","4.246 (4.051 -- 4.429)","AlpineStrict:log(mass):GA3",-0.19707100175533,-0.263890867310693,-0.13309011979436,9684.63269975238,0.000111111111111111,"fixed",0.507532978104304,0.360994176071016,0.637774161187784,0.359030256777607,0.224279172951431,0.502717673011029
"5","Light","257254.01 (23.67)",0.783,"4.693 (2.227 -- 7.536)","3.703 (2.778 -- 4.638)","1.481 (0.000 -- 4.053)","1.626 (0.300 -- 3.400)","3.812 (3.053 -- 4.583)","4.265 (4.077 -- 4.460)","AlpineGeneralist:log(mass):Light",-0.135710194430171,-0.21215641694107,-0.0647674252686556,9000.00000000003,0.000666666666666667,"fixed",0.512730536486557,0.37199697202802,0.655626060291672,0.364275200251299,0.224971289374468,0.515670485930222
"6","Light","257254.01 (23.67)",0.783,"4.693 (2.227 -- 7.536)","3.703 (2.778 -- 4.638)","1.481 (0.000 -- 4.053)","1.626 (0.300 -- 3.400)","3.812 (3.053 -- 4.583)","4.265 (4.077 -- 4.460)","AlpineStrict:log(mass):Light",-0.30063356412206,-0.385844753790579,-0.221941487223376,9000.00000000003,0.000111111111111111,"fixed",0.512730536486557,0.37199697202802,0.655626060291672,0.364275200251299,0.224971289374468,0.515670485930222
"7","Scarification","257254.77 (24.43)",0.781,"4.623 (2.198 -- 7.391)","3.594 (2.700 -- 4.495)","1.628 (0.000 -- 4.329)","1.619 (0.317 -- 3.429)","3.903 (3.133 -- 4.690)","4.306 (4.116 -- 4.501)","AlpineGeneralist:log(mass):Scarification",0.0769318130297122,-0.00891516974661499,0.160153360702679,8999.99999999999,0.0802222222222222,"fixed",0.506860644250618,0.362021080369336,0.642825477673447,0.362888229051134,0.225534453370633,0.50981706383787
"8","Scarification","257254.77 (24.43)",0.781,"4.623 (2.198 -- 7.391)","3.594 (2.700 -- 4.495)","1.628 (0.000 -- 4.329)","1.619 (0.317 -- 3.429)","3.903 (3.133 -- 4.690)","4.306 (4.116 -- 4.501)","AlpineStrict:log(mass):Scarification",0.0815452453797928,0.0026219129722449,0.164503230880655,9000,0.0497777777777777,"fixed",0.506860644250618,0.362021080369336,0.642825477673447,0.362888229051134,0.225534453370633,0.50981706383787
"9","Stratification","257254.97 (24.63)",0.78,"4.550 (2.175 -- 7.306)","3.609 (2.689 -- 4.516)","1.562 (0.000 -- 4.255)","1.669 (0.310 -- 3.572)","3.904 (3.135 -- 4.697)","4.308 (4.117 -- 4.509)","AlpineGeneralist:log(mass):Stratification",-0.0348252150620681,-0.0885300488880603,0.0192112543445546,8999.99999999998,0.200666666666667,"fixed",0.502625663779175,0.361512013746853,0.64480017118978,0.358663581660001,0.222956095675275,0.508063049553016
"10","Stratification","257254.97 (24.63)",0.78,"4.550 (2.175 -- 7.306)","3.609 (2.689 -- 4.516)","1.562 (0.000 -- 4.255)","1.669 (0.310 -- 3.572)","3.904 (3.135 -- 4.697)","4.308 (4.117 -- 4.509)","AlpineStrict:log(mass):Stratification",0.0470828126514433,-0.0349755154456943,0.130505392968189,8999.99999999998,0.259555555555556,"fixed",0.502625663779175,0.361512013746853,0.64480017118978,0.358663581660001,0.222956095675275,0.508063049553016
