"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","1630.56 (7.18)",0.896,"0.013 (0.000 -- 0.049)","0.090 (0.015 -- 0.170)","0.797 (0.000 -- 2.542)","0.437 (0.000 -- 1.674)","0.185 (0.111 -- 0.268)","0.178 (0.163 -- 0.193)","DormancyMD:Alternating",1.83381521933322,-0.642397829265974,4.37307270796737,9000.00000000004,0.149555555555556,"fixed",0.0585316146097522,5.81338876299983e-10,0.219547433410939,0.0434615014749482,4.42351589386278e-10,0.172119445248009
"2","Alternating","1630.56 (7.18)",0.896,"0.013 (0.000 -- 0.049)","0.090 (0.015 -- 0.170)","0.797 (0.000 -- 2.542)","0.437 (0.000 -- 1.674)","0.185 (0.111 -- 0.268)","0.178 (0.163 -- 0.193)","DormancyMPD:Alternating",-0.0236118244917452,-0.128108475881163,0.0820018401791458,9000.00000000003,0.665111111111111,"fixed",0.0585316146097522,5.81338876299983e-10,0.219547433410939,0.0434615014749482,4.42351589386278e-10,0.172119445248009
"3","Alternating","1630.56 (7.18)",0.896,"0.013 (0.000 -- 0.049)","0.090 (0.015 -- 0.170)","0.797 (0.000 -- 2.542)","0.437 (0.000 -- 1.674)","0.185 (0.111 -- 0.268)","0.178 (0.163 -- 0.193)","DormancyND:Alternating",-1.05319365387554,-1.93935091141611,-0.188096675570705,8309.69516448308,0.0122222222222222,"fixed",0.0585316146097522,5.81338876299983e-10,0.219547433410939,0.0434615014749482,4.42351589386278e-10,0.172119445248009
"4","Alternating","1630.56 (7.18)",0.896,"0.013 (0.000 -- 0.049)","0.090 (0.015 -- 0.170)","0.797 (0.000 -- 2.542)","0.437 (0.000 -- 1.674)","0.185 (0.111 -- 0.268)","0.178 (0.163 -- 0.193)","DormancyPD:Alternating",-0.0585356245874851,-0.138827693019266,0.0181736567465123,9000.00000000001,0.143777777777778,"fixed",0.0585316146097522,5.81338876299983e-10,0.219547433410939,0.0434615014749482,4.42351589386278e-10,0.172119445248009
"5","Alternating","1630.56 (7.18)",0.896,"0.013 (0.000 -- 0.049)","0.090 (0.015 -- 0.170)","0.797 (0.000 -- 2.542)","0.437 (0.000 -- 1.674)","0.185 (0.111 -- 0.268)","0.178 (0.163 -- 0.193)","DormancyPY:Alternating",-0.0432887292286416,-0.239113860028738,0.146953802504868,9000,0.663333333333333,"fixed",0.0585316146097522,5.81338876299983e-10,0.219547433410939,0.0434615014749482,4.42351589386278e-10,0.172119445248009
"6","GA3","1623.38 (0)",0.883,"0.016 (0.000 -- 0.062)","0.092 (0.012 -- 0.174)","0.658 (0.000 -- 2.110)","0.369 (0.000 -- 1.341)","0.182 (0.107 -- 0.262)","0.177 (0.162 -- 0.192)","DormancyMD:GA3",-1.94024566865057,-4.49417000857648,0.530155068488966,8999.99999999999,0.133111111111111,"fixed",0.0712112635962407,1.71960783899794e-09,0.259952070677657,0.0530045740470058,1.09302214691737e-09,0.205324595554956
"7","GA3","1623.38 (0)",0.883,"0.016 (0.000 -- 0.062)","0.092 (0.012 -- 0.174)","0.658 (0.000 -- 2.110)","0.369 (0.000 -- 1.341)","0.182 (0.107 -- 0.262)","0.177 (0.162 -- 0.192)","DormancyMPD:GA3",-0.161765596281114,-0.273866189418186,-0.0598487095558085,8743.03407712189,0.00311111111111111,"fixed",0.0712112635962407,1.71960783899794e-09,0.259952070677657,0.0530045740470058,1.09302214691737e-09,0.205324595554956
"8","GA3","1623.38 (0)",0.883,"0.016 (0.000 -- 0.062)","0.092 (0.012 -- 0.174)","0.658 (0.000 -- 2.110)","0.369 (0.000 -- 1.341)","0.182 (0.107 -- 0.262)","0.177 (0.162 -- 0.192)","DormancyND:GA3",0.970702806560188,0.135219112067716,1.88266371382633,8187.9173564385,0.0257777777777777,"fixed",0.0712112635962407,1.71960783899794e-09,0.259952070677657,0.0530045740470058,1.09302214691737e-09,0.205324595554956
"9","GA3","1623.38 (0)",0.883,"0.016 (0.000 -- 0.062)","0.092 (0.012 -- 0.174)","0.658 (0.000 -- 2.110)","0.369 (0.000 -- 1.341)","0.182 (0.107 -- 0.262)","0.177 (0.162 -- 0.192)","DormancyPD:GA3",-0.0203796871484302,-0.0844571120615001,0.0428988095663954,9388.64558316971,0.528222222222222,"fixed",0.0712112635962407,1.71960783899794e-09,0.259952070677657,0.0530045740470058,1.09302214691737e-09,0.205324595554956
"10","GA3","1623.38 (0)",0.883,"0.016 (0.000 -- 0.062)","0.092 (0.012 -- 0.174)","0.658 (0.000 -- 2.110)","0.369 (0.000 -- 1.341)","0.182 (0.107 -- 0.262)","0.177 (0.162 -- 0.192)","DormancyPY:GA3",0.0302425198507329,-0.198515045136446,0.265527821713476,8670.90570549833,0.798888888888889,"fixed",0.0712112635962407,1.71960783899794e-09,0.259952070677657,0.0530045740470058,1.09302214691737e-09,0.205324595554956
