"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3383.64 (59.09)",0.892,"0.019 (0.000 -- 0.052)","0.072 (0.033 -- 0.113)","0.912 (0.000 -- 2.604)","0.220 (0.000 -- 0.983)","0.196 (0.148 -- 0.245)","0.172 (0.162 -- 0.182)","Lifeform2CH:Alternating",-0.102699964110611,-0.173493558046175,-0.0326891582080862,9000.00000000001,0.004,"fixed",0.0909403562049121,4.34342453382316e-08,0.231620451080858,0.0688732019779438,2.89926286150914e-08,0.184135780236244
"2","Alternating","3383.64 (59.09)",0.892,"0.019 (0.000 -- 0.052)","0.072 (0.033 -- 0.113)","0.912 (0.000 -- 2.604)","0.220 (0.000 -- 0.983)","0.196 (0.148 -- 0.245)","0.172 (0.162 -- 0.182)","Lifeform2G:Alternating",-0.112248506881015,-0.911812694801483,0.693923597033972,8722.04486516155,0.787333333333333,"fixed",0.0909403562049121,4.34342453382316e-08,0.231620451080858,0.0688732019779438,2.89926286150914e-08,0.184135780236244
"3","Alternating","3383.64 (59.09)",0.892,"0.019 (0.000 -- 0.052)","0.072 (0.033 -- 0.113)","0.912 (0.000 -- 2.604)","0.220 (0.000 -- 0.983)","0.196 (0.148 -- 0.245)","0.172 (0.162 -- 0.182)","Lifeform2H:Alternating",-0.0050237662717122,-0.0487517043948174,0.0351050801182282,9000,0.813555555555556,"fixed",0.0909403562049121,4.34342453382316e-08,0.231620451080858,0.0688732019779438,2.89926286150914e-08,0.184135780236244
"4","Alternating","3383.64 (59.09)",0.892,"0.019 (0.000 -- 0.052)","0.072 (0.033 -- 0.113)","0.912 (0.000 -- 2.604)","0.220 (0.000 -- 0.983)","0.196 (0.148 -- 0.245)","0.172 (0.162 -- 0.182)","Lifeform2NP:Alternating",0.098480358675578,-0.0927940077381209,0.280962294797064,8999.99999999998,0.302,"fixed",0.0909403562049121,4.34342453382316e-08,0.231620451080858,0.0688732019779438,2.89926286150914e-08,0.184135780236244
"5","Alternating","3383.64 (59.09)",0.892,"0.019 (0.000 -- 0.052)","0.072 (0.033 -- 0.113)","0.912 (0.000 -- 2.604)","0.220 (0.000 -- 0.983)","0.196 (0.148 -- 0.245)","0.172 (0.162 -- 0.182)","Lifeform2T:Alternating",-0.0881521171369817,-0.256616284919801,0.0774065773002803,8999.99999999995,0.311111111111111,"fixed",0.0909403562049121,4.34342453382316e-08,0.231620451080858,0.0688732019779438,2.89926286150914e-08,0.184135780236244
"6","GA3","3382.06 (57.51)",0.878,"0.018 (0.000 -- 0.050)","0.071 (0.033 -- 0.114)","0.679 (0.000 -- 2.060)","0.270 (0.000 -- 1.140)","0.204 (0.155 -- 0.253)","0.172 (0.162 -- 0.182)","Lifeform2CH:GA3",-0.0526040870708195,-0.11269228457968,0.0106469854508759,8999.99999999995,0.0953333333333333,"fixed",0.0888221406336139,9.40324130691159e-09,0.22561909478173,0.0673341286929323,6.7862529586028e-09,0.178822429512526
"7","GA3","3382.06 (57.51)",0.878,"0.018 (0.000 -- 0.050)","0.071 (0.033 -- 0.114)","0.679 (0.000 -- 2.060)","0.270 (0.000 -- 1.140)","0.204 (0.155 -- 0.253)","0.172 (0.162 -- 0.182)","Lifeform2G:GA3",-0.0715792786354852,-0.444422080225195,0.326537808985449,8999.99999999999,0.717111111111111,"fixed",0.0888221406336139,9.40324130691159e-09,0.22561909478173,0.0673341286929323,6.7862529586028e-09,0.178822429512526
"8","GA3","3382.06 (57.51)",0.878,"0.018 (0.000 -- 0.050)","0.071 (0.033 -- 0.114)","0.679 (0.000 -- 2.060)","0.270 (0.000 -- 1.140)","0.204 (0.155 -- 0.253)","0.172 (0.162 -- 0.182)","Lifeform2H:GA3",-0.0196358922961161,-0.0487384711159393,0.0103893120540306,8514.00933465443,0.192666666666667,"fixed",0.0888221406336139,9.40324130691159e-09,0.22561909478173,0.0673341286929323,6.7862529586028e-09,0.178822429512526
"9","GA3","3382.06 (57.51)",0.878,"0.018 (0.000 -- 0.050)","0.071 (0.033 -- 0.114)","0.679 (0.000 -- 2.060)","0.270 (0.000 -- 1.140)","0.204 (0.155 -- 0.253)","0.172 (0.162 -- 0.182)","Lifeform2NP:GA3",-0.00750980741067884,-0.219909766739875,0.198178750280931,7447.22014348372,0.951555555555556,"fixed",0.0888221406336139,9.40324130691159e-09,0.22561909478173,0.0673341286929323,6.7862529586028e-09,0.178822429512526
"10","GA3","3382.06 (57.51)",0.878,"0.018 (0.000 -- 0.050)","0.071 (0.033 -- 0.114)","0.679 (0.000 -- 2.060)","0.270 (0.000 -- 1.140)","0.204 (0.155 -- 0.253)","0.172 (0.162 -- 0.182)","Lifeform2T:GA3",0.0174230402025536,-0.167514641663729,0.209967743212474,9000.00000000001,0.852,"fixed",0.0888221406336139,9.40324130691159e-09,0.22561909478173,0.0673341286929323,6.7862529586028e-09,0.178822429512526
