"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3382.3 (60.07)",0.889,"0.018 (0.000 -- 0.049)","0.068 (0.029 -- 0.109)","0.801 (0.000 -- 2.362)","0.294 (0.000 -- 1.208)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Grass:Alternating",-0.000922369321848973,-0.102117531976546,0.097359882100136,8999.99999999996,0.982222222222222,"fixed",0.0885745982988707,6.8922489296141e-09,0.221853182338794,0.0679555554016343,4.65381520121802e-09,0.176051837167706
"2","Alternating","3382.3 (60.07)",0.889,"0.018 (0.000 -- 0.049)","0.068 (0.029 -- 0.109)","0.801 (0.000 -- 2.362)","0.294 (0.000 -- 1.208)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Herb:Alternating",-0.0304578452297367,-0.0688438626166317,0.00727361065219156,8999.99999999999,0.117111111111111,"fixed",0.0885745982988707,6.8922489296141e-09,0.221853182338794,0.0679555554016343,4.65381520121802e-09,0.176051837167706
"3","Alternating","3382.3 (60.07)",0.889,"0.018 (0.000 -- 0.049)","0.068 (0.029 -- 0.109)","0.801 (0.000 -- 2.362)","0.294 (0.000 -- 1.208)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Woody:Alternating",0.081524955020447,-0.0666130194222205,0.234412151708966,8700.51994072383,0.298222222222222,"fixed",0.0885745982988707,6.8922489296141e-09,0.221853182338794,0.0679555554016343,4.65381520121802e-09,0.176051837167706
"4","GA3","3382.19 (59.96)",0.881,"0.019 (0.000 -- 0.051)","0.069 (0.032 -- 0.112)","0.697 (0.000 -- 2.050)","0.284 (0.000 -- 1.136)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Grass:GA3",-0.0201376282112708,-0.0788521623326233,0.0428767169360071,8483.07664610875,0.512222222222222,"fixed",0.0911566939631622,9.27782934286931e-09,0.229406155329282,0.0697171505320048,6.79300366835997e-09,0.184495081462119
"5","GA3","3382.19 (59.96)",0.881,"0.019 (0.000 -- 0.051)","0.069 (0.032 -- 0.112)","0.697 (0.000 -- 2.050)","0.284 (0.000 -- 1.136)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Herb:GA3",-0.0253288700699797,-0.0535009823797736,0.0040091450791806,9000,0.0837777777777778,"fixed",0.0911566939631622,9.27782934286931e-09,0.229406155329282,0.0697171505320048,6.79300366835997e-09,0.184495081462119
"6","GA3","3382.19 (59.96)",0.881,"0.019 (0.000 -- 0.051)","0.069 (0.032 -- 0.112)","0.697 (0.000 -- 2.050)","0.284 (0.000 -- 1.136)","0.205 (0.156 -- 0.255)","0.172 (0.162 -- 0.182)","Plantcategory2Woody:GA3",-0.0432247845957214,-0.230879296796047,0.145676586878835,8999.99999999996,0.659555555555556,"fixed",0.0911566939631622,9.27782934286931e-09,0.229406155329282,0.0697171505320048,6.79300366835997e-09,0.184495081462119
"7","Light","3379.36 (57.13)",0.886,"0.014 (0.000 -- 0.043)","0.074 (0.034 -- 0.116)","0.788 (0.000 -- 2.319)","0.261 (0.000 -- 1.116)","0.198 (0.149 -- 0.245)","0.172 (0.162 -- 0.182)","Plantcategory2Grass:Light",0.0499665443598034,-0.0268962214322528,0.124664736867999,9000.00000000001,0.195777777777778,"fixed",0.0718554156384498,1.93274362409036e-08,0.199816145060281,0.053763545420735,1.29718136969082e-08,0.156209887025778
"8","Light","3379.36 (57.13)",0.886,"0.014 (0.000 -- 0.043)","0.074 (0.034 -- 0.116)","0.788 (0.000 -- 2.319)","0.261 (0.000 -- 1.116)","0.198 (0.149 -- 0.245)","0.172 (0.162 -- 0.182)","Plantcategory2Herb:Light",0.0497837679011534,0.00389425925095566,0.0933411726146005,8999.99999999999,0.030888888888889,"fixed",0.0718554156384498,1.93274362409036e-08,0.199816145060281,0.053763545420735,1.29718136969082e-08,0.156209887025778
"9","Light","3379.36 (57.13)",0.886,"0.014 (0.000 -- 0.043)","0.074 (0.034 -- 0.116)","0.788 (0.000 -- 2.319)","0.261 (0.000 -- 1.116)","0.198 (0.149 -- 0.245)","0.172 (0.162 -- 0.182)","Plantcategory2Woody:Light",-0.0843175399074078,-0.262271350256924,0.0827245522275462,8672.20774510317,0.34,"fixed",0.0718554156384498,1.93274362409036e-08,0.199816145060281,0.053763545420735,1.29718136969082e-08,0.156209887025778
"10","Scarification","3381.99 (59.76)",0.879,"0.022 (0.000 -- 0.057)","0.063 (0.026 -- 0.103)","0.645 (0.000 -- 1.956)","0.310 (0.000 -- 1.205)","0.207 (0.159 -- 0.255)","0.172 (0.163 -- 0.183)","Plantcategory2Grass:Scarification",-0.902596087571378,-3.2656797299569,1.20115593710216,8999.99999999999,0.360888888888889,"fixed",0.105229954393165,4.24570076360147e-09,0.249161441860372,0.082537846411566,2.88684004186193e-09,0.205718368167215
