"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3381.38 (58.78)",0.899,"0.017 (0.000 -- 0.049)","0.068 (0.030 -- 0.109)","0.530 (0.000 -- 1.767)","0.214 (0.000 -- 0.836)","0.205 (0.157 -- 0.256)","0.172 (0.162 -- 0.183)","MacroregionAmerica:Alternating",2.58859536554297,-3.26522986547207,8.04602863785112,8999.99999999999,0.267777777777778,"fixed",0.0855676178374228,9.95200895793114e-11,0.221106934596855,0.0654577367274437,7.21553161902018e-11,0.176890677018714
"2","Alternating","3381.38 (58.78)",0.899,"0.017 (0.000 -- 0.049)","0.068 (0.030 -- 0.109)","0.530 (0.000 -- 1.767)","0.214 (0.000 -- 0.836)","0.205 (0.157 -- 0.256)","0.172 (0.162 -- 0.183)","MacroregionAsia:Alternating",4.68221830345856,-0.995109440763372,10.2090252857015,8488.92074052545,0.0806666666666667,"fixed",0.0855676178374228,9.95200895793114e-11,0.221106934596855,0.0654577367274437,7.21553161902018e-11,0.176890677018714
"3","Alternating","3381.38 (58.78)",0.899,"0.017 (0.000 -- 0.049)","0.068 (0.030 -- 0.109)","0.530 (0.000 -- 1.767)","0.214 (0.000 -- 0.836)","0.205 (0.157 -- 0.256)","0.172 (0.162 -- 0.183)","MacroregionAustralia:Alternating",0.0587477689775838,-0.118230655050866,0.236852805202943,8278.46590627145,0.518444444444444,"fixed",0.0855676178374228,9.95200895793114e-11,0.221106934596855,0.0654577367274437,7.21553161902018e-11,0.176890677018714
"4","Alternating","3381.38 (58.78)",0.899,"0.017 (0.000 -- 0.049)","0.068 (0.030 -- 0.109)","0.530 (0.000 -- 1.767)","0.214 (0.000 -- 0.836)","0.205 (0.157 -- 0.256)","0.172 (0.162 -- 0.183)","MacroregionEurope:Alternating",-0.0267619057886507,-0.0653968431215617,0.0105857576199924,9000,0.166666666666667,"fixed",0.0855676178374228,9.95200895793114e-11,0.221106934596855,0.0654577367274437,7.21553161902018e-11,0.176890677018714
"5","GA3","3380 (57.4)",0.905,"0.020 (0.000 -- 0.052)","0.068 (0.028 -- 0.108)","0.627 (0.000 -- 1.857)","0.219 (0.000 -- 0.859)","0.204 (0.156 -- 0.254)","0.172 (0.162 -- 0.182)","MacroregionAmerica:GA3",-2.59764982961782,-8.186235841913,3.13118207037951,10738.1397570005,0.239777777777778,"fixed",0.09722285401652,1.67589709338252e-09,0.231561044207676,0.0747408594436265,1.11464846135677e-09,0.186622848954163
"6","GA3","3380 (57.4)",0.905,"0.020 (0.000 -- 0.052)","0.068 (0.028 -- 0.108)","0.627 (0.000 -- 1.857)","0.219 (0.000 -- 0.859)","0.204 (0.156 -- 0.254)","0.172 (0.162 -- 0.182)","MacroregionAsia:GA3",-4.58093247741009,-10.0101645449104,0.928124387399293,8737.74241054167,0.0771111111111111,"fixed",0.09722285401652,1.67589709338252e-09,0.231561044207676,0.0747408594436265,1.11464846135677e-09,0.186622848954163
"7","GA3","3380 (57.4)",0.905,"0.020 (0.000 -- 0.052)","0.068 (0.028 -- 0.108)","0.627 (0.000 -- 1.857)","0.219 (0.000 -- 0.859)","0.204 (0.156 -- 0.254)","0.172 (0.162 -- 0.182)","MacroregionAustralia:GA3",-0.00136893415732914,-0.0386256392594078,0.0378102132963249,9000.00000000007,0.947777777777778,"fixed",0.09722285401652,1.67589709338252e-09,0.231561044207676,0.0747408594436265,1.11464846135677e-09,0.186622848954163
"8","GA3","3380 (57.4)",0.905,"0.020 (0.000 -- 0.052)","0.068 (0.028 -- 0.108)","0.627 (0.000 -- 1.857)","0.219 (0.000 -- 0.859)","0.204 (0.156 -- 0.254)","0.172 (0.162 -- 0.182)","MacroregionEurope:GA3",-0.0453254959577807,-0.0809784420307551,-0.00846958636248019,8655.71135607361,0.014,"fixed",0.09722285401652,1.67589709338252e-09,0.231561044207676,0.0747408594436265,1.11464846135677e-09,0.186622848954163
"9","Light","3379 (56.4)",0.932,"0.015 (0.000 -- 0.044)","0.074 (0.035 -- 0.117)","1.147 (0.000 -- 3.397)","0.362 (0.000 -- 1.185)","0.199 (0.151 -- 0.248)","0.172 (0.162 -- 0.182)","MacroregionAmerica:Light",-2.78297236682563,-14.1937171516765,8.04046516097333,11543.6204315206,0.411333333333333,"fixed",0.0746605454258908,1.49958138765593e-10,0.205388382092866,0.0560147005920201,1.09620180979612e-10,0.161100017124004
"10","Light","3379 (56.4)",0.932,"0.015 (0.000 -- 0.044)","0.074 (0.035 -- 0.117)","1.147 (0.000 -- 3.397)","0.362 (0.000 -- 1.185)","0.199 (0.151 -- 0.248)","0.172 (0.162 -- 0.182)","MacroregionAsia:Light",0.0454954190007819,0.0076660660415655,0.0859524569532368,8999.99999999996,0.0237777777777777,"fixed",0.0746605454258908,1.49958138765593e-10,0.205388382092866,0.0560147005920201,1.09620180979612e-10,0.161100017124004
