"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3381.45 (60.31)",0.902,"0.016 (0.000 -- 0.040)","0.073 (0.034 -- 0.121)","1.250 (0.045 -- 3.917)","0.062 (0.000 -- 0.283)","0.197 (0.154 -- 0.244)","0.173 (0.163 -- 0.182)","AlpineGeneralist:Alternating",0.00820762101038165,-0.0461957973166136,0.0685711438272847,141.301846531225,0.711111111111111,"fixed",0.0793783518719689,3.39824642707301e-08,0.190722263063981,0.0600864295659464,2.767329191724e-08,0.156060555692801
"2","Alternating","3381.45 (60.31)",0.902,"0.016 (0.000 -- 0.040)","0.073 (0.034 -- 0.121)","1.250 (0.045 -- 3.917)","0.062 (0.000 -- 0.283)","0.197 (0.154 -- 0.244)","0.173 (0.163 -- 0.182)","AlpineStrict:Alternating",-0.0346124146380826,-0.0789560314915434,0.0163479299808387,180,0.155555555555556,"fixed",0.0793783518719689,3.39824642707301e-08,0.190722263063981,0.0600864295659464,2.767329191724e-08,0.156060555692801
"3","GA3","3380.6 (59.46)",0.858,"0.017 (0.000 -- 0.044)","0.069 (0.032 -- 0.111)","0.551 (0.002 -- 1.362)","0.203 (0.000 -- 0.906)","0.203 (0.149 -- 0.255)","0.172 (0.161 -- 0.181)","AlpineGeneralist:GA3",-0.0176404177460948,-0.0495138443293399,0.0258586353156716,180,0.3,"fixed",0.0865088560235407,4.32704337501364e-06,0.20545876413807,0.0663329512902983,2.61545779688111e-06,0.16789131608183
"4","GA3","3380.6 (59.46)",0.858,"0.017 (0.000 -- 0.044)","0.069 (0.032 -- 0.111)","0.551 (0.002 -- 1.362)","0.203 (0.000 -- 0.906)","0.203 (0.149 -- 0.255)","0.172 (0.161 -- 0.181)","AlpineStrict:GA3",-0.0349618541817462,-0.0760217194329016,0.00186420284444466,118.868089246667,0.0777777777777778,"fixed",0.0865088560235407,4.32704337501364e-06,0.20545876413807,0.0663329512902983,2.61545779688111e-06,0.16789131608183
"5","Light","3378.99 (57.85)",0.875,"0.017 (0.000 -- 0.042)","0.072 (0.031 -- 0.122)","0.662 (0.000 -- 2.151)","0.245 (0.000 -- 1.013)","0.199 (0.149 -- 0.244)","0.172 (0.161 -- 0.181)","AlpineGeneralist:Light",0.0578483577671578,0.0191384416102665,0.0984795066033257,180,0.0111111111111111,"fixed",0.0838288575310205,0.00032914895992738,0.198863354319418,0.0635474215868078,0.000212939049770948,0.161930800495332
"6","Light","3378.99 (57.85)",0.875,"0.017 (0.000 -- 0.042)","0.072 (0.031 -- 0.122)","0.662 (0.000 -- 2.151)","0.245 (0.000 -- 1.013)","0.199 (0.149 -- 0.244)","0.172 (0.161 -- 0.181)","AlpineStrict:Light",-0.00984183556924039,-0.089251397701446,0.0831283674051519,180,0.733333333333333,"fixed",0.0838288575310205,0.00032914895992738,0.198863354319418,0.0635474215868078,0.000212939049770948,0.161930800495332
"7","Scarification","3381.88 (60.74)",0.862,"0.015 (0.000 -- 0.048)","0.068 (0.033 -- 0.103)","0.645 (0.002 -- 1.589)","0.142 (0.000 -- 0.557)","0.207 (0.157 -- 0.255)","0.172 (0.162 -- 0.182)","AlpineGeneralist:Scarification",-0.026089405417855,-0.080347403029009,0.0243511366406892,180,0.366666666666667,"fixed",0.0741527923417561,4.0097763308902e-05,0.227409548092113,0.0565533410057012,2.69338167466965e-05,0.174792888545419
"8","Scarification","3381.88 (60.74)",0.862,"0.015 (0.000 -- 0.048)","0.068 (0.033 -- 0.103)","0.645 (0.002 -- 1.589)","0.142 (0.000 -- 0.557)","0.207 (0.157 -- 0.255)","0.172 (0.162 -- 0.182)","AlpineStrict:Scarification",-0.0301668511613586,-0.137507955441833,0.0459246590617113,121.35088475872,0.533333333333333,"fixed",0.0741527923417561,4.0097763308902e-05,0.227409548092113,0.0565533410057012,2.69338167466965e-05,0.174792888545419
"9","Stratification","3321.14 (0)",0.865,"0.026 (0.000 -- 0.062)","0.076 (0.036 -- 0.124)","0.593 (0.000 -- 1.631)","0.171 (0.000 -- 0.759)","0.197 (0.148 -- 0.246)","0.168 (0.159 -- 0.178)","AlpineGeneralist:Stratification",-0.159442597643417,-0.21231305710171,-0.0898823973257095,180,0.00555555555555556,"fixed",0.124057136866665,7.95190373595188e-06,0.266356787546334,0.0929403049436321,4.72067999849663e-06,0.219301578744114
"10","Stratification","3321.14 (0)",0.865,"0.026 (0.000 -- 0.062)","0.076 (0.036 -- 0.124)","0.593 (0.000 -- 1.631)","0.171 (0.000 -- 0.759)","0.197 (0.148 -- 0.246)","0.168 (0.159 -- 0.178)","AlpineStrict:Stratification",-0.122014871531679,-0.166384130630831,-0.0829397461857297,1021.85333037027,0.00555555555555556,"fixed",0.124057136866665,7.95190373595188e-06,0.266356787546334,0.0929403049436321,4.72067999849663e-06,0.219301578744114
"11","Tmean","3367.14 (46)",0.899,"0.014 (0.000 -- 0.042)","0.076 (0.041 -- 0.122)","0.296 (0.000 -- 1.106)","0.939 (0.000 -- 3.671)","0.200 (0.149 -- 0.248)","0.171 (0.162 -- 0.182)","AlpineGeneralist:Tmean",-0.059538050334716,-0.093942789502762,-0.0269690379791427,236.92372498767,0.00555555555555556,"fixed",0.072160288931786,8.09438455926857e-06,0.20331734572808,0.0531568121968108,5.98019607403066e-06,0.148628576282379
"12","Tmean","3367.14 (46)",0.899,"0.014 (0.000 -- 0.042)","0.076 (0.041 -- 0.122)","0.296 (0.000 -- 1.106)","0.939 (0.000 -- 3.671)","0.200 (0.149 -- 0.248)","0.171 (0.162 -- 0.182)","AlpineStrict:Tmean",-0.0284665269003489,-0.0554509415815119,-0.00313968677073717,180,0.0555555555555556,"fixed",0.072160288931786,8.09438455926857e-06,0.20331734572808,0.0531568121968108,5.98019607403066e-06,0.148628576282379
