"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3382.07 (15.19)",0.884,"0.015 (0.000 -- 0.044)","0.073 (0.034 -- 0.117)","0.752 (0.000 -- 2.239)","0.268 (0.000 -- 1.161)","0.201 (0.152 -- 0.250)","0.172 (0.162 -- 0.182)","AlpineGeneralist:Alternating:log(embryo)",-0.0323940472034155,-0.0812746286974289,0.0163307812181301,8727.29310537135,0.189777777777778,"fixed",0.0757745040248659,1.83526278722941e-08,0.204183298824491,0.057032292099971,1.0815680618395e-08,0.160828995142356
"2","Alternating","3382.07 (15.19)",0.884,"0.015 (0.000 -- 0.044)","0.073 (0.034 -- 0.117)","0.752 (0.000 -- 2.239)","0.268 (0.000 -- 1.161)","0.201 (0.152 -- 0.250)","0.172 (0.162 -- 0.182)","AlpineStrict:Alternating:log(embryo)",0.00504942348458287,-0.0341342355459346,0.0444523590558674,9000.00000000001,0.810444444444445,"fixed",0.0757745040248659,1.83526278722941e-08,0.204183298824491,0.057032292099971,1.0815680618395e-08,0.160828995142356
"3","GA3","3380.05 (13.17)",0.888,"0.021 (0.000 -- 0.054)","0.069 (0.030 -- 0.113)","0.792 (0.000 -- 2.437)","0.287 (0.000 -- 1.171)","0.202 (0.153 -- 0.251)","0.172 (0.162 -- 0.182)","AlpineGeneralist:GA3:log(embryo)",0.0184728673271811,-0.00225917345960625,0.0401463459129445,8999.99999999996,0.0940000000000001,"fixed",0.101351160263721,2.03345958502484e-10,0.240312277574128,0.0775604305435011,1.49770763130322e-10,0.192251268873977
"4","GA3","3380.05 (13.17)",0.888,"0.021 (0.000 -- 0.054)","0.069 (0.030 -- 0.113)","0.792 (0.000 -- 2.437)","0.287 (0.000 -- 1.171)","0.202 (0.153 -- 0.251)","0.172 (0.162 -- 0.182)","AlpineStrict:GA3:log(embryo)",0.0198155628849254,-0.00793430725980215,0.0488121503294678,9000.00000000004,0.172666666666667,"fixed",0.101351160263721,2.03345958502484e-10,0.240312277574128,0.0775604305435011,1.49770763130322e-10,0.192251268873977
"5","Light","3380.48 (13.6)",0.877,"0.016 (0.000 -- 0.045)","0.074 (0.034 -- 0.118)","0.669 (0.000 -- 1.999)","0.263 (0.000 -- 1.050)","0.201 (0.151 -- 0.249)","0.172 (0.162 -- 0.182)","AlpineGeneralist:Light:log(embryo)",-0.00900142237107379,-0.0365379856011714,0.0188958386133891,9271.56660536743,0.525333333333333,"fixed",0.0785204813611536,7.70199573255876e-09,0.207385670015271,0.0589676722485784,5.30850900652541e-09,0.164671381490102
"6","Light","3380.48 (13.6)",0.877,"0.016 (0.000 -- 0.045)","0.074 (0.034 -- 0.118)","0.669 (0.000 -- 1.999)","0.263 (0.000 -- 1.050)","0.201 (0.151 -- 0.249)","0.172 (0.162 -- 0.182)","AlpineStrict:Light:log(embryo)",-0.0342286401438861,-0.0903697113972157,0.0205330071039498,9000,0.227111111111111,"fixed",0.0785204813611536,7.70199573255876e-09,0.207385670015271,0.0589676722485784,5.30850900652541e-09,0.164671381490102
"7","Scarification","3378.33 (11.45)",0.891,"0.010 (0.000 -- 0.033)","0.070 (0.031 -- 0.109)","0.791 (0.000 -- 2.280)","0.332 (0.000 -- 1.359)","0.202 (0.154 -- 0.251)","0.172 (0.162 -- 0.182)","AlpineGeneralist:Scarification:log(embryo)",0.842625064953317,0.337957561481744,1.40063086377631,7371.07171299479,0.00422222222222213,"fixed",0.0535134815821278,7.65844033293812e-09,0.160613717656513,0.0404804458847002,5.53170010814987e-09,0.126662666208569
"8","Scarification","3378.33 (11.45)",0.891,"0.010 (0.000 -- 0.033)","0.070 (0.031 -- 0.109)","0.791 (0.000 -- 2.280)","0.332 (0.000 -- 1.359)","0.202 (0.154 -- 0.251)","0.172 (0.162 -- 0.182)","AlpineStrict:Scarification:log(embryo)",0.329536065369342,-0.290737442575846,0.919035993138095,9585.3402163249,0.278888888888889,"fixed",0.0535134815821278,7.65844033293812e-09,0.160613717656513,0.0404804458847002,5.53170010814987e-09,0.126662666208569
"9","Stratification","3366.88 (0)",0.875,"0.020 (0.000 -- 0.054)","0.072 (0.032 -- 0.117)","0.622 (0.000 -- 1.791)","0.273 (0.000 -- 1.140)","0.200 (0.151 -- 0.248)","0.171 (0.161 -- 0.181)","AlpineGeneralist:Stratification:log(embryo)",0.0628689432972776,0.0269096084412013,0.0984086164098699,8999.99999999999,0.00044444444444447,"fixed",0.0983327872129738,4.4009972346901e-08,0.238632544237889,0.074816777336186,2.72710135836453e-08,0.192149227239067
"10","Stratification","3366.88 (0)",0.875,"0.020 (0.000 -- 0.054)","0.072 (0.032 -- 0.117)","0.622 (0.000 -- 1.791)","0.273 (0.000 -- 1.140)","0.200 (0.151 -- 0.248)","0.171 (0.161 -- 0.181)","AlpineStrict:Stratification:log(embryo)",0.0529840234271327,-0.00185553982737474,0.107445887976041,9000,0.0546666666666666,"fixed",0.0983327872129738,4.4009972346901e-08,0.238632544237889,0.074816777336186,2.72710135836453e-08,0.192149227239067
